Integrating classification and association rule mining,Bing Liu Wynne Hsu Yiming Ma; Bing Liu,*,Proceedings of the fourth international conference on knowledge discovery and data mining,1998,2773
A framework for mining topological patterns in spatio-temporal databases,Junmei Wang; Wynne Hsu; Mong Li Lee,Abstract Mining topological patterns in spatial databases has received a lot of attention.However; existing work typically ignores the temporal aspect and suffers from certainefficiency problems. They are not scalable for mining topological patterns in spatio-temporaldatabases. In this paper; we study the problem for mining topological patterns byincorporating the temporal aspect in the mining process. We introduce a summary-structurethat records the instances' count information of a feature in a region within a time window.Using this structure; we design an algorithm; TopologyMiner; to find interesting topologicalpatterns without the need to generate candidates. Experimental results show thatTopologyMiner is effective and scalable in finding topological patterns and outperformsApriori-like algorithm by a few orders of magnitudes.,Proceedings of the 14th ACM international conference on Information and knowledge management,2005,43
XML clustering by principal component analysis,Jianghui Liu; Jason TL Wang; Wynne Hsu; Katherine G Herbert,XML is increasingly important in data exchange and information management. A largeamount of efforts have been spent in developing efficient techniques for storing; querying;indexing and accessing XML documents. In This work we propose a new approach toclustering XML data. In contrast to previous work; which focused on documents defined bydifferent DTDs; the proposed method works for documents with the same DTD. Ourapproach is to extract features from documents; modeled by ordered labeled trees; andtransform the documents to vectors in a high-dimensional Euclidean space based on theoccurrences of the features in the documents. We then reduce the dimensionality of thevectors by principal component analysis (PCA) and cluster the vectors in the reduceddimensional space. The PCA enables one to identify vectors with co-occurrent features …,Tools with Artificial Intelligence; 2004. ICTAI 2004. 16th IEEE International Conference on,2004,43
Image mining in IRIS: integrated retinal information system,Wynne Hsu; Mong Li Lee; Kheng Guan Goh,Abstract There is an increasing demand for systems that can automatically analyze imagesand extract semantically meaningful information. IRIS; an Integrated Retinal Informationsystem; has been developed to provide medical professionals easy and unified access tothe screening; trend and progression of diabetic-related eye diseases in a diabetic patientdatabase. This paper shows how mining techniques can be used to accurately extractfeatures in the retinal images. In particular; we apply a classification approach to determinethe conditions for tortuousity in retinal blood vessels.,Acm Sigmod Record,2000,43
Synthesis of design concepts from a design for assembly perspective,Wynne Hsu; YH Jerry Fuh; Yunfeng Zhang,Abstract Assembly is often a labor intensive and costly process. Techniques such as designfor assembly; and automatic assembly planning have been reported in an attempt to lowerthe high cost of assembly. Automatic assembly planning is concerned with finding theoptimal sequence of assembly for a given design. On the other hand; design for assembly(DFA) examines the given design to evaluate its 'fitness' for assembly; and whereappropriate; to provide high-level suggestions to redesign the components so that they areeasy to be assembled. Usually; DFA analysis is performed only when the design details areknown (the number; types; and shapes of components and their mating relationships). As aresult; designers tend to view this as an extra step/burden. To change this perspective; weinvestigate a new approach whereby DFA analysis is used to guide the designer in the …,Computer Integrated Manufacturing Systems,1998,42
Increasing temporal diversity with purchase intervals,Gang Zhao; Mong Li Lee; Wynne Hsu; Wei Chen,Abstract The development of Web 2.0 technology has led to huge economic benefits andchallenges for both e-commerce websites and online shoppers. One core technology toincrease sales and consumers' satisfaction is the use of recommender systems. Existingproduct recommender systems consider the order of items purchased by users to obtain alist of recommended items. However; they do not consider the time interval between theproducts purchased. For example; there is often an interval of 2-3 months between thepurchase of printer ink cartridges or refills. Thus; recommending appropriate ink cartridgesone week before the user needs to replace the depleted ink cartridges would increase thelikelihood of a purchase decision. In this paper; we propose to utilize the purchase intervalinformation to improve the performance of the recommender systems for e-commerce. We …,Proceedings of the 35th international ACM SIGIR conference on Research and development in information retrieval,2012,40
Labeling network motifs in protein interactomes for protein function prediction,Jin Chen; Wynne Hsu; Mong Li Lee; See-Kiong Ng,Biological networks such as the protein-protein interaction (PPI) network have been found tocontain small recurring subnetworks in significantly higher frequencies than in randomnetworks. Such network motifs are useful for uncovering structural design principles ofcomplex biological networks. However; current network motif finding algorithms models thePPI network as a uni-labeled graph; discovering only unlabeled and thus relativelyuninforma-tive network motifs as a result. Our objective is to exploit the currently availablebiological information that are associated with the vertices (the proteins) to capture not onlythe topological shapes of the motifs; but also the biological context in which they occurred inthe PPI networks for network motif applications. We present a method called LaMoFinder tolabel network motifs with gene ontology terms in a PPI network. We also show how the …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,40
Detection of retinal blood vessels based on nonlinear projections,Yongping Zhang; Wynne Hsu; Mong Li Lee,Abstract An automated method for blood vessel segmentation is presented in this paper. Theapproach uses the nonlinear orthogonal projection to capture the features of vesselnetworks; and derives a novel local adaptive thresholding algorithm for vessel detection. Byembedding in a kind of image decomposition model; the selection of system parameterwhich reflects the size of concerned convex set is examined. This approach differs frompreviously known methods in that it uses matched filtering; vessel tracking or supervisedmethods. The algorithm was tested on two publicly available databases: the DRIVE and theSTARE. By comparison with hand-labeled ground truth; an average accuracy of 96.1% isachieved on the former database; and an average accuracy of 90.8% is achieved on thelater database.,Journal of Signal Processing Systems,2009,34
Intuitive representation of decision trees using general rules and exceptions,Bing Liu; Minqing Hu; Wynne Hsu,Abstract Producing too many rules is a major problem with many data mining techniques.This paper argues that one of the key reasons for the large number of rules is that aninefficient knowledge representation scheme has been used. The current predominantrepresentation of the discovered knowledge is the if-then rules. This representation oftenseverely fragments the knowledge that exists in the data; thereby resulting in a large numberof rules. The fragmentation also makes the discovered rules hard to understand and to use.In this paper; we propose a more efficient representation scheme; called general rules &exceptions. In this representation; a unit of knowledge consists of a single general rule and aset of exceptions. This scheme reduces the complexity of the discovered knowledgesubstantially. It is also intuitive and easy to understand. This paper focuses on using the …,AAAI/IAAI,2000,33
Community-based user recommendation in uni-directional social networks,Gang Zhao; Mong Li Lee; Wynne Hsu; Wei Chen; Haoji Hu,Abstract Advances in Web 2.0 technology has led to the rising popularity of many socialnetwork services. For example; there are over 500 million active users in Twitter. Given thehuge number of users; user recommendation has gained importance where the goal is tofind a set of users whom a target user is likely to follow. Content-based approaches that relyon tweet content for user recommendation have low precision as tweet contents are typicallyshort and noisy; while collaborative filtering approaches that utilize follower-followeerelationships lead to higher precision but data sparsity remains a challenge. In this work; wepropose a community-based approach to user recommendation in Twitter-style socialnetworks. Forming communities enables us to reduce data sparsity as the focus is ondiscover the latent characteristics of communities instead of individuals. We employ an …,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,2013,32
Clustering in dynamic spatial databases,Ji Zhang; Wynne Hsu; Mong Li Lee,Abstract Efficient clustering in dynamic spatial databases is currently an open problem withmany potential applications. Most traditional spatial clustering algorithms are inadequatebecause they do not have an efficient support for incremental clustering. In this paper; wepropose DClust; a novel clustering technique for dynamic spatial databases. DClust is ableto provide multi-resolution view of the clusters; generate arbitrary shapes clusters in thepresence of noise; generate clusters that are insensitive to ordering of input data andsupport incremental clustering efficiently. DClust utilizes the density criterion that capturesarbitrary cluster shapes and sizes to select a number of representative points; and builds theMinimum Spanning Tree (MST) of these representative points; called R-MST. After the initialclustering; a summary of the cluster structure is built. This summary enables quick …,Journal of intelligent information systems,2005,30
Finding hot query patterns over an XQuery stream,Liang Huai Yang; Mong Li Lee; Wynne Hsu,Abstract. Caching query results is one efficient approach to improving the performance ofXML management systems. This entails the discovery of frequent XML queries issued byusers. In this paper; we model user queries as a stream of XML query pattern trees and minethe frequent query patterns over the query stream. To facilitate the one-pass mining process;we devise a novel data structure called DTS to summarize the pattern trees seen so far. Bygrouping the incoming pattern trees into batches; we can dynamically mark the activeportion of the current batch in DTS and limit the enumeration of candidate trees to only thecurrently active pattern trees. We also design another summary data structure called ECTreethat provides for the incremental computation of the frequent tree patterns over the querystream. Based on the above two constructs; we present two mining algorithms called …,The VLDB Journal,2004,30
Mining viewpoint patterns in image databases,Wynne Hsu; Jing Dai; Mong Li Lee,Abstract The increasing number of image repositories has made image mining an importanttask because of its potential in discovering useful image patterns from a large set of images.In this paper; we introduce the notion of viewpoint patterns for image databases. Viewpointpatterns refer to patterns that capture the invariant relationships of one object from the pointof view of another object. These patterns are unique and significant in images because theabsolute positional information of objects for most images is not important; but rather; it is therelative distance and orientation of the objects from each other that is meaningful. We designa scalable and efficient algorithm to discover such viewpoint patterns. Experiments resultson various image sets demonstrate that viewpoint patterns are meaningful and interesting tohuman users.,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,30
Retinal vascular fractal dimension and its relationship with cardiovascular and ocular risk factors,Carol Y Cheung; George N Thomas; Wanting Tay; M Kamran Ikram; Wynne Hsu; Mong Li Lee; Qiangfeng Peter Lau; Tien Yin Wong,Purpose To examine the influence of a range of cardiovascular risk factors and ocularconditions on retinal vascular fractal dimension in the Singapore Malay Eye Study. DesignPopulation-based cross-sectional study. Methods Fractal analysis of the retinal vessels is amethod to quantify the global geometric complexity of the retinal vasculature. Retinalvascular fractal dimension (D f) and caliber were measured from retinal photographs using acomputer-assisted program. D f and arteriolar caliber were combined to form a retinalvascular optimality score (ranging from 0 to 3). Data on cardiovascular and ocular factorswere collected from all participants based on a standardized protocol. Results Two thousandnine hundred thirteen (88.8% of 3280 participants) persons had retinal photographs ofsufficient quality for the measurement. The mean D f was 1.405 (standard deviation; 0.046 …,American journal of ophthalmology,2012,29
Mining interesting knowledge using dm-ii,Bing Liu; Wynne Hsu; Yiming Ma; Shu Chen,Data mining aims to develop a new generation of tools to intelligently assist humans inanalyzing mountains of data. Over the past few years; great progress has been made in bothresearch and applications of data mining. Data mining systems have helped manybusinesses by exposing previously unknown patterns in their databases; which were usedto improve profits; enhance customer services; and ultimately achieve a competitiveadvantage. In this paper; we present our unique data mining system DM-II (Data Mining-Integration and Interestingness). DM-II is a PC-based system working in Windows 95/98/NTenvironment. Apart from the normal components of a data mining system; DM-II has anumber of unique and advanced sub-systems. These sub-systems have been applied inmany real-life applications; including education applications; insurance application …,Proceedings of the fifth ACM SIGKDD international conference on Knowledge discovery and data mining,1999,29
Modeling user's receptiveness over time for recommendation,Wei Chen; Wynne Hsu; Mong Li Lee,Abstract Existing recommender systems model user interests and the social influencesindependently. In reality; user interests may change over time; and as the interests change;new friends may be added while old friends grow apart and the new friendships formed maycause further interests change. This complex interaction requires the joint modeling of userinterest and social relationships over time. In this paper; we propose a probabilisticgenerative model; called Receptiveness over Time Model (RTM); to capture this interaction.We design a Gibbs sampling algorithm to learn the receptiveness and interest distributionsamong users over time. The results of experiments on a real world dataset demonstrate thatRTM-based recommendation outperforms the state-of-the-art recommendation methods.Case studies also show that RTM is able to discover the user interest shift and …,Proceedings of the 36th international ACM SIGIR conference on Research and development in information retrieval,2013,27
Increasing confidence of protein-protein interactomes,Jin Chen; Hon Nian Chua; Wynne Hsu; Mong-Li Lee; See-Kiong Ng; Rintaro Saito; Wing-Kin Sung; Limsoon Wong,抄録 High-throughput experimental methods; such as yeast-two-hybrid and phage display;have fairly high levels of false positives (and false negatives). Thus the list of protein-proteininteractions detected by such experiments would need additional wet laboratory validation. Itwould be useful if the list could be prioritized in some way. Advances in computationaltechniques for assessing the reliability of protein-protein interactions detected by such high-throughput methods are reviewed in this paper; with a focus on techniques that rely only ontopological information of the protein interaction network derived from such high-throughputexperiments. In particular; we discuss indices that are abstract mathematicalcharacterizations of networks of reliable protein-protein interactions-eg;“interactiongenerality”(IG);“interaction reliability by alternatve pathways”(IRAP); and “functional …,Genome Informatics,2006,27
Correlation-based detection of attribute outliers,Judice LY Koh; Mong Li Lee; Wynne Hsu; Kai Tak Lam,Abstract An outlier is an object that does not conform to the normal behavior of the data set.In data cleaning; outliers are identified for data noise reduction. In applications such as frauddetection; and stock market analysis; outliers suggest abnormal behavior requiring furtherinvestigation. Existing outlier detection methods have focused on class outliers and researchon attribute outliers is limited; despite the equal role attribute outliers play in depreciatingdata quality and reducing data mining accuracy. In this paper; we propose a novel method todetect attribute outliers from the deviating correlation behavior of attributes. We formulatethree metrics to evaluate outlier-ness of attributes; and introduce an adaptive factor todistinguish outliers from non-outliers. Experiments with both synthetic and real-world datasets indicate that the proposed method is effective in detecting attribute outliers.,International Conference on Database Systems for Advanced Applications,2007,26
An estimation system for XPath expressions,Hanyu Li; Mong Li Lee; Wynne Hsu; Gao Cong,Estimating the result sizes of XML queries is important in query optimization and is useful inproviding a quick feedback about the queries. Existing works have focused on the selectivityestimation of XML queries without order-based axes. In this work; we develop a frameworkto estimate the result sizes of XPath expressions with order-based axes. We describe howthe path and order information of XML elements can be captured and summarized incompact data structures. We also describe methods to estimate the selectivity of XPathqueries. The results of extensive experiments on both synthetic and real-world datasetsdemonstrate the effectiveness and accuracy of the proposed approach.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,26
ERkNN: efficient reverse k-nearest neighbors retrieval with local kNN-distance estimation,Chenyi Xia; Wynne Hsu; Mong Li Lee,Abstract The Reverse k-Nearest Neighbors (RkNN) queries are important in profile-basedmarketing; information retrieval; decision support and data mining systems. However; theyare very expensive and existing algorithms are not scalable to queries in high dimensionalspaces or of large values of k. This paper describes an efficient estimation-based RkNNsearch algorithm (ERkNN) which answers RkNN queries based on local kNN-distanceestimation methods. The proposed approach utilizes estimation-based filtering strategy tolower the computation cost of RkNN queries. The results of extensive experiments on bothsynthetic and real life datasets demonstrate that ERkNN algorithm retrieves RkNN efficientlyand is scalable with respect to data dimensionality; k; and data size.,Proceedings of the 14th ACM international conference on Information and knowledge management,2005,26
Flowminer: Finding flow patterns in spatio-temporal databases,Junmei Wang; Wynne Hsu; Mong-Li Lee,The widespread use of spatio-temporal databases and applications has fuelled an urgentneed to discover interesting time and space patterns in such databases. While much workhas been done in discovering time/sequence patterns or spatial patterns; discovering ofpatterns involving both time and space dimensions is still in its infancy; We introduce theconcept of flow patterns. Flow patterns are intended to describe the change of events overspace and time. These flow patterns are useful to the understanding of many real-lifeapplications. We present a disk-based algorithm; FlowMiner; which utilizes temporalrelationships and spatial relationships amid events to generate flow patterns. Ourperformance study shows that FlowMiner is both scalable and efficient. Experiments on real-life datasets also reveal interesting flow patterns.,Tools with Artificial Intelligence; 2004. ICTAI 2004. 16th IEEE International Conference on,2004,26
Spatial data mining: clustering of hot spots and pattern recognition,Seng Chuan Tay; Wynne Hsu; Kim Hwa Lim; Lee Chen Yap,Spatial data mining is the extraction of implicit knowledge; spatial relations or other patternsnot explicitly stored in spatial database. The focus of this paper is placed on the informationderivation of spatial data. Geographical coordinates of hot spots in forest fire regions; whichare extracted from the satellite images; are studied and used in the detection of likely firepoints. False alarms can occur in the derived hotspots. While this false information can beidentified by comparing the radiance detected at several bands; we introduce a differentapproach to remove some of the false alarms. We use clustering and a Houghtransformation to determine regular patterns in the derived hotspots and classify them asfalse alarms on the assumption that fires usually do not spread in regular patterns such as ina straight line. This project demonstrates the application of spatial data mining to reduce …,Geoscience and Remote Sensing Symposium; 2003. IGARSS'03. Proceedings. 2003 IEEE International,2003,25
Concept lattice based composite classifiers for high predictability,Zhipeng Xie; Wynne Hsu; Zongtian Liu; Mong Li Lee,Concept lattice model; the core structure in formal concept analysis; has been successfullyapplied in software engineering and knowledge discovery. This paper integrates the simplebase classifier (Naïve Bayes or Nearest Neighbour) into each node of the concept lattice toform a new composite classifier. Two new classification systems are developed; CLNB andCLNN; which employ efficient constraints to search for interesting patterns and votingstrategy to classify a new object. CLNB integrates the Naïïve Bayes base classifier intoconcept nodes while CLNN incorporates the Nearest Neighbour base classifier into conceptnodes. Experimental results indicate that these two composite classifiers greatly improve theaccuracy of their corresponding base classifier. In addition; CLNB even outperforms threeother state-of-the-art classification methods; NBTree; CBA and C4. 5 Rules.,Journal of Experimental & Theoretical Artificial Intelligence,2002,25
A unified framework for recommendations based on quaternary semantic analysis,Chen Wei; Wynne Hsu; Mong Li Lee,Abstract Social network systems such as FaceBook and YouTube have played a significantrole in capturing both explicit and implicit user preferences for different items in the form ofratings and tags. This forms a quaternary relationship among users; items; tags and ratings.Existing systems have utilized only ternary relationships such as users-items-ratings; orusers-items-tags to derive their recommendations. In this paper; we show that ternaryrelationships are insufficient to provide accurate recommendations. Instead; we model thequaternary relationship among users; items; tags and ratings as a 4-order tensor and castthe recommendation problem as a multi-way latent semantic analysis problem. A unifiedframework for user recommendation; item recommendation; tag recommendation and itemrating prediction is proposed. The results of extensive experiments performed on a real …,Proceedings of the 34th international ACM SIGIR conference on Research and development in Information Retrieval,2011,23
A partition-based approach to graph mining,Junmei Wang; Wynne Hsu; Mong Li Lee; Chang Sheng,Existing graph mining algorithms typically assume that databases are relatively static andcan fit into the main memory. Mining of subgraphs in a dynamic environment is currentlybeyond the scope of these algorithms. To bridge this gap; we first introduce a partition-basedapproach called PartMiner for mining graphs. The PartMiner algorithm finds the frequentsubgraphs by dividing the database into smaller and more manageable units; miningfrequent subgraphs on these smaller units and finally combining the results of these units tolosslessly recover the complete set of subgraphs in the database. Next; we extend PartMinerto handle updates in the dynamic environment. Experimental results indicate that PartMineris effective and scalable in finding frequent subgraphs; and outperforms existing algorithmsin the presence of updates.,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,23
Effect of image quality; color; and format on the measurement of retinal vascular fractal dimension,Alan Wainwright; Gerald Liew; George Burlutsky; Elena Rochtchina; Yong Ping Zhang; Wynne Hsu; Janice MongLi Lee; Tien Yin Wong; Paul Mitchell; Jie Jin Wang,Purpose.: Fractal dimension of retinal vasculature is a global summary measure of retinalvascular network pattern and geometry. This study was conducted to examine the effect ofvariations in image color; brightness; focus; contrast; and format on the measurement ofretinal vascular fractal dimension. Methods.: A set of 30 retinal images from the BlueMountains Eye Study was used for a series of experiments by varying brightness; focus(blur); contrast; and color (color versus monochrome). The original and the modified imageswere graded for fractal dimension (D f) using dedicated retinal imaging software (IRIS-Fractal). A further set of 20 grayscale images was used to compare image format (. jpgversus. tif) with regard to the resultant D f and processing time. Results.: The mean D f oforiginal images in this sample was 1.454. Compared with the original set of images …,Investigative Ophthalmology & Visual Science,2010,21
Exploring essential attributes for detecting microRNA precursors from background sequences,Yun Zheng; Wynne Hsu; Mong Li Lee; Limsoon Wong,Abstract MicroRNAs (miRNAs) have been shown to play important roles in post-transcriptional gene regulation. The hairpin structure is a key characteristic of themicroRNAs precursors (pre-miRNAs). How to encode their hairpin structures is a critical stepto correctly detect the pre-miRNAs from background sequences; ie; pseudo miRNAprecursors. In this paper; we have proposed to encode the hairpin structures of the pre-miRNA with a set of features; which captures both the global and local structurecharacteristics of the pre-miRNAs. Furthermore; we find that four essential attributes arediscriminatory for classifying human pre-miRNAs and background sequences with aninformation theory approach. The experimental results show that the number of conservedessential attributes decreases when the phylogenetic distance between the species …,VLDB Workshop on Data Mining and Bioinformatics,2006,21
Mining generalized spatio-temporal patterns,Junmei Wang; Wynne Hsu; Mong Li Lee,Abstract Spatio-temporal databases offer a rich repository and opportunities to developtechniques for discovering new types of spatio-temporal patterns. In this paper; we introducea new class of spatio-temporal patterns; called the generalized spatio-temporal patterns; todescribe the repeated sequences of events that occur within small neighbourhoods. Suchpatterns are crucial to the understanding of habitual patterns. To discover this class ofpatterns; we develop an algorithm GenSTMiner based on the idea of pattern growthapproach; and introduce some optimization techniques that are used to reduce the numberof candidates generated and minimize the size of the projected databases. Our performancestudy indicates that GenSTMiner is highly efficient and outperforms PrefixSpan.,International Conference on Database Systems for Advanced Applications,2005,20
Automated microaneurysm segmentation and detection using generalized eigenvectors,PMDS Pallawala; Wynne Hsu; Mong Li Lee; Say Song Goh,Diabetic retinopathy is a major cause of blindness and microaneurysms are the first clinicallyobservable manifestations of diabetic retinopathy. Regular screening and timely interventioncan halt or reverse the progression of this disease. This paper describes an approach that isbased on the generalized eigenvectors of affinity matrix to extract microaneurysms fromdigital retinal images. Microaneurysms are in the low intensity regions and detection iscomplicated by their small sizes; the presence of retinal vessels; and their similarity toanother type of retinal abnormality-haemorrhages. In order to accurately detectmicroaneurysms; the affinity matrix is defined to suppress larger structures such as bloodvessels; haemorrhages; etc and to create uniform affinity distribution for pixels belonging tomicroaneurysms. The generalized eigenvector solution seeks to find the optimal …,Application of Computer Vision; 2005. WACV/MOTIONS'05 Volume 1. Seventh IEEE Workshops on,2005,20
Retinal vascular fractal dimension measurement and its influence from imaging variation: results of two segmentation methods,Victoria Fay Cosatto; Gerald Liew; Elena Rochtchina; Alan Wainwright; YongPing Zhang; Wynne Hsu; Mong Li Lee; Qiangfeng Peter Lau; Haslina H Hamzah; Paul Mitchell; Tien Yin Wong; Jie Jin Wang,Aim: To assess the influences of imaging variation (different photographic angle) on themeasurement of retinal vascular fractal dimension (D f); using two segmentation methods.Materials and methods: Nonlinear orthogonal projection segmentation (International RetinalImaging Software-Fractal; termed IRIS-Fractal) and curvature-based segmentation(Singapore Institute Vessel Assessment-Fractal; termed SIVA-Fractal) methods were used tomeasure D f and were assessed for their reproducibility in detecting retinal vessels of 30stereoscopic pairs of optic disc color images. Each pair was taken from the same eye withslightly different angles of incidence. Each photograph of the pairs had subtle variations inbrightness between areas temporal and nasal to the optic disc. Results: Intragraderreproducibility of D f measurement was similar (intraclass correlation 0.81 and 0.96 …,Current eye research,2010,19
Efficient mining of frequent XML query patterns with repeating-siblings,Liang Huai Yang; Mong Li Lee; Wynne Hsu; Decai Huang; Limsoon Wong,Abstract A recent approach to improve the performance of XML query evaluation is to cachethe query results of frequent query patterns. Unfortunately; discovering these frequent querypatterns is an expensive operation. In this paper; we develop a two-pass mining algorithm2PXMiner that guarantees the discovery of frequent query patterns by scanning thedatabase at most twice. By exploiting a transaction summary data structure; and anenumeration tree; we are able to determine the upper bounds of the frequencies of thecandidate patterns; and to quickly prune away the infrequent patterns. We also design anindex to trace the repeating candidate subtrees generated by sibling repetition; thusavoiding redundant computations. Experiments results indicate that 2PXMiner is bothefficient and scalable.,Information and Software Technology,2008,19
Approximating content-based object-level image retrieval,Wynne Hsu; Tat-Seng Chua; Hung Keng  Pung,Abstract Object-level image retrieval is an active area of research. Given an image; a humanobserver does not see random dots of colors. Rather; he/she observes familiar objects in theimage. Therefore; to make image retrieval more user-friendly and more effective andefficient; object-level image retrieval technique is necessary. Unfortunately; images todayare mostly represented as 2D arrays of pixels values. The object-level semantics of theimages are not captured. Researchers try to overcome this problem by attempting to deducethe object-level semantics through additional information such as the motion vectors in thecase of video clips. Some success stories have been reported. However; deducing object-level semantics from still images is still a difficult problem. In this paper; we propose a “color-spatial” approach to approximate object-level image retrieval. The color and spatial …,Multimedia Tools and Applications,2000,19
Scheduling multimedia applications under overload and non-deterministic conditions,Teik Guan Tan; Wynne Hsu,Scheduling multimedia applications is not straightforward. The deterministic techniques inhard real-time scheduling; though applicable; are not absolutely necessary and insteadresult in very conservative execution. Current real-time scheduling research does notproperly address the problem of scheduling under overload and nondeterministic situations.In this paper; we introduce a more representative task model for multimedia applications. Wedescribe the use of a frequency parameter; associated with the tasks; which can serve toregulate execution during degradation (when the system is overloaded). We also analyzethe worst case CPU bounds for scheduling using frequency and show the possibility ofutilization;/spl Sigma/c/p> 1 under certain conditions. We conduct experiments to see theperformance of the model and best-effort frequency-based scheduling under extreme and …,Real-Time Technology and Applications Symposium; 1997. Proceedings.; Third IEEE,1997,18
Feedback evaluation of assembly plans,Wynne Hsu; CS George Lee; Shun-Feng Su,The authors examine issues involved in integrating the design level and the assemblyplanning level with a feedback loop. The integration is performed in two stages. The firststage focuses on the evaluation of an assembly plan. Evaluation criteria that can pinpointareas which need redesign are defined. The second stage is to use the evaluation results tocome up with the actual redesign. Algorithms are developed for performing evaluation ofassembly plans. From the evaluation results; means of generating hints for redesign arediscussed. The hints are then processed and calls are made to the redesign operators toperform the actual redesign of components. The integrated design-planning system has theability to identify parts that need redesign and the ability to come up with feasible redesignoptions in polynomial time.,Robotics and Automation; 1992. Proceedings.; 1992 IEEE International Conference on,1992,18
Linking temporal records for profiling entities,Furong Li; Mong Li Lee; Wynne Hsu; Wang-Chiew Tan,Abstract To harness the rich amount of information available on the Web today; manyorganizations start to aggregate public (and private) data to derive new knowledge bases. Afundamental challenge in constructing an accurate integrated knowledge repository fromdifferent data sources is to understand how facts across different sources are related to oneanother over time. This challenge; referred to as the temporal record linkage problem; goesfar beyond the traditional record linkage problem as it requires a fine-grained analysis ofhow two facts are temporally related if they both refer to the same entity. In this paper; wepresent a new solution for understanding how two facts may be temporally related andexploit the knowledge to profile how entities evolve over time. Our solution makes use of anovel transition model which captures sophisticated patterns of value transitions …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,17
Answering top-k similar region queries,Chang Sheng; Yu Zheng; Wynne Hsu; Mong Li Lee; Xing Xie,Abstract Advances in web technology have given rise to new information retrievalapplications. In this paper; we present a model for geographical region search and call thisclass of query similar region query. Given a spatial map and a query region; a similar regionsearch aims to find the top-k most similar regions to the query region on the spatial map. Wedesign a quadtree based algorithm to access the spatial map at different resolution levels.The proposed search technique utilizes a filter-and-refine manner to prune regions that arenot likely to be part of the top-k results; and refine the remaining regions. Experimental studybased on a real world dataset verifies the effectiveness of the proposed region similaritymeasure and the efficiency of the algorithm.,International Conference on Database Systems for Advanced Applications,2010,17
Discovering spatial interaction patterns,Chang Sheng; Wynne Hsu; Mong Li Lee; Anthony KH Tung,Abstract Advances in sensing and satellite technologies and the growth of Internet haveresulted in the easy accessibility of vast amount of spatial data. Extracting useful knowledgefrom these data is an important and challenging task; in particular; finding interaction amongspatial features. Existing works typically adopt a grid-like approach to transform thecontinuous spatial space to a discrete space. In this paper; we propose to model the spatialfeatures in a continuous space through the use of influence functions. For each feature type;we build an influence map that captures the distribution of the feature instances.Superimposing the influence maps allows the interaction of the feature types to be quicklydetermined. Experiments on both synthetic and real world datasets indicate that theproposed approach is scalable and is able to discover patterns that have been missed by …,International Conference on Database Systems for Advanced Applications,2008,17
Path-augmented keyword search for XML documents,Wynne Hsu; Mong-Li Lee; Xiaodong Wu,Keyword search is easy to use since it does not require the prior knowledge of querylanguages or the structure of the underlying data. However; keyword search does not utilizethe rich information encoded in the structures of XML to aid in the retrieval of documents. InThis work; we devise a context-aware approach for searching XML to improve theeffectiveness of keyword search on XML via query expansion. We find a set of XML pathexpressions that capture the contextual meaning of a keyword query. Paths in the contexts ofthe query are used to expand the original query to improve the effectiveness of keywordsearch on XML. Empirical results indicate that the proposed path-augmented keywordsearch of XML documents outperforms current keyword expansion and keyword proximitysearch techniques.,Tools with Artificial Intelligence; 2004. ICTAI 2004. 16th IEEE International Conference on,2004,17
Lens opacity and refractive influences on the measurement of retinal vascular fractal dimension,Haitao Li; Paul Mitchell; Gerald Liew; Elena Rochtchina; Annette Kifley; Tien Y Wong; Wynne Hsu; Mong L Lee; Yong P Zhang; Jie J Wang,Purpose: To examine the influence of lens opacity and refraction on the measurement ofretinal vascular fractal dimension (Df). Methods: Optic disc photographs (right eyes) of 3654baseline Blue Mountains Eye Study participants (aged 49–97) were digitized. Retinalvascular Df was quantified using a computer-based program. Summated severity scores fornuclear; cortical and posterior subcapsular (PSC) cataract were assessed from lensphotographs. Refraction data were converted to spherical equivalent refraction (SER); assum spherical plus 0.5 cylinder power. Axial length was measured at 10-year follow-upexaminations using an IOL master. Results: Mean Df of the retinal vasculature was1.444±0.023 for 2859 eligible participants. Increasing lens opacity scores were associatedwith significant reduction in Df (β=− 0.0030; p< 0.0001). Both cortical and PSC cataract …,Acta ophthalmologica,2010,16
Effective detection of retinal exudates in fundus images,Huan Wang; Wynne Hsu; Mong Li Lee,Diabetic-related eye diseases are the most common cause of blindness in the world. Earlydetection through regular screenings is the most effective treatment for these eye diseases.To improve the efficiency of such screenings; it is very important that effectively finding thepresence of abnormalities in the retinal images captured during the screenings. In thispaper; it is focused on automatically detecting one of the abnormal signs: the presenceof'exudates/lesions in the retinal images. A novel approach that combines median filteringand dynamic clustering analysis is proposed. Experimental results indicate that the newalgorithm is easier; faster and more effective for lesion detection from retinal images ofvarious qualities.,Biomedical Engineering and Informatics; 2009. BMEI'09. 2nd International Conference on,2009,15
