Sieve: linked data quality assessment and fusion,Pablo N Mendes; Hannes Mühleisen; Christian Bizer,Abstract The Web of Linked Data grows rapidly and already contains data originating fromhundreds of data sources. The quality of data from those sources is very diverse; as valuesmay be out of date; incomplete or incorrect. Moreover; data sources may provide conflictingvalues for a single real-world object. In order for Linked Data applications to consume datafrom this global data space in an integrated fashion; a number of challenges have to beovercome. One of these challenges is to rate and to integrate data based on their quality.However; quality is a very subjective matter; and finding a canonic judgement that is suitablefor each and every task is not feasible.,Proceedings of the 2012 Joint EDBT/ICDT Workshops,2012,192
Column Stores as an IR Prototyping Tool,Hannes Mühleisen; Thaer Samar; Jimmy Lin; Arjen P De Vries,Abstract We make the suggestion that instead of implementing custom index structures andquery evaluation algorithms; IR researchers should simply store document representationsin a column-oriented relational database and write ranking models using SQL. For rapidprototyping; this is particularly advantageous since researchers can explore new rankingfunctions and features by simply issuing SQL queries; without needing to write imperativecode. We demonstrate the feasibility of this approach by an implementation of conjunctiveBM25 using MonetDB on a part of the ClueWeb12 collection.,European Conference on Information Retrieval,2014,*
Thema Film 3: Databases & Statistics,HF Mühleisen,KNAW Narcis. Back to search results. Publication Thema Film 3:Databases & Statistics (2014). . Pagina-navigatie: Main …,*,2014,*
MonetDB Feb2013-SP4 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; S Idreos; E Sidirourgos; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; S Héman; K Kyzirakos,KNAW Narcis. Back to search results. Publication MonetDB Feb2013-SP4 bugfix release (2013).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Feb2013-SP4 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke(Arjen); Y. Zhang (Ying); S. Idreos (Stratos); E. Sidirourgos (Eleftherios); H. Pirk (Holger); M.-D.Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz);MM Gawade (Mrunal); HF Mühleisen (Hannes); S. Héman (Sándor); K. Kyzirakos (Konstantinos).Supporting host; Database Architectures; Database Architectures. Date; 2013-09-01. Language;English. Type; Other. Publication; https://ir.cwi.nl/pub/21480. Persistent Identifier;urn:NBN:nl:ui:18-21480. Metadata; XML. Source; CWI …,*,2013,*
MonetDB Feb2013-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; S Idreos; RA Goncalves; E Sidirourgos; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen,KNAW Narcis. Back to search results. Publication MonetDB Feb2013-SP1 bugfix release (2013).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Feb2013-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); S. Idreos (Stratos); RA Goncalves (Romulo); E.Sidirourgos (Eleftherios); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki(Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes).Supporting host; Database Architectures; Database Architectures. Date; 2013-03-01. Language;English. Type; Other. Publication; https://ir.cwi.nl/pub/21316. Persistent Identifier;urn:NBN:nl:ui:18-21316. Metadata; XML. Source; CWI …,*,2013,*
MonetDB: Open-source Columnar Database Technology for Data Analytics,Stefan Manegold; Hannes Fabian Mühleisen,*,*,2013,*
Architecture-independent distributed query processing,Hannes Mühleisen,Zusammenfassung Distributed storage systems are forced to select a trade-off between theincompatible goals Scalability; Consistency and Availability. No matter which coordinationmechanism is used to create consistency; its choice greatly influences the systemsperformance regarding this trade-off. Furthermore; support for complex queries is highlydesirable to support complex analyses without performance nightmares. However; previousproposals for distributed complex query processing are bound to a particular coordinationmechanism; and are therefore difficult to adapt to new architectures. In this thesis; the goalwas to investigate distributed complex query processing independent of a particularcoordination mechanism and network architecture. To this end; we have developedcomprehensive abstractions of the components of distributed storage systems. Also; we …,*,2013,*
Development of Best Practices for Large-scale Data Management Infrastructure,S Stadtmüller; HF Mühleisen; C Bizer; ML Kersten; JA deRijke; FE Groffen; Y Zhang; G Ladwig; A Harth; M Trampus,htmlabstractThe amount of available data for processing is constantly increasing andbecomes more diverse. We collect our experiences on deploying large-scale datamanagement tools on local-area clusters or cloud infrastructures and provide guidance touse these computing and storage infrastructures. In particular we describe Apache Hadoop;one of the most widely used software libraries to perform large-scale data analysis tasks onclusters of computers in parallel and provide guidance on how to achieve optimal executiontime when performing analysis over large-scale data. Furthermore we report on ourexperiences with projects; that provide valuable insights in the deployment and use of large-scale data management tools: The Web Data Commons project for which we extracted allMicroformat; Microdata and RDFa data from the Common Crawl web corpus; the largest …,PlanetData Deliverables,2012,*
Web Data Commons–Extracting Structured Data from Two Large Web Corpora,Christian Bizer; Hannes Mühleisen,Zusammenfassung More and more websites embed structured data describing for instanceproducts; people; organizations; places; events; resumes; and cooking recipes into theirHTML pages using encoding standards such as Microformats; Microdatas and RDFa. TheWeb Data Commons project extracts all Microformat; Microdata and RDFa data from theCommon Crawl web corpus; the largest and most up-todata web corpus that is currentlyavailable to the public; and provides the extracted data for download in the form of RDF-quads. In this paper; we give an overview of the project and present statistics about thepopularity of the different encoding standards as well as the kinds of data that are publishedusing each format.,*,2012,*
MonetDB Dec2011 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; VV Meduri,KNAW Narcis. Back to search results. Publication MonetDB Dec2011 feature release (2012).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Dec2011 feature release. Author; ML Kersten (Martin); PABoncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen (Fabian);JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RA Goncalves(Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz); MMGawade (Mrunal); VV Meduri (Vamsi). Supporting host; Database Architectures; name unknown.Date; 2012-01-01. Language; English. Type; Other. Publication; https://ir.cwi.nl/pub/19382.Persistent Identifier; urn:NBN:nl:ui:18-19382. Metadata; XML. Source; CWI …,*,2012,*
User-Defined Rules in a Distributed Address Book,Hannes Mühleisen; Adrian Paschke,Abstract. The Semantic Web as an evolution of the World Wide Web allows its users to sharecontent over the boundaries of applications and web sites. However; current web-basedsystems for the controlled distribution of private information require the presence ofinformation on centralized systems. A potential risk for the user is the central system operatorwhich has full access to all stored information. Moreover; if a malicious user getsunauthorized access to the operator's management rights; the information stored by all usersis exposed. In this paper; we demonstrate our alternative approach of a distributed addressbook; where users can store their information on a system under their own control. A specialfocus in our implementation was on the usability; in particular for the complex rulegeneration and processing chain; so that any user familiar with social network software is …,*,2010,*
Semantic Web Landscape,Johannes Knopp; Christian Meilicke; Ansgar Scherp; Robert Meusel; Hannes Mühleisen; Michael Schuhmacher; Johanna Völker; Esteban García; Aleix Garrido Cuesta; José Enrique Ruiz; Csongor Nyulas Vendetti; Mark Musen; Natasha F Noy,Chair: Elena Simperl 1. On the Status of Experimental Research on the Semantic Web; HeinerStuckenschmidt; Michael Schuhmacher; Johannes Knopp; Christian Meilicke and Ansgar Scherp[Research Track Paper] 2. A snapshot of the OWL Web; Nicolas Matentzoglu; Samantha Bailand Bijan Parsia [Research Track Paper] 3. Deployment of RDFa; Microdata; and Microformatson the Web – A Quantitative Analysis; Christian Bizer; Kai Eckert; Robert Meusel; HannesMühleisen; Michael Schuhmacher and Johanna Völker [In Use Track Paper] 4. When HistoryMatters -‐ Assessing Reliability for the Reuse of Scientific Workflows; José ManuelGómez-‐Pérez; Esteban García-‐Cuesta; Aleix Garrido and José Enrique Ruiz [In Use TrackPaper] 5. Simplified OWL Ontology Editing for the Web: Is WebProtégé Enough?; MatthewHorridge; Tania Tudorache; Jennifer Vendetti; Csongor Nyulas; Mark Musen and …,*,*,*
