Relational Databases for Querying XML Documents: Limitations and Opportunities,Shanmugasundaram Jayavel; Tufte Kristin; He Gang; Zhang Chun; DeWitt David; Naughton Jeffrey,*,Proceedings of the 25th VLDB Conference; Edinburgh; Scotland,1999,1644
Query size estimation by adaptive sampling,Richard J Lipton; Jeffrey F Naughton,Abstract We present an adaptive; random sampling algorithm for estimating the size ofgeneral queries. The algorithm can be used for any query D over a database D such that (1)for some n; the answer to L can be partitioned into n disjoint subsets L 1; L 2;...; L n; and (2)for 1≤ i≤ n; the size of L i; is bounded by some function b (D; L); and (3) there is somealgorithm by which we can compute the size of L i; where i is chosen randomly. We considerthe performance of the algorithm on three special cases of the algorithm: join queries;transitive closure queries; and general recursive Datalog queries.,Journal of Computer and System Sciences,1995,96
The beckman report on database research,Daniel Abadi; Rakesh Agrawal; Anastasia Ailamaki; Magdalena Balazinska; Philip A Bernstein; Michael J Carey; Surajit Chaudhuri; Jeffrey Dean; AnHai Doan; Michael J Franklin; Johannes Gehrke; Laura M Haas; Alon Y Halevy; Joseph M Hellerstein; Yannis E Ioannidis; HV Jagadish; Donald Kossmann; Samuel Madden; Sharad Mehrotra; Tova Milo; Jeffrey F Naughton; Raghu Ramakrishnan; Volker Markl; Christopher Olston; Beng Chin Ooi; Christopher Ré; Dan Suciu; Michael Stonebraker; Todd Walter; Jennifer Widom,Abstract Every few years a group of database researchers meets to discuss the state ofdatabase research; its impact on practice; and important new directions. This reportsummarizes the discussion and conclusions of the eighth such meeting; held October 14-15;2013 in Irvine; California. It observes that Big Data has now become a defining challenge ofour time; and that the database research community is uniquely positioned to address it; withenormous opportunities to make transformative impact. To do so; the report recommendssignificantly more attention to five research areas: scalable big/fast data infrastructures;coping with diversity in the data management landscape; end-to-end processing andunderstanding of data; cloud services; and managing the diverse roles of people in the datalife cycle.,ACM SIGMOD Record,2014,90
Information extraction challenges in managing unstructured data,AnHai Doan; Jeffrey F Naughton; Raghu Ramakrishnan; Akanksha Baid; Xiaoyong Chai; Fei Chen; Ting Chen; Eric Chu; Pedro DeRose; Byron Gao; Chaitanya Gokhale; Jiansheng Huang; Warren Shen; Ba-Quy Vuong,Abstract Over the past few years; we have been trying to build an end-to-end system atWisconsin to manage unstructured data; using extraction; integration; and user interaction.This paper describes the key information extraction (IE) challenges that we have run into;and sketches our solutions. We discuss in particular developing a declarative IE language;optimizing for this language; generating IE provenance; incorporating user feedback into theIE process; developing a novel wiki-based user interface for feedback; best-effort IE; pushingIE into RDBMSs; and more. Our work suggests that IE in managing unstructured data canopen up many interesting research challenges; and that these challenges can greatlybenefit from the wealth of work on managing structured data that has been carried out by thedatabase community.,ACM SIGMOD Record,2009,88
Argument reduction by factoring,Jeffrey F Naughton; Raghu Ramakrishnan; JD Ullman,*,Proceedings of the 15th international conference on Very large data bases,1989,84
A scalable hash ripple join algorithm,Gang Luo; Curt J Ellmann; Peter J Haas; Jeffrey F Naughton,Abstract Recently; Haas and Hellerstein proposed the hash ripple join algorithm in thecontext of online aggregation. Although the algorithm rapidly gives a good estimate for manyjoin-aggregate problem instances; the convergence can be slow if the number of tuples thatsatisfy the join predicate is small or if there are many groups in the output. Furthermore; ifmemory overflows (for example; because the user allows the algorithm to run to completionfor an exact answer); the algorithm degenerates to block ripple join and performance suffers.In this paper; we build on the work of Haas and Hellerstein and propose a new algorithmthat (a) combines parallelism with sampling to speed convergence; and (b) maintains goodperformance in the presence of memory overflow. Results from a prototype implementationin a parallel DBMS show that its rate of convergence scales with the number of …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,83
Accurate estimation of the cost of spatial selections,Ashraf Aboulnaga; Jeffrey F Naughton,Optimizing queries that involve operations on spatial data requires estimating the selectivityand cost of these operations. In this paper; we focus on estimating the cost of spatialselections; or window queries; where the query windows and data objects are generalpolygons. Cost estimation techniques previously proposed in the literature only handlerectangular query windows over rectangular data objects; thus ignoring the very significantcost of exact geometry comparison (the refinement step in a" filter and refine" queryprocessing strategy). The cost of the exact geometry comparison depends on the selectivityof the filtering step and the average number of vertices in the candidate objects identified bythis step. In this paper; we introduce a new type of histogram for spatial data that capturesthe complexity and size of the spatial objects as well as their location. Capturing these …,Data Engineering; 2000. Proceedings. 16th International Conference on,2000,83
Recursive XML schemas; recursive XML queries; and relational storage: XML-to-SQL query translation,Rajasekar Krishnamurthy; Venkatesan T Chakaravarthy; Raghav Kaushik; Jeffrey F Naughton,We consider the problem of translating XML queries into SQL when XML documents havebeen stored in an RDBMS using a schema-based relational decomposition. Surprisingly;there is no published XML-to-SQL query translation algorithm for this scenario that handlesrecursive XML schemas. We present a generic algorithm to translate path expressionqueries into SQL in the presence of recursion in the schema and queries. This algorithmhandles a general class of XML-to-relational mappings; which includes all techniquesproposed in literature. Some of the salient features of this algorithm are:(i) It translates a pathexpression query into a single SQL query; irrespective of how complex the XML schemais;(ii) It uses the" with" clause in SQL99 to handle recursive queries even over nonrecursiveschemas;(iii) It reconstructs recursive XML subtrees with a single SQL query and (iv) It …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,82
Set containment joins: The good; the bad and the ugly,Karthikeyan Ramasamy; Jignesh M Patel; Jeffrey F Naughton; Raghav Kaushik,Abstract Efficient support for set-valued attributes is likely to grow in importance as object-relational database systems; which either support set-valued attributes or propose to do sosoon; begin to replace their purely relational predecessors. One of the most interesting andchallenging operations on set-valued attributes is the set containment join; because itprovides a concise and elegant way to express otherwise complex queries. Unfortunately;evaluating these joins is difficult; and naive approaches lead to algorithms that are veryexpensive. In this paper; we develop a new partition based algorithm for set containmentjoins: the Partitioning Set Join Algorithm (PSJ); which uses a replicating multilevelpartitioning scheme based on a combination of set elements and signatures. We present adetailed performance study with a complete implementation in the Paradise object …,VLDB,2000,82
A decidable class of bounded recursions,Jeffrey F Naughton; Yehoshua Sagiv,Abstract Detecting bounded recursions is a powerful optimization technique for recursionsdatabase query languages as bounded recursions can be replaced by equivalentnonrecursive definitions. The problem is of theoretical interest because by varying the classof recursions considered one can generate instances that vary from linearly decidable to NP-hard to undecidable. In this paper we review and clarify the existing definitions ofboundedness. We then specify a sample criterion that guarantees that the condition inVaughton [7] is necessary and sufficient for boundedness. The programs satisfying thiscriterion subsume and extend previously known decidable classes of bounded linearrecursions.,Proceedings of the sixth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1987,80
Turbocharging DBMS buffer pool using SSDs,Jaeyoung Do; Donghui Zhang; Jignesh M Patel; David J DeWitt; Jeffrey F Naughton; Alan Halverson,Abstract Flash solid-state drives (SSDs) are changing the I/O landscape; which has largelybeen dominated by traditional hard disk drives (HDDs) for the last 50 years. In this paper wepropose and systematically explore designs for using an SSD to improve the performance ofa DBMS buffer manager. We propose three alternatives that differ mainly in the way that theydeal with the dirty pages evicted from the buffer pool. We implemented these alternatives; aswell another recently proposed algorithm for this task (TAC); in SQL Server; and ranexperiments using a variety of benchmarks (TPC-C; E and H) at multiple scale factors. Ourempirical evaluation shows significant performance improvements of our methods over thedefault HDD configuration (up to 9.4 X); and up to a 6.8 X speedup over TAC.,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,78
Estimating the size of generalized transitive closures,Richard J Lipton; Jeffrey F Naughton,Abstract We present a framework for the estimation of the size of binary recursively dennedrelations. We show how the framework can be used to provide estimating algorithms for thesize of the transitive closure and generalizations of the transitive closure; and also show thatfor bounded degree relations; the algorithm runs in linear time. Such estimating algorithmsare essential if database systems that support recursive relations or fixpoints are to be ableto optimize queries and avoid infeasible computations.,Proceedings of the 15th Int. Conf. on Very Large Data Bases,1989,78
Predicting query execution time: Are optimizer cost models really unusable?,Wentao Wu; Yun Chi; Shenghuo Zhu; Junichi Tatemura; Hakan Hacigümüs; Jeffrey F Naughton,Predicting query execution time is useful in many database management issues includingadmission control; query scheduling; progress monitoring; and system sizing. Recently theresearch community has been exploring the use of statistical machine learning approachesto build predictive models for this task. An implicit assumption behind this work is that thecost models used by query optimizers are insufficient for query execution time prediction. Inthis paper we challenge this assumption and show while the simple approach of scaling theoptimizer's estimated cost indeed fails; a properly calibrated optimizer cost model issurprisingly effective. However; even a well-tuned optimizer cost model will fail in thepresence of errors in cardinality estimates. Accordingly we investigate the novel idea ofspending extra resources to refine estimates for the query plan after it has been chosen …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,77
One-sided recursions,Jeffrey F Naughton,Abstract The performance of database systems with recursive query languages can beimproved by recognizing simple; easily evaluable classes of recursions and usingalgorithms tailored to these classes whenever possible. In this paper we identify a usefulsubset of recursive definitions; the one-sided recursions. We show how to detect one-sidedrecursions; and give a schema to evaluate selections of the form “column= constant” on arelation defined by a one-sided recursion. Instantiating this schema produces evaluationalgorithms that have simple termination conditions; maintain minimal state information; anduse selections on the recursively defined relation to restrict the tuples examined during theevaluation. We show that there are no similar algorithms for many-sided recursions. We alsoprove that it is undecidable whether an arbitrary definition has an equivalent one-sided …,Journal of Computer and System Sciences,1991,74
Active caching for multi-dimensional data sets in relational database management system,*,An “active cache”; for use by On-Line Analytic Processing (OLAP) systems; that can not onlyanswer queries that match data stored in the cache; but can also answer queries that requireaggregation or other computation of the data stored in the cache … This invention relates ingeneral to database management systems performed by computers; and in particular; to an activecache approach to caching multi-dimensional data sets for an on-line analytical processing(OLAP) system that uses a relational database management system (RDBMS) … (Note: Thisapplication references a number of different publications as indicated throughout the specificationby reference numbers enclosed in brackets; eg; [x]. A list of these different publications orderedaccording to these reference numbers can be found in the “Detailed Description of the PreferredEmbodiment” in Section 9 entitled “References.” Each of these publications is …,*,2003,72
A relational approach to incrementally extracting and querying structure in unstructured data,Eric Chu; Akanksha Baid; Ting Chen; AnHai Doan; Jeffrey Naughton,Abstract There is a growing consensus that it is desirable to query over the structure implicitin unstructured documents; and that ideally this capability should be provided incrementally.However; there is no consensus about what kind of system should be used to support thiskind of incremental capability. We explore using a relational system as the basis for aworkbench for extracting and querying structure from unstructured data. As a proof ofconcept; we applied our relational approach to support structured queries over Wikipedia.We show that the data set is always available for some form of querying; and that as it isprocessed; users can pose a richer set of structured queries. We also provide examples ofhow we can incrementally evolve our understanding of the data in the context of therelational workbench.,Proceedings of the 33rd international conference on Very large data bases,2007,70
Generating Synthetic Complex-Structured XML Data.,Ashraf Aboulnaga; Jeffrey F Naughton; Chun Zhang,Abstract Synthetically generated data has always been important for evaluating andunderstanding new ideas in database research. In this paper; we describe a data generatorfor generating synthetic complex-structured XML data that allows for a high level of controlover the characteristics of the generated data. This data generator is certainly not theultimate solution to the problem of generating synthetic XML data; but we have found it veryuseful in our research on XML data management; and we believe that it can also be usefulto other researchers. Furthermore; we hope that this paper starts a discussion in the XMLcommunity about characterizing and generating XML data; and that it may serve as a firststep towards developing a commonly accepted XML data generator for our community.,WebDB,2001,68
On differentially private frequent itemset mining,Chen Zeng; Jeffrey F Naughton; Jin-Yi Cai,Abstract We consider differentially private frequent itemset mining. We begin by exploringthe theoretical difficulty of simultaneously providing good utility and good privacy in this task.While our analysis proves that in general this is very difficult; it leaves a glimmer of hope inthat our proof of difficulty relies on the existence of long transactions (that is; transactionscontaining many items). Accordingly; we investigate an approach that begins by truncatinglong transactions; trading off errors introduced by the truncation with those introduced by thenoise added to guarantee privacy. Experimental results over standard benchmarkdatabases show that truncating is indeed effective. Our algorithm solves the" classical"frequent itemset mining problem; in which the goal is to find all itemsets whose supportexceeds a threshold. Related work has proposed differentially private algorithms for the …,Proceedings of the VLDB Endowment,2012,66
Rescheduling transactions in a database system,*,A database system includes a transaction rescheduling mechanism that reorders pendingtransactions based on whether one or more of the pending transactions conflict with anytransactions that have been scheduled for execution. In one arrangement; the receivedpending transactions are stored in a first queue. The transactions that are scheduled forexecution are stored in a second queue. The transactions are moved from the first queue tothe second queue based on the reordering by the transaction rescheduling mechanism.,*,2006,65
Toward scalable keyword search over relational data,Akanksha Baid; Ian Rae; Jiexing Li; AnHai Doan; Jeffrey Naughton,Abstract Keyword search (KWS) over relational databases has recently received significantattention. Many solutions and many prototypes have been developed. This task requiresaddressing many issues; including robustness; accuracy; reliability; and privacy. Anemerging issue; however; appears to be performance related: current KWS systems haveunpredictable running times. In particular; for certain queries it takes too long to produceanswers; and for others the system may even fail to return (eg; after exhausting memory). Inthis paper we argue that as today's users have been" spoiled" by the performance of Internetsearch engines; KWS systems should return whatever answers they can produce quicklyand then provide users with options for exploring any portion of the answer space notcovered by these answers. Our basic idea is to produce answers that can be generated …,Proceedings of the VLDB Endowment,2010,64
The case for a wide-table approach to manage sparse relational data sets,Eric Chu; Jennifer Beckmann; Jeffrey Naughton,Abstract A" sparse" data set typically has hundreds or even thousands of attributes; but mostobjects have non-null values for only a small number of these attributes. A popular viewabout sparse data is that it arises merely as the result of poor schema design. In this paper;we argue that rather than being the result of inept schema design; storing a sparse data setin a single table is the right way to proceed. However; for this to be the case; RDBMSs mustprovide sparse data management facilities that go beyond the previously studiedrequirement of storing such data sets efficiently. In particular; an RDBMS must 1) enableusers to effectively build ad hoc queries over a very large number of attributes; and 2)support efficient evaluation of these queries over a wide; sparse table. We proposetechniques that provide these capabilities; and argue that the single-table approach is a …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,64
Multi-query SQL progress indicators,Gang Luo; Jeffrey F Naughton; S Yu Philip,Abstract Recently; progress indicators have been proposed for SQL queries in RDBMSs. Allpreviously proposed progress indicators consider each query in isolation; ignoring theimpact simultaneously running queries have on each other's performance. In this paper; weexplore a multi-query progress indicator; which explicitly considers concurrently runningqueries and even queries predicted to arrive in the future when producing its estimates. Wedemonstrate that multi-query progress indicators can provide more accurate estimates thansingle-query progress indicators. Moreover; we extend the use of progress indicatorsbeyond being a GUI tool and show how to apply multi-query progress indicators to workloadmanagement. We report on an initial implementation of a multi-query progress indicator inPostgreSQL and experiments with its use both for estimating remaining query execution …,International Conference on Extending Database Technology,2006,64
A non-blocking parallel spatial join algorithm,Gang Luo; Jeffrey F Naughton; Curt J Ellmann,Interest in incremental and adaptive query processing has led to the investigation of equijoinevaluation algorithms that are non-blocking. This investigation has yielded a number ofalgorithms; including the symmetric hash join; the XJoin; the Ripple Join; and their variants.However; to our knowledge no one has proposed a nonblocking spatial join algorithm. Inthis paper; we propose a parallel non-blocking spatial join algorithm that uses duplicateavoidance rather than duplicate elimination. Results from a prototype implementation in acommercial parallel object-relational DBMS show that it generates answer tuples steadilyeven in the presence of memory overflow; and that its rate of producing answer tuples scaleswith the number of processors. Also; when allowed to run to completion; its performance iscomparable with the state-of-the-art blocking parallel spatial join algorithm.,Data Engineering; 2002. Proceedings. 18th international conference on,2002,64
Updates for structure indexes,Raghav Kaushik; Jeffrey F Naughton; Philip Bohannon; Pradeep Shenoy,This chapter illustrates efficient update algorithms for structure indexes. The problem ofindexing path queries in semistructured/XML databases has received considerable attentionrecently; and several proposals have advocated the use of structured indexes as supportingdata structures for this problem. With the rapidly increasing popularity of XML for datarepresentation; there is a lot of interest in query processing over data that conforms to alabeled-tree or labeled-graph data model. This chapter focuses on instances of structureindexes that are based on the notion of graph bisimilarity. It proposes algorithms to updatethe bismulation partition for both kinds of updates and show how they extend to indexes. Thechapter presents experiments on two real world data sets that show that their updatealgorithms are an order of magnitude faster than dropping and rebuilding the index …,*,2002,63
Architecting a network query engine for producing partial results,Jayavel Shanmugasundaram; Kristin Tufte; David DeWitt; David Maier; Jeffrey F Naughton,Abstract The growth of the Internet has made it possible to query data in all corners of theglobe. This trend is being abetted by the emergence of standards for data representation;such as XML. In face of this exciting opportunity; however; existing query engines need to bechanged in order to use them to effectively query the Internet. One of the challenges isproviding partial results of query computation; based on the initial portion of the input;because it may be undesirable to wait for all of the input. This situation is due to (a) limiteddata transfer bandwidth (b) temporary unavailability of sites and (c) intrinsically long-runningqueries (eg; continual queries or triggers). A major issue in providing partial results isdealing with non-monotonic operators; such as sort; average; negation and nest; becausethese operators need to see all of their input before they can produce the correct output …,International Workshop on the World Wide Web and Databases,2000,63
Using shared virtual memory for parallel join processing,Ambuj Shatdal; Jeffrey F Naughton,Abstract In this paper; we show that shared virtual memory; in a shared-nothingmultiprocessor; facilitates the design and implementation of parallel join processingalgorithms that perform significantly better in the presence of skew than previously proposedparallel join processing algorithms. We propose two variants of an algorithm for parallel joinprocessing using shared virtual memory; and perform a detailed simulation to investigatetheir performance. The algorithm is unique in that it employs both the shared virtual memoryparadigm and the message-passing paradigm used by current shared-nothing paralleldatabase systems. The implementation of the algorithm requires few modifications toexisting shared-nothing parallel database systems.,ACM SIGMOD Record,1993,62
On energy management; load balancing and replication,Willis Lang; Jignesh M Patel; Jeffrey F Naughton,Abstract In this paper we investigate some opportunities and challenges that arise in energy-aware computing in a cluster of servers running data-intensive workloads. We leverage theinsight that servers in a cluster are often underutilized; which makes it attractive to considerpowering down some servers and redistributing their load to others. Of course; poweringdown servers naively will render data stored only on powered down servers inaccessible.While data replication can be exploited to power down servers without losing access to data;unfortunately; care must be taken in the design of the replication and server power downschemes to avoid creating load imbalances on the remaining" live" servers. Accordingly; inthis paper we study the interaction between energy management; load balancing; andreplication strategies for data-intensive cluster computing. In particular; we show that …,ACM SIGMOD Record,2010,61
Increasing the accuracy and coverage of SQL progress indicators,Gang Luo; Jeffrey F Naughton; Curt J Ellmann; Michael W Watzke,Recently; progress indicators have been proposed for long-running SQL queries inRDBMSs. Although the proposed techniques work well for a subset of SQL queries; they arepreliminary in the sense that (1) they cannot provide non-trivial estimates for some SQLqueries; and (2) the provided estimates can be rather imprecise in certain cases. In thispaper; we consider the problem of supporting non-trivial progress indicators for a widerclass of SQL queries with more precise estimates. We present a set of techniques inachieving this goal. We report an initial implementation of these techniques in PostgreSQL.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,61
Integrating databases and workflow systems,Srinath Shankar; Ameet Kini; David J DeWitt; Jeffrey Naughton,Abstract There has been an information explosion in fields of science such as high energyphysics; astronomy; environmental sciences and biology. There is a critical need forautomated systems to manage scientific applications and data. Database technology is well-suited to handle several aspects of workflow management. Contemporary workflow systemsare built from multiple; separately developed components and do not exploit the full power ofDBMSs in handling data of large magnitudes. We advocate a holistic view of a WFMS thatincludes not only workflow modeling but planning; scheduling; data management andcluster management. Thus; it is worthwhile to explore the ways in which databases can beaugmented to manage workflows in addition to data. We present a language for modelingworkflows that is tightly integrated with SQL. Each scientific program in a workflow is …,ACM SIGMOD Record,2005,60
Efficient XML-to-SQL query translation: Where to add the intelligence?,Rajasekar Krishnamurthy; Raghav Kaushik; Jeffrey F Naughton,Abstract We consider the efficiency of queries generated by XML to SQL translation. We firstshow that published XML-to-SQL query translation algorithms are suboptimal in that theyoften translate simple path expressions into complex SQL queries even when much simplerequivalent SQL queries exist. There are two logical ways to deal with this problem. Onecould generate suboptimal SQL queries using a fairly naive translation algorithm; and thenattempt to optimize the resulting SQL; or one could use a more intelligent translationalgorithm with the hopes of generating efficient SQL directly. We show that optimizing theSQL after it is generated is problematic; becoming intractable even in simple scenarios; bycontrast; designing a translation algorithm that exploits information readily available attranslation time is a promising alternative. To support this claim; we present a translation …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,59
Efficiently incorporating user feedback into information extraction and integration programs,Xiaoyong Chai; Ba-Quy Vuong; AnHai Doan; Jeffrey F Naughton,Abstract Many applications increasingly employ information extraction and integration (IE/II)programs to infer structures from unstructured data. Automatic IE/II are inherently imprecise.Hence such programs often make many IE/II mistakes; and thus can significantly benefit fromuser feedback. Today; however; there is no good way to automatically provide and processsuch feedback. When finding an IE/II mistake; users often must alert the developer team (eg;via email or Web form) about the mistake; and then wait for the team to manually examinethe program internals to locate and fix the mistake; a slow; error-prone; and frustratingprocess. In this paper we propose a solution for users to directly provide feedback and forIE/II programs to automatically process such feedback. In our solution a developer U useshlog; a declarative IE/II language; to write an IE/II program P. Next; U writes declarative …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,58
A comparison of c-store and row-store in a common framework,Alan Halverson; Jennifer L Beckmann; Jeffrey F Naughton; David J Dewitt,Abstract Recently; a “column store” system called C-Store has shown signiﬁcantperformance ben» eﬁts by utilizing storage optimizations for a ieaclnnostly query workload.The authors oi'the C-Store paper compared their 0pti~ niizecl coluinn store to a coninieicialrow store RDBMS that is optimized tor a mixture of reads and writes; which obscures therelative beneﬁts of row and column stores. In this pa~ per; we describe two storageoptimizations for a row store architecture given a read-mostly query workload—“supertuples” and “column abstraction." We implement both our opti~ mizecl row store and C-Storein a common l'ramew0rl< in order to perform an “apples to-apples” comparison of theoptimizations in isolation and combination. We also develop a detailed cost model forsequential scans to break down time spent into three categories—disk I/O; iteration cost …,University of Wisconsin-Madison; Tech. Rep. TR1570,2006,58
Fixed-precision estimation of join selectivity,Peter J Haas; Jeffrey F Naughton; S Seshadri; Arun N Swami,Abstract We compare the performance of sampling-based procedures for estimation of theselectivity of an equijoin. While some of the procedures have been proposed in thedatabase sampling literature; their relative performance has never been analyzed. A mainresult of this paper is a partial ordering that compares the variability of the estimators for thedifferent procedures after an arbitrary fixed number of sampling steps. Prior to the currentwork; it was also unknown whether these fixed-step estimation procedures can be extendedto asymptotically efficient fixed-precision estimation procedures. Our second main result is ageneral method for such an extension and a proof that the method is valid for all theestimation procedures under consideration. Finally; we show that; under reasonableassumptions on sampling costs; the partial ordering on the variability of the fixed-step …,Proceedings of the twelfth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1993,57
On the relative cost of sampling for join selectivity estimation,Peter J Haas; Jeffrey F Naughton; Arun N Swami,Abstract We compare the cost of estimating the selectivity of a “star join” using samplingprocedure t-cross to the cost of simply computing the join and obtaining the exact answer.Our bounds and approximations for the relative cost of sampling show how this costdepends on the size of the input relations; the number of input relations; and the precisioncriterion used by the estimation procedure. We also demonstrate the deleterious effect ofdangling tuples and the mixed effect of data skew on the relative cost of sampling. Theseresults provide insight into when sampling should or should not be used for join selectivityestimation.,Proceedings of the thirteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1994,55
YAWN! (Yet Another Window on NAIL!),Katherine A.  Morris; Jeffrey F.  Naughton; Yatin P.  Saraiya; Jeffrey D.  Ullman; Allen Van  Gelder,*,IEEE Data Eng. Bull.,1987,55
Nested loops revisited,David J DeWitt; Jeffrey F Naughton; Joseph Burger,Four variants of parallel index nested loop algorithms are compared with the parallel hybridhash algorithm. The conclusions of experiments both with an analytic model and with animplementation in the Gamma parallel database system are that overall; parallel hybrid hashis the method of choice; but there are cases where nested loops with index wins big enoughthat systems could profit from implementing both algorithms. The experiments show furtherthat among the nested loop algorithms; one of them; subset nested loops with sorting; clearlydominates.,Parallel and Distributed Information Systems; 1993.; Proceedings of the Second International Conference on,1993,53
Materialized view selection for multi-cube data models,Amit Shukla; Prasad M Deshpande; Jeffrey F Naughton,Abstract OLAP applications use precomputation of aggregate data to improve queryresponse time. While this problem has been well-studied in the recent database literature; toour knowledge all previous work has focussed on the special case in which all aggregatesare computed from a single cube (in a star schema; this corresponds to there being a singlefact table). This is unfortunate; because many real world applications require aggregatesover multiple fact tables. In this paper; we attempt to fill this lack of discussion about theissues arising in multi-cube data models by analyzing these issues. Then we examineperformance issues by studying the precomputation problem for multi-cube systems. Weshow that this problem is significantly more complex than the single cube precomputationproblem; and that algorithms and cost models developed for single cube precomputation …,International Conference on Extending Database Technology,2000,51
Multiprocessor main memory transaction processing,Kai Li; Jeffrey F Naughton,Abstract In this paper we describe an experiment designed to evaluate the potentialtransaction processing system performance achievable through the combination of multipleprocessors and massive memories. The experiment consisted of the design andimplementation of a transaction processing kernel on stock multiprocessors. We found thatwith sufficient memory; multiple processors can greatly improve performance. A prototypeimplementation of the kernel on a pair of Firefly multiprocessors (each with five 1-MIPprocessors) runs the standard debit-credit benchmark at over 1000 transactions per second.,Proceedings of the first international symposium on Databases in parallel and distributed systems,2000,51
Sampling issues in parallel database systems,S Seshadri; Jeffrey F Naughton,Abstract Sampling has proven useful in database systems in applications including querysize estimation; and most recently; probabilistic parallel query evaluation algorithms. Inorder to apply the full power of modern multiprocessor database systems; samplingtechniques must (1) distribute the sampling workload evenly among the processors in thesystem; and (2) make use of all the data on the pages brought into main memory during thecourse of the sampling. In this paper we show how to achieve these two goals by provingthat for query size estimation;(1) stratified random sampling guarantees perfect loadbalancing without reducing the accuracy of the estimate; and that (2) for a given number ofI/O operations; page level sampling always produces a more accurate estimate than tuplelevel sampling. For probabilistic parallel query evaluation algorithms; high performance …,International Conference on Extending Database Technology,1992,48
Counting methods for cyclic relations,Ramsey W Haddad; Jeffrey F Naughton,Abstract In this paper we consider selections of the form “column= constant” on relationsdefined by linear recursive; two rule datalog programs. In general; counting methodsperform well on such queries. However; counting methods fail in the presence of cycles inthe database. We present an algorithm in the spirit of counting methods that correctly dealswith cyclic data and has the same asymptotic running time as counting methods. Thealgorithm; which is based on reducing a query on a database to a question aboutintersections of semi-linear sets; works by using efficient methods to construct theappropriate semi-linear sets from the database and query constant.,Proceedings of the seventh ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1988,47
Learning generalized linear models over normalized data,Arun Kumar; Jeffrey Naughton; Jignesh M Patel,Abstract Enterprise data analytics is a booming area in the data management industry. Manycompanies are racing to develop toolkits that closely integrate statistical and machinelearning techniques with data management systems. Almost all such toolkits assume that theinput to a learning algorithm is a single table. However; most relational datasets are notstored as single tables due to normalization. Thus; analysts often perform key-foreign keyjoins before learning on the join output. This strategy of learning after joins introducesredundancy avoided by normalization; which could lead to poorer end-to-end performanceand maintenance overheads due to data duplication. In this work; we take a step towardsenabling and optimizing learning over joins for a common class of machine learningtechniques called generalized linear models that are solved using gradient descent …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,46
Compiling separable recursions,Jeffrey F Naughton,Abstract In this paper we consider evaluating queries on relations defined by a combinationof recursive rules. We first define separable recursions. We then give a specialized algorithmfor evaluating selections on separable recursions. Like the Generalized Magic Sets andGeneralized Counting algorithms; thus algorithm uses selection constants to avoidexamining irrelevant portions of the database; however; on some simple recursions thisalgorithm is &Ogr;(n); whereas Generalized Magic Sets is &OHgr;(n 2) and GeneralizedCounting is &OHgr;(2 n),ACM SIGMOD Record,1988,46
Computation of multidimensional aggregates,Prasad M Deshpande; Sameet Agarwal; Jeffrey F Naughton; Raghu Ramakrishnan,*,*,1996,45
Bottom-up evaluation of logic programs,Jeffrey F Naughton; Raghu Ramakrishnan,*,Computational Logic-Essays in Honor of Alan Robinson,1991,44
Storage reclamation and reorganization in client-server persistent object stores,Voon-Fee Yong; Jeffrey F Naughton; Jie-Bing Yu,The authors develop and evaluate a number of storage reclamation algorithms for client-server persistent object stores. Experience with a detailed simulation and a prototypeimplementation in the Exodus storage manager shows that one of the proposed algorithms;the Incremental Partitioned Collector; is complete; maintains transaction semantics; and canbe run incrementally and concurrently with client applications. Furthermore; it cansignificantly improve subsequent system performance by reclustering data; rendering itattractive even for systems that choose not to support automatic storage reclamation.,Data Engineering; 1994. Proceedings. 10th International Conference,1994,43
Towards predicting query execution time for concurrent and dynamic database workloads,Wentao Wu; Yun Chi; Hakan Hacígümüş; Jeffrey F Naughton,Abstract Predicting query execution time is crucial for many database management tasksincluding admission control; query scheduling; and progress monitoring. While a number ofrecent papers have explored this problem; the bulk of the existing work either considersprediction for a single query; or prediction for a static workload of concurrent queries; whereby" static" we mean that the queries to be run are fixed and known. In this paper; weconsider the more general problem of dynamic concurrent workloads. Unlike most previouswork on query execution time prediction; our proposed framework is based on analyticmodeling rather than machine learning. We first use the optimizer's cost model to estimatethe I/O and CPU requirements for each pipeline of each query in isolation; and then use acombination queueing model and buffer pool model that merges the I/O and CPU …,Proceedings of the VLDB Endowment,2013,42
