Cube faceted data analysis,*,Methods; systems; and computer readable medium for displaying results of a search query.In one implementation; the method includes receiving a query; obtaining documents thatsatisfy the query; constructing a facet hierarchy based on documents that satisfy the query;creating a cube structure based on the facet hierarchy; and displaying a multi-dimensionalsearch interface based on the cube structure.,*,2010,95
MonetDB Feb2013-SP4 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; JA deRijke; Y Zhang; S Idreos; E Sidirourgos; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen; S Héman; K Kyzirakos,KNAW Narcis. Back to search results. Publication MonetDB Feb2013-SP4 bugfix release (2013).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Feb2013-SP4 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); JA de Rijke(Arjen); Y. Zhang (Ying); S. Idreos (Stratos); E. Sidirourgos (Eleftherios); H. Pirk (Holger); M.-D.Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz);MM Gawade (Mrunal); HF Mühleisen (Hannes); S. Héman (Sándor); K. Kyzirakos (Konstantinos).Supporting host; Database Architectures; Database Architectures. Date; 2013-09-01. Language;English. Type; Other. Publication; https://ir.cwi.nl/pub/21480. Persistent Identifier;urn:NBN:nl:ui:18-21480. Metadata; XML. Source; CWI …,*,2013,*
Efficient CPU/GPU Co-Processing of Ad-hoc Array Queries in MonetDB1,Holger Pirk; Thibault Sellam; Stefan Manegold; Martin Kersten; Ying Zhang,Executive Summary The objectives of WP5 are (i) to develop query processing andoptimization techniques for ad-hoc and continuous/stream queries for EO image dataimplemented as arrays on top of MonetDB and (ii) to develop a functional/performancebenchmark that allows us to evaluate our implementation. WP5 is organized in three tasksthat each yield one deliverable as follows:,*,2013,*
MonetDB Feb2013-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; S Idreos; RA Goncalves; E Sidirourgos; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; HF Mühleisen,KNAW Narcis. Back to search results. Publication MonetDB Feb2013-SP1 bugfix release (2013).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Feb2013-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); S. Idreos (Stratos); RA Goncalves (Romulo); E.Sidirourgos (Eleftherios); H. Pirk (Holger); M.-D. Pham (Minh-Duc); LHA Scheers (Bart); E. Petraki(Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz); MM Gawade (Mrunal); HF Mühleisen (Hannes).Supporting host; Database Architectures; Database Architectures. Date; 2013-03-01. Language;English. Type; Other. Publication; https://ir.cwi.nl/pub/21316. Persistent Identifier;urn:NBN:nl:ui:18-21316. Metadata; XML. Source; CWI …,*,2013,*
Hardware-Conscious Cost Modelling through the Ages,Stefan Manegold; Holger Pirk,*,*,2013,*
Transaction Processing in the Hybrid OLTP&OLAP Main-Memory Database System HyPer,Alfons Kemper Thomas Neumann Jan Finis; Florian Funke; Viktor Leis Henrik Mühe Tobias Mühlbauer; Wolf Rödiger,Abstract Two emerging hardware trends have re-initiated the development of in-coredatabase systems: ever increasing main-memory capacities and vast multi-core parallelprocessing power. Main-memory capacities of several TB allow to retain all transactionaldata of even the largest applications in-memory on one (or a few) servers. The vastcomputational power in combination with low data management overhead yieldsunprecedented transaction performance which allows to push transaction processing (awayfrom application servers) into the database server and still “leaves room” for additional queryprocessing directly on the transactional data. Thereby; the often postulated goal of real-timebusiness intelligence; where decision makers have access to the latest version of thetransactional state; becomes feasible. In this paper we will survey the HyPerScript …,Data Engineering,2013,*
MonetDB Dec2011 feature release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki; THJ Sellam; Y Kargin; MM Gawade; VV Meduri,KNAW Narcis. Back to search results. Publication MonetDB Dec2011 feature release (2012).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Dec2011 feature release. Author; ML Kersten (Martin); PABoncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen (Fabian);JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RA Goncalves(Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni); THJ Sellam (Thibault); Y. Kargin (Yagiz); MMGawade (Mrunal); VV Meduri (Vamsi). Supporting host; Database Architectures; name unknown.Date; 2012-01-01. Language; English. Type; Other. Publication; https://ir.cwi.nl/pub/19382.Persistent Identifier; urn:NBN:nl:ui:18-19382. Metadata; XML. Source; CWI …,*,2012,*
A stream data model and query language for continuous/stream queries over EO image files and databases,Milena Ivanova; Martin Kersten; Stefan Manegold; Holger Pirk; Erietta Liarou; Romulo Goncalves; Stratos Idreos,Executive Summary In the TELEIOS project; in particular NOA's real-time fire monitoring usecase (work-package 7) requires continuous query processing functionality similar to thatknown from event stream processing of publish/-subscribe scenarios. As opposed to ad-hocquery processing; where one-time queries are evaluated against a stable data base;continuous query processing features long-running queries that are continuously evaluatedagainst ever new arriving data. In general; stream applications gained significant popularityover the last years that lead to the development of specialized stream engines. Thesesystems are designed from scratch with a different philosophy than nowadays databaseengines in order to cope with the stream applications requirements. However; this meansthat they lack the power and sophisticated techniques of a full fledged database system …,*,2011,*
MonetDB Aug2011-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki,KNAW Narcis. Back to search results. Publication MonetDB Aug2011-SP1 bugfix release (2011).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Aug2011-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RAGoncalves (Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni). Supporting host; Database Architectures;name unknown. Date; 2011-09-01. Language; English. Type; Other. Publication;https://ir.cwi.nl/pub/19379. Persistent Identifier; urn:NBN:nl:ui:18-19379. Metadata; XML. Source;CWI. Go to Website Navigation: Home; about narcis; login; Nederlands. contact …,*,2011,*
MonetDB Apr2011-SP1 bugfix release,ML Kersten; PA Boncz; NJ Nes; S Manegold; KS Mullender; FE Groffen; JA deRijke; Y Zhang; MG Ivanova; S Idreos; RA Goncalves; E Sidirourgos; E Liarou; H Pirk; M Pham; LHA Scheers; E Petraki,KNAW Narcis. Back to search results. Publication MonetDB Apr2011-SP1 bugfix release (2011).Pagina-navigatie: Main. Save publication: Save as MODS; Export to Mendeley; Save as EndNote;Export to RefWorks. Title; MonetDB Apr2011-SP1 bugfix release. Author; ML Kersten (Martin);PA Boncz (Peter); NJ Nes (Niels); S. Manegold (Stefan); KS Mullender (Sjoerd); FE Groffen(Fabian); JA de Rijke (Arjen); Y. Zhang (Ying); MG Ivanova (Milena); S. Idreos (Stratos); RAGoncalves (Romulo); E. Sidirourgos (Eleftherios); E. Liarou (Erietta); H. Pirk (Holger); M.-D. Pham(Minh-Duc); LHA Scheers (Bart); E. Petraki (Eleni). Supporting host; Database Architectures;name unknown. Date; 2011-05-01. Language; English. Type; Other. Publication;https://ir.cwi.nl/pub/19376. Persistent Identifier; urn:NBN:nl:ui:18-19376. Metadata; XML. Source;CWI. Go to Website Navigation: Home; about narcis; login; Nederlands. contact …,*,2011,*
Selected Publications,KINAM PARK,[2] Park; H.; Park; K.; and Kim; D.: Preparation and swelling behavior of chitosan-basedsuperporous hydrogels for gastric retention application; J. Biomed. Mater. Res.; 76A: 144–150; 2006.[3] Jeong; JH; Cho; YW; Jung; B.; Park; K. and Kim; JD.: Self-assemblednanoparticles of ribozymes with poly (ethylene glycol)-b-poly (l-lysine) block copolymers;Japanese Journal of Applied Physics; 45: 591-595; 2006.,Journal of Polymer Science: Part B: Polymer Physics,2006,*
Synopsis: Hybrid Stores-Partitioning into Rows and Columns,Holger Pirk,The real execution time of a database query is not only determined by its theoreticalcomplexity. When run on a real computer other factors like the hardware and the specificimplementation are of influence. It has been shown that within the implementationfactors thememory access pattern has the most influence [4]. This is due to the fact that required data isnot read byte-wise but block-wise (harddisk blocks; memory pages or cachelines). Even ofthe blocks some are faster to read than others due to strategical prefetching (mostly basedon colocation). Organizing data in a way that makes it fast to read by an algorithm is achallenging but profitable task. In a database context this is usually done by an experiencedadministrator (DBA). He needs a lot of knowledge of the internals of the particular DBMS tomake qualified decision on different optimization techniques (indices; materialized views …,*,*,*
