The SAP HANA Database–An Architecture Overview,Franz Färber; Norman May; Wolfgang Lehner; Philipp Große; Ingo Müller; Hannes Rauhe; Jonathan Dees,Abstract Requirements of enterprise applications have become much more demanding.They require the computation of complex reports on transactional data while thousands ofusers may read or update records of the same data. The goal of the SAP HANA database isthe integration of transactional and analytical workload within the same databasemanagement system. To achieve this; a columnar engine exploits modern hardware(multiple CPU cores; large main memory; and caches); compression of database content;maximum parallelization in the database kernel; and database extensions required byenterprise applications; eg; specialized data structures for hierarchies or support for domainspecific languages. In this paper we highlight the architectural concepts employed in theSAP HANA database. We also report on insights gathered with the SAP HANA database …,Data Engineering Bulletin,2012,191
Efficient XQuery evaluation of grouping conditions with duplicate removals,Norman May; Guido Moerkotte,Abstract Currently; grouping in XQuery must be expressed implicitly with nested FLWORexpressions. With XQuery 1.1; an explicit group by clause will be part of this query language.As users integrate this new construct into their applications; it becomes important to haveefficient evaluation techniques available to process even complex grouping conditions.Among them; the removal of distinct values or distinct nodes in the partitions defined by thegroup by clause is not well-supported yet. The evaluation technique proposed in this paperis able to handle duplicate removal in the partitions efficiently. Experiments show thesuperiority of our solution compared to state-of-the-art query processing.,International XML Database Symposium,2007,4
Managed Query Processing within the SAP HANA Database Platform,Norman May; Alexander Böhm; Meinolf Block; Wolfgang Lehner,Abstract The SAP HANA database extends the scope of traditional database engines as itsupports data models beyond regular tables; eg text; graphs or hierarchies. Moreover; SAPHANA also provides developers with a more fine-grained control to define their databaseapplication logic; eg exposing specific operators which are difficult to express in SQL.Finally; the SAP HANA database implements efficient communication to dedicated clientapplications using more effective communication mechanisms than available with standardinterfaces like JDBC or ODBC. These features of the HANA database are complemented bythe extended scripting engine–an application server for server-side JavaScript applications–that is tightly integrated into the query processing and application lifecycle management. Asa result; the HANA platform offers more concise models and code for working with the …,Datenbank-Spektrum,2015,3
A study of partitioning and parallel UDF execution with the SAP HANA database,Philipp Große; Norman May; Wolfgang Lehner,Abstract Large-scale data analysis relies on custom code both for preparing the data foranalysis as well as for the core analysis algorithms. The map-reduce framework offers asimple model to parallelize custom code; but it does not integrate well with relationaldatabases. Likewise; the literature on optimizing queries in relational databases has largelyignored user-defined functions (UDFs). In this paper; we discuss annotations for user-defined functions that facilitate optimizations that both consider relational operators andUDFs. In this paper we focus on optimizations that enable the parallel execution of relationaloperators and UDFs for a number of typical patterns. A study on real-world data investigatesthe opportunities for parallelization of complex data flows containing both relationaloperators and UDFs.,Proceedings of the 26th International Conference on Scientific and Statistical Database Management,2014,3
Hardware accelerated application integration processing: Industry paper,Daniel Ritter; Jonas Dann; Norman May; Stefanie Rinderle-Ma,Abstract The growing number of (cloud) applications and devices massively increases thecommunication rate and volume pushing integration systems to their (throughput) limits.While the usage of modern hardware like Field Programmable Gate Arrays (FPGAs) led tolow latency when employed for query and event processing; application integration adds yetunexplored processing opportunities. In this industry paper; we explore how to programintegration semantics (eg; message routing and transformation) in form of EnterpriseIntegration Patterns (EIP) on top of an FPGA; thus complementing the existing research onFPGA data processing. We focus on message routing; re-define the EIP for streamprocessing and propose modular hardware implementations as templates that aresynthesized to circuits. For our real-world" connected car" scenario (ie; composed …,Proceedings of the 11th ACM International Conference on Distributed and Event-based Systems,2017,2
Order Indexes: supporting highly dynamic hierarchical data in relational main-memory database systems,Jan Finis; Robert Brunel; Alfons Kemper; Thomas Neumann; Norman May; Franz Faerber,Abstract Maintaining and querying hierarchical data in a relational database system is animportant task in many business applications. This task is especially challenging whenconsidering dynamic use cases with a high rate of complex; possibly skewed structuralupdates. Labeling schemes are widely considered the indexing technique of choice forhierarchical data; and many different schemes have been proposed. However; they cannothandle dynamic use cases well due to various problems; which we investigate in this paper.We therefore propose Order Indexes—a dynamic representation of the nested intervalsencoding—which offer competitive query performance; unprecedented update efficiency;and robustness for highly dynamic workloads.,The VLDB Journal,2017,2
SAP HANA–The Evolution of an In-Memory DBMS from Pure OLAP Processing Towards Mixed Workloads,Norman May; Alexander Böhm; Wolfgang Lehner,The journey of SAP HANA started as an in-memory appliance for complex; analyticalapplications. The success of the system quickly motivated SAP to broaden the scope fromthe OLAP workloads the system was initially architected for to also handle transactionalworkloads; in particular to support its Business Suite flagship product. In this paper; wehighlight some of the core design changes to evolve an in-memory column store systemtowards handling OLTP workloads. We also discuss the challenges of running mixedworkloads with low-latency OLTP queries and complex analytical queries in the context ofthe same database management system and give an outlook on the future databaseinteraction patterns of modern business applications we see emerging currently.,BTW,2017,2
Optimization of parallelization of user-defined functions with flexible partitioning,*,Technologies are disclosed for generating query execution plans optimized for parallelexecution for programs having both core database relational functions and user-definedfunctions. A variety of optimization strategies can be employed to improve performance in aparallel execution scenarios. A flexible range of permitted partition arrangements can bespecified as acceptable to parallelized instances of the user-defined function. The optimizercan leverage such information when constructing an optimized query execution plan.Partitioning arrangements or other properties can be leveraged to avoid additional orunnecessary processing.,*,2016,2
Transactional-consistent cache for database objects,*,A system and method for providing a transactional-consistent cache for database objects isdisclosed. New data is received by a cache manager. The cache manager updates an entryof a cache with the new data received by the cache manager; by registering the updating ofthe entry with the new data with an invalidator. The registering includes a timestamp. Aninvalidation event is then generated by the invalidator. The invalidation event includes anotification about the updating of the entry of the cache with the new data received by thecache manager according to the timestamp.,*,2015,2
Caching views on historical data,*,In a general aspect; a computer-implemented method for executing a query on a table of adatabase; where the table has multiple partitions; can include receiving a query requesting aview on the table. The view on the table can be based on data included in a partition of themultiple partitions of the table. The method can also include determining a cached result tothe query is not available in the database and generating a result to the query from; at least;the data of the partition of the multiple partitions. After the generating; the method caninclude building a cache including the result to the query; associating a transaction identifierfor the query with the result to the query result in the cache; and returning the result to thequery.,*,2016,1
Task Scheduling for Highly Concurrent Analytical and Transaction Workloads,*,Systems and method for a task scheduler with dynamic adjustment of concurrency levelsand task granularity are disclosed for improved execution of highly concurrent analytical andtransactional systems. The task scheduler can avoid both over commitment andunderutilization of computing resources by monitoring and controlling the number of activeworker threads. The number of active worker threads can be adapted to avoidunderutilization of computing resources by giving the OS control of additional worker threadsprocessing blocked application tasks. The task scheduler can dynamically determine anumber of parallel operations for a particular task based on the number of available threads.The number of available worker threads can be determined based on the averageavailability of worker threads in the recent history of the application. Based on the number …,*,2016,1
Annotations for parallelization of user-defined functions with flexible partitioning,*,Annotations can be placed in source code to indicate properties for user-defined functions. Awide variety of properties can be implemented to provide information that can be leveragedwhen constructing a query execution plan for the user-defined function and associated coredatabase relational operations. A flexible range of permitted partition arrangements can bespecified via the annotations. Other supported properties include expected sorting andgrouping arrangements; ensured post-conditions; and behavior of the user-defined function.,*,2015,1
From Static to Agile-Interactive Particle Physics Analysis in the SAP HANA DB,David Kernert; Norman May; Michael Hladik; Klaus Werner; Wolfgang Lehner,Abstract: In order to confirm their theoretical assumptions; physicists employ Monte-Carlogenerators to produce millions of simulated particle collision events and compare them withthe results of the detector experiments. The traditional; static analysis workflow of physicistsinvolves creating and compiling a C++ program for each study; and loading large data filesfor every run of their program. To make this process more interactive and agile; we createdan application that loads the data into the relational in-memory column store DBMS SAPHANA; exposes raw particle data as database views and offers an interactive web interfaceto explore this data. We expressed common particle physics analysis algorithms using SQLqueries to benefit from the inherent scalability and parallelization of the DBMS. In this paperwe compare the two approaches; ie manual analysis with C++ programs and interactive …,Proceedings of 4th International Conference on Data Management Technologies and Applications (DATA),2015,1
Normalization and Translation of XQuery,Norman May; Guido Moerkotte,ABSTRACT Early approaches to XQueryprocessing proposed proprietary techniques tooptimize and evaluate XQuery statements. In this chapter; the authors argue for an algebraicoptimization and evaluation technique for XQuery as it allows us to benefit from experiencegained with relational databases. An algebraic XQuery processing method requires atranslation into an algebra representation. While many publications already exist onalgebraic optimizations and evaluation techniques for XQuery; an assessment of translationtechniques is required. Consequently; they give a comprehensive survey for translatingXQuery into various query representations. The authors relate these approaches to the waynormalization and translation is implemented in Natix and discuss these two steps in detail.In their experience; their translation method is a good basis for further optimizations and …,Advanced Applications and Structures in XML Processing: Label Streams; Semantics Utilization and Data Query Technologies. Hershey: Igi Global Publishing,2010,1
Innovation in the Internet of Services,Jan Finzen; Christoph Riedl; Norman May; Stephan Stathel,Le projet TEXO; un des six scénarios d'application du programme de recherche THESEUS;a pour but de développer une infrastructure pour l'Internet des services en s' appuyant surtrois paradigmes: 1) une architecture orientée services (SOA); 2) le Web sémantique et 3) leWeb 2.0. Nous proposons que les logiciels facilitant l'innovation en matière de servicesutilisent ces trois aspects pour être déployés et utilisés facilement au sein de l'Internet desservices. Dans cet article; nous présentons des caractéristiques clé des servicesélectroniques et leurs implications concernant le processus d'innovation en matière deservices. Nous présentons le cadre d'innovation pour les services (service innovationframework) développé et utilisé dans le projet TEXO et décrivons les logiciels constituant cecadre.,RESER,2010,1
Querying embedded RDF with XML Technology-A Feasibility Study,Norman May; Heiner Stuckenschmidt,*,XML Tage 2007 in Berlin: 24.-26. September 2007 in Berlin;[Tagungsband],2007,1
An Algebraic Approach to XQuery Optimization,Norman May,Abstract: As more data is stored in XML and more applications need to process this data;XML query optimization becomes performance critical. While optimization techniques forrelational databases have been developed over the last thirty years; the optimization of XMLqueries poses new challenges. Query optimizers for XQuery; the standard query languagefor XML data; need to consider both document order and sequence order. Nevertheless;algebraic optimization proved powerful in query optimizers in relational and object orienteddatabases. Thus; this dissertation presents an algebraic approach to XQuery optimization. Inthis thesis; an algebra over sequences is presented that allows for a simple translation ofXQuery into this algebra. The formal definitions of the operators in this algebra allow us toreason formally about algebraic optimizations. This thesis leverages the power of this …,*,2007,1
Hierarchical Window Database Query Execution,*,Abstract Addressed herein is the problem of expressing and evaluating computations onhierarchies represented as database tables. Engine support for such computations is verylimited today; and so they are usually outsourced into stored procedures or client code.Structural grouping is applied to relational algebra to provide concise syntax to express aclass of useful computations. Algorithms are also provided to evaluate such structuralgroupings efficiently by exploiting available indexing schemes. Related apparatus; systems;techniques and articles are also described.,*,2018,*
Hierarchical Data Grouping in Main-Memory Relational Databases,*,Abstract Addressed herein is the problem of expressing and evaluating computations onhierarchies represented as database tables. Engine support for such computations is verylimited today; and so they are usually outsourced into stored procedures or client code.Structural grouping is applied to relational algebra to provide concise syntax to express aclass of useful computations. Algorithms are also provided to evaluate such structuralgroupings efficiently by exploiting available indexing schemes. Related apparatus; systems;techniques and articles are also described.,*,2018,*
Interleaving with coroutines: a practical approach for robust index joins,Georgios Psaropoulos; Thomas Legler; Norman May; Anastasia Ailamaki,ABSTRACT Index join performance is determined by the efficiency of the lookup operationon the involved index. Although database indexes are highly optimized to leverageprocessor caches; main memory accesses inevitably increase lookup runtime when theindex outsizes the last-level cache; hence; index join performance drops. Still; robust indexjoin performance becomes possible with instruction stream interleaving: given a group oflookups; we can hide cache misses in one lookup with instructions from other lookups byswitching among their respective instruction streams upon a cache miss. In this paper; wepropose interleaving with coroutines for any type of index join. We showcase our proposalon SAP HANA by implementing binary search and CSB+-tree traversal for an instance ofindex join related to dictionary compression. Coroutine implementations not only perform …,Proceedings of the VLDB Endowment,2017,*
Timeline index for managing temporal data,*,Embodiments described herein generally relate to creating a timeline index for executingqueries on temporal data. A computer-implemented method is described. The methodincludes creating a first list of tuples that are invalidated in a temporal table and sorting thefirst list of the invalidated tuples. The method can further include creating a second list oftuples that are activated in the temporal table and combining the first list and the second listinto a third list that includes the activated tuples and the invalidated tuples; wherein the thirdlist contains ROW_IDs of both the activated tuples and the invalidated tuples.,*,2017,*
Methods and systems for estimating the number of points in two-dimensional data,*,A method; medium; and system to generate cardinality estimates for at least one queryexecution plan for a query by representing a given set of multidimensional data including aplurality of data points having a value by a hierarchical tree data structure including nodes;each node representing a distribution of a subset of the points in the data set and beingpartitioned into tiles; calculating a bounding rectangle of the data points in each node;entering all non-empty tiles into a queue; processing of the queue can continue until acomputational memory space limit is reached or until a desired estimation resolution is met;and encoding the resulting tree structure.,*,2017,*
Transactional cache invalidation for inter-node caching,*,Disclosed herein are system; method; and computer program product embodiments forefficiently providing transaction-consistent snapshots of data stored in or associated with adatabase stored within a database management system. An embodiment operates byreceiving; at a source database; an update request to update a table at the source databaseand transmitting a message to a cache node to invalidate a copy of a table time stampassociated with the table; where the copy of the table time stamp is stored at the cache node.The embodiment continues by updating the table at the source database based on theupdate request.,*,2017,*
Atomic visibility switch for transactional cache invalidation,*,Disclosed herein are system; method; and computer program product embodiments forefficiently providing transaction-consistent snapshots of data stored in or associated with adatabase stored within a database management system. An embodiment operates byreceiving; at a source database; an update request to update data associated with a tablestored at the source database. The embodiment continues by modifying a value of amodification-in-progress data structure corresponding to the table to indicate that amodification is in progress for the table; and that cached data associated with the table isinvalid while the modification is in progress for the table and performing the table updatebased; at least; on information received in the update request. The embodiment furthercontinues by updating a value of a commit identification counter; and subsequently a …,*,2017,*
Query hints for caching and replication,*,A method may include receiving a query for data to be provided by a database server;wherein the query includes an indication of a maximum lag. The method may further includedetermining whether a hint is available to apply to the query; wherein the hint affects anexecution of the query. When no hint is available; a baseline database server may beselected to be the database server. When the hint is available; a replication server or acache server may be selected to be the database server based on the hint and the maximumlag. The query may be processed at the selected database server.,*,2017,*
Using statistics for database partition pruning on correlated columns,*,A system includes a database having one or more tables having multiple partitions. Thedatabase includes memory modules to store the multiple partitions; a query processor; adata manipulation language (DML) processor configured to process operations tomanipulate data in one or more of the partitions and a statistics module. For each partition;the statistics module maintains a partition profile and stores the partition profile in a statisticscache. The partition profile includes at least a first interval of data range values per columnfor one or more columns. The statistics module updates at least the first interval of a partitionprofile for a partition with new data range values responsive to the DML processorprocessing an operation to manipulate data in the partition. The database includes apartition pruning module that is configured to include partitions responsive to a received …,*,2017,*
Adaptive table placement in numa architectures,*,Techniques and solutions are provided for performing adaptive database table placement ina non-uniform memory access (NUMA) architecture. The adaptive table placement canoccur in response to changing workloads on the NUMA nodes. For example; if a particularNUMA node is saturated; a database table may be moved from the memory of the saturatedNUMA node to the memory of another NUMA node that is underutilized. In some cases; anentire database table is moved; while in other cases the database table is partitioned andonly part of the table is moved.,*,2017,*
JexLog: a sonar for the abyss,Tobias Scheuer; Norman May; Alexander Böhm; Daniel Scheibli,Abstract Today's hardware architectures provide an ever-increasing number of CPU coresthat can be used for running concurrent operations. A big challenge is to ensure that theseoperations are properly synchronized and make efficient use of the available resources.Fellow database researchers have appropriately described this problem as" staring into theabyss" of complexity [12]; where reasoning about the interplay of jobs on a thousand coresbecomes extremely challenging. In this demonstration; we show how a new tool; JexLog;can help to visually analyze concurrent jobs in system software and how it is used tooptimize for modern hardware.,Proceedings of the VLDB Endowment,2016,*
Index-assisted hierarchical computations in main-memory RDBMS,Robert Brunel; Norman May; Alfons Kemper,Abstract We address the problem of expressing and evaluating computations on hierarchiesrepresented as database tables. Engine support for such computations is very limited today;and so they are usually outsourced into stored procedures or client code. Recently; datamodel and SQL language extensions were proposed to conveniently represent and workwith hierarchies. On that basis we introduce a concept of structural grouping to relationalalgebra; provide concise syntax to express a class of useful computations; and discussalgorithms to evaluate them efficiently by exploiting available indexing schemes. Thisextends the versatility of RDBMS towards a great many use cases dealing with hierarchicaldata.,Proceedings of the VLDB Endowment,2016,*
Timeline index for partitioned temporal database tables,*,Partitioning of temporal databases can implement distributed storage of temporal data viatime-based or space-based techniques to improve performance of operators on thedatabase. A variety of operators can be supported for the partitioned tables; includingtemporal aggregation; time travel; and temporal join. The use of checkpoints can greatlyincrease performance in a variety of scenarios. The described partitioning techniques canbe applied in a parallel execution context to great benefit. The partitioning can also reducelocal memory footprint; facilitating in-memory database processing.,*,2016,*
Cached Views,*,Embodiments relate to view caching techniques that cache for a limited time; some of the(intermediate) results of a previous query execution; in order to avoid expensive re-computation of query results. Particular embodiments may utilize a cache manager todetermine whether information relevant to a subsequent user request can be satisfied by anexisting cache instance or view; or whether creation of an additional cache instance isappropriate. At design time; cache defining columns of a view are defined; with user inputparameters automatically being cache defining. Cache instances are created for each tupleof literals for the cache defining columns; and for each explicit or implicit group by clause.Certain embodiments may feature enhanced reuse between cache instances; in order tolimit memory footprint. Over time a cache instances may be evicted from memory based …,*,2015,*
Time slider operator for temporal data aggregation,*,Calculation of aggregated values in a history database table can be optimized using anapproach in which an ordered history table is accessed. The ordered history table caninclude a sequential listing of commit identifiers associated with updates; insertions; and/ordeletions to values in the database table. The ordered history table can be traversed in asingle pass to calculate an aggregation function using an optimized algorithm. Theoptimized algorithm can enable calculation of an aggregated metric of the values based ona selected method for tracking invalidated values to their corresponding commit identifiers.The calculated metric is generated for a current version of the database table; and promoted.,*,2014,*
Method and system for database benchmarking,*,A method and system to define a plurality of benchmark component types; each of thebenchmark component types being a meta model defining the benchmark component type;generate instances of the plurality of benchmark component types; define parametersassociated with the plurality of benchmark component types; and combine one or more ofthe instances of the plurality of benchmark component types and the defined parametersassociated with the benchmark component types being combined.,*,2014,*
Modeling Foundations,Steffen Heinzl; Uwe Kylau; Norman May,Abstract One of the basic purposes of USDL is to provide a “commercial envelope” around aservice for exposition in Web-based service networks (ie; the Internet of Services). Besidesthe description of pricing; licensing; functionality; behavior; service levels; and securityaspects; there remain the following fundamental facets: the interweaving of all the aspects;the modeling of basic concepts such as service; composite service; or bundles; and theinformation about participants in the delivery of the service. These concepts are reflected inthe modules introduced in this chapter: the Service Module and the Participants Module.These two modules are complemented by the Foundation which covers aspects that areused in multiple other modules. This chapter presents the module design taking into accountthe influence of the state of the art and several of the general language requirements as …,*,2012,*
Natix Visual Interfaces,Alexander Böhm; Matthias Brantner; Carl-Christian Kanne; Norman May; Guido Moerkotte,The Natix Project [3] was among the first to realize the idea of a native XML Data Store(XDS); which supports XML process- ing down to the deep levels of storage and query executionengine. Such native XDSs are now also being introduced by major database vendors [1]. NatixVersion 2.0 pro- vides most features of a native; enterprise- class XDS to applicationprogrammers; eg ACID transactions; efficient processing of XPath 1.0; and a rich set of APIs.Fig. 1 shows the modules contained in the Natix C++ library. Applications use Natix' schemamanage- ment facilities to organize their persistent XML data collections. The topmost organizationalunit is the Natix instance. Sys- tem parameters; such as main memory buffer sizes; areinstance-specific. Both trans- action and crash recovery operate at the instance level.Therefore; all operations of a particular transaction must be executed within the context of …,Advances in Database Technology-EDBT 2006,2006,*
