Nanotechnology platforms and physiological challenges for cancer therapeutics,Kelly Y Kim,*,Nanomedicine: Nanotechnology; Biology and Medicine,2007,272
Compound K inhibits MMP‐1 expression through suppression of c‐Src‐dependent ERK activation in TNF‐α‐stimulated dermal fibroblast,Chang Seok Lee; Il‐Hong Bae; Jiwon Han; Gye‐young Choi; Kyung‐Hwan Hwang; Dong‐Hyun Kim; Myeong‐Hun Yeom; Young‐Ho Park; Miyoung Park,Abstract Compound K (CK) is one of the major metabolites of ginsenosides exhibiting avariety of pharmacological properties such as anti-ageing; anti-oxidation and anti-inflammatory activities. However; the protective efficacy of CK in abnormal skin conditionswith inflammatory responses was not examined. Here; we investigated the effects of CK onmatrix metalloproteinase-1 (MMP-1) and type I procollagen production in tumor necrosisfactor-α (TNF-α)-stimulated human skin fibroblasts HS68 cells and human skin equivalents.We found that CK suppressed MMP-1 secretion and increased the level of reduced type Iprocollagen secretion; caused by the inhibition of extracellular signal-regulated kinase(ERK) activation; but not p38 and c-Jun N-terminal kinase (JNK) activation in TNF-α-stimulated HS68 cells. Then; we focused on the involvement of the c-Src and epidermal …,Experimental dermatology,2014,12
Efficacy of cap-assisted colonoscopy according to lesion location and endoscopist training level,Dong Jun Kim; Hyung Wook Kim; Su Bum Park; Dae Hwan Kang; Cheol Woong Choi; Joung Boom Hong; Byoung Hoon Ji; Chang Seok Lee,AIM: To evaluate the efficacy of cap-assisted colonoscopy (CAC) for detection of colorectalpolyps and adenomas according to the lesion location and endoscopist training level.METHODS: Patients 20 years or older; who underwent their first screening colonoscopy in asingle tertiary center from May 2011 to December 2012 were enrolled in this study. Allpatients underwent either CAC or standard colonoscopy (SC); and all of the procedureswere performed by 11 endoscopists (8 trainees and 3 experts). All procedures wereperformed with high-definition colonoscopes and narrow band imaging. The eight traineeshad experiences of performing 150 to 500 colonoscopies; and the three experts hadexperiences of performing more than 3000 colonoscopies. A 4-mm-long transparent capwas attached to the end of a colonoscope in the CAC group. We retrospectively evaluated …,World Journal of Gastroenterology: WJG,2015,11
Lignans from the fruits of schizandra chinensis and their inhibitory effects on dopamine content in PC12 cells,Seon-Mi Seo; Hak-Ju Lee; Young-Ki Park; Myung-Koo Lee; Jae-In Park; Ki-Hyon Paik,Abstract Five lignans including gomisin N (1); wuweizisu C (2); gomisin L1 (3);(+)-deoxyschizandrin (4); and gomisin J (5) have been isolated from the fruits of Schizandrachinensis. The structures of the isolated compounds were elucidated by analyzing MS andNMR spectra. Effects of the compounds isolated in this study on the dopamine content inPC12 cells were investigated to evaluate their inhibitory effectiveness. The gomisin N;wuweizisu C; and gomisin J showed 25.4%; 39.8%; and 35.1%; respectively; inhibition effecton dopamine content in PC12 cells at the concentration of.,Natural Product Sciences,2004,11
Cloning and expression of male‐specific protein (MSP) from the hemolymph of greater wax moth; Galleria mellonella L.,Jikhyon Han; Chang Seok Lee; Chi Young Yun; Bong Hee Lee; Young Gyu Ko; Chang Soo Kang; Sang Dae Lee; Jae Sam Hwang; Seok Woo Kang; Hak R Kim,Abstract Male-specific protein (MSP) is a soluble protein that accumulates in high amountsin the hemolymph and other organs of adult male wax moth. The MSP was purified fromadult male wax moth by gel filtration and reversed phase column chromatography; and itsamino acid sequence was determined. Because of blocked N-terminus; several internalamino acid sequences of MSP were obtained by the in-gel digestion method using trypsin.RT-PCR was conducted using degenerate primers designed from the internal amino acidsequences. 5′-RACE PCR was used to obtain the complete coding region and 5′-UTRsequence. The full length MSP cDNA sequence encodes a 239 amino acid polypeptide withan 18 amino acid signal peptide. The putative mature MSP has a molecular mass of 24;317Da and an isoelectric point (pI) of 6.00; but shows a molecular mass of 27 kDa on SDS …,Archives of insect biochemistry and physiology,2003,11
Usefulness of contrast agent involving high gadolium content for myocardial viability assessment,Kwan-Woo Choi; Soon-Yong Son; Tae-Hyung Kim; Man-Seok Han; Ju-Hee Lee; Jung-Whan Min,Abstract The purpose of this study is to increase contrast to noise ratio (CNR) in myocardialviability test by using contrast agent which highly content gadolinium (1mmol/mL)maximizing diagnostic value. This research method that four hundred four patients wereunderwent the MRI scanning two hundred eighty four of them were injected commercialcontrast media which have 0.5 mmol/L and the rest of them were injected new contrastmedia (gadobutrol) which have 1mmol/mL of molarity to study the contrast differencedepending on the molarity of the contrast agent signal intensities of normal ventricle and leftventricle were measured to compare and evaluate signal to noise ratio (SNR) and CNR ofthe images. As result; 1mmol/mL contrast agent showed higher SNR by 25.13% inmyocardium and 30.74% in left ventricle. CNR was proved to be better in 1mmol/mL …,Journal of the Korea Academia-Industrial cooperation Society,2013,10
NF-B/AP-1-targeted inhibition of macrophage-mediated inflammatory responses by depigmenting compound AP736 derived from natural 1; 3-diphenylpropane skel...,Van Thai Ha; Heung Soo Beak; Eunji Kim; Kwang-Soo Baek; Muhammad Jahangir Hossen; Woo Seok Yang; Yong Kim; Jun Ho Kim; Sungjae Yang; Jeong-Hwan Kim; Yung Hyup Joo; Chang Seok Lee; Joonho Choi; Hong-Ju Shin; Sungyoul Hong; Song Seok Shin; Jae Youl Cho,AP736 was identified as an antimelanogenic drug that can be used for the prevention ofmelasma; freckles; and dark spots in skin by acting as a suppressor of melanin synthesisand tyrosinase expression. Since macrophage-mediated inflammatory responses are criticalfor skin health; here we investigated the potential anti-inflammatory activity of AP736. Theeffects of AP736 on various inflammatory events such as nitric oxide (NO)/prostaglandin(PG) E2 production; inflammatory gene expression; phagocytic uptake; and morphologicalchanges were examined in RAW264. 7 cells. AP736 was found to strongly inhibit theproduction of both NO and PGE2 in lipopolysaccharide-(LPS-) treated RAW264. 7 cells. Inaddition; AP736 strongly inhibited both LPS-induced morphological changes and FITC-dextran-induced phagocytic uptake. Furthermore; AP736 also downregulated the …,Mediators of inflammation,2014,9
Postoperative nausea and vomiting: pharmacologic and nonpharmacologic therapies,Soo Kyung Lee,Postoperative nausea and vomiting (PONV) is the one of the most distressing problemsassociated with anesthesia and surgery. It may be cause dehydration; electrolyte imbalance;tension on the surgical repair site; venous hypertension and increased perception of pain;and may be especially harmful after neurosurgery or orthognathic surgery [1]. Many patientsstate that PONV is a more undesirable postoperative outcome than incisional pain [2].PONVprophylaxis should be considered for patients at moderate to high risk for PONV; andantiemetic combination therapy or a multimodal approach are recommended for patients athigh risk for PONV [3; 4]. The concept of an antiemetic combination therapy was firstintroduced in 1988 by Parikh et al.[5] for chemotherapy induced vomiting. Prophylaxis withantiemetic drugs is the current gold standard for managing PONV. However; there is no …,Korean journal of anesthesiology,2013,9
Simulation modeling methodology and simulation system architecture for shipbuilding processes,DK Oh; CJ Lee; YR Choi; JG Shin; JH Woo,Abstract For several years; a research about the simulation for shipyard and shipbuildinghas been performed. This research is based on the concept of PLM (Product LifecycleManagement) and DM (Digital Manufacturing). Global leading companies and researchcenter are trying to get a good position of PLM; especially M&S field. Digital shipbuilding isto computerize shipyard facilities and shipbuilding processes; and to simulate expectedscenarios of shipbuilding processes using a computer model in order to resolve a potentialproblem such as a bottleneck processes; and over loaded resources. In this paper;simulation methodology for shipbuilding is described. In addition; a local and global strategyfor the use of simulation methodology is suggested. Finally; case studies about an indoorshop and an outdoor shop are described.,Korean Journal of Computational Design and Engineering,2006,9
Reinfusion of shed blood through the orth-evac after total knee replacement,배대경， 남기운， 이홍구， 김용환,Abstract Total knee arthroplaaty is an elective procedure usually accompanied by significantblowi lioss requiring transfusion. Recently; medical colleagues and patients have becomeconcerned; about the immune reaction and the potential transmission of infectious diseasessuch as AIDS and non-A & non-B Hepatitis via homologous banked blood. From March of1993; we have used post-operative autotransfusion through the Orth-evac after total kneearthroplasty to minimize the need for the homologoua tansfusion. The patients; who had notreceived the post-operative satvaged transfusion after TKR from November of 1990 to Aprilof 1993; were allocated to Group I. The patients who had received the post operativesalvaged blood via the Orth-evac from March of 1993 to September of 1993 were allocatedto group Il. And each group included bilateral TKR (10 patients) and unilateral TKR (10 …,*,1994,9
Different effects of five depigmentary compounds; rhododendrol; raspberry ketone; monobenzone; rucinol and AP736 on melanogenesis and viability of human epid...,Chang Seok Lee; Yung Hyup Joo; Heung Soo Baek; Miyoung Park; Jeong‐Hwan Kim; Hong‐Ju Shin; Nok‐Hyun Park; John Hwan Lee; Young‐Ho Park; Song Seok Shin; Hae‐Kwang Lee,Abstract Numerous medications are used to treat hyperpigmentation. However; severalreports have indicated that repeated application of some agents; such as rhododendrol(RD); raspberry ketone (RK) and monobenzone (MB); can be toxic to melanocytes. Althoughthese agents had severe side effects in human trials; no current in vitro methods can predictthe safety of such drugs. This study assessed the in vitro effects of five depigmentarycompounds including leukoderma-inducing agents. In particular; we determined the effectsof different concentrations and exposure times of different depigmentary agents on cellviability and melanogenesis in the presence and absence of ultraviolet B (UVB) radiation.Concentrations of RD; RK and MB that inhibit melanogenesis are similar to concentrationsthat are cytotoxic; however; concentrations of rucinol (RC) and AP736 that inhibit …,Experimental dermatology,2016,8
Quality characteristics of ginseng powder using molecular press dehydration method,현석이， 기현권， 진웅정,Abstract This study was attempted to quality characteristics of ginseng powder usingmolecular press dehydration (MD) method. Ginseng powder was dried using maltodextrin asdehydrating agents; and the quality of the ginseng powder was compared with that of freeze-drying and hot air-drying samples in terms of colors; moisture contents and grain size. Thecolors of ginseng powder using MD-drying and freeze-drying was better than hot air-driedginseng powder. The moisture contents of ginseng powder using MD-drying was 9.49%;while freeze-drying was 4.14% and hot air-drying 11.71% after 72ball mill times. The grainsize of ginseng powder using MD-drying and freeze-drying was better than hot air-dryingginseng powder. These results suggest that drying of ginseng powder using molecular pressdehydration method is very efficient; because minimal cell destruction may be achieved.,Journal of Biosystems Engineering,2009,8
Mitochondria in diabetes mellitus,HK Lee,*,OXIDATIVE STRESS AND DISEASE,2005,8
Study of the thermally stimulated glass structure reconstruction in extruded Li2O· 2SiO2 glasses by the method of radiation color center chronospectroscopy,VI Arbuzov; G Carl; B Durschang; C Rüssel,Abstract Longitudinal (LS) and transverse (TS) Li 2 O· 2SiO 2 glass samples cut along andacross the axis of cylindrical rods produced by means of extrusion were investigated. All theglasses contained iron impurities (∼ 80 ppm). Spectra of radiation induced absorption (RIA)and kinetic curves; Δa (E)= f (t); where E is the energy of a band and t is time; of the RIArelaxation were measured in the LS and TS before and after their heat treatment at 465° C(∼ 5° C above the glass transition temperature; T g). It turned out that; at smallest irradiationdoses; Fe 3+ ions capture free electrons excited by X-rays. As a result; intrinsic hole colorcenters (CCs) with absorption bands at 2.1; 2.8; and 3.9 eV and impurity electron CCs[radiation reduced ions (Fe 3+)−] are formed. Radiation induced conversion Fe 3+→(Fe 3+)−causes negative RIA with the maximum at∼ 5.7 eV. Centers (Fe 3+)− and intrinsic hole …,Journal of non-crystalline solids,1998,8
Kim SW.,BJ Kim; HJ Ahn; KA Han; HR Kwon; KW Min; YH Baek; HY Jin; KA Lee; SM Kang; WJ Kim; MG Kim; JH Park; SW Chae; HS Baek; TS Park; DK Kim; SR Lee; MS Kim; SH Bae; JY Hwang; JM Kim; SH Suh; HJ Lee; MK Park; DK Kim; QS Jin; SH Kim; SJ Piao; HA Lim; SY Lee; SB Hong; YS Kim; M Nam; JY Jung; JH Lee; KS Park; CH Kim; HJ Kim; BJ Ku,KoreaMed Synapse. Search Synapse for Advanced Search …,Infect Chemother,2017,7
Method and apparatus for reproducing music file,*,Disclosed is a method for reproducing a music file in a terminal equipped to reproduce themusic file; the method including determining equalizing reproduction characteristics of themusic file when reproduction of the music file is requested; determining and setting anoutput equalizer setting value of an audio signal; according to the equalizing reproductioncharacteristics and pre-measured individual hearing ability state information representinghearing ability characteristics of a user; and reproducing the music file so as to output theaudio signal according to the output equalizer setting value.,*,2011,7
Method and apparatus for correcting signal-to-noise ratio in mobile terminal,*,A method and apparatus for correcting a Signal-to-Noise Ratio (SNR) of an antenna of amobile terminal; which can detect if a Micro-Electro Mechanical System (MEMS)reconfigurable antenna for wireless communication contacts a foreign substance; to correctan SNR of the antenna. The mobile terminal having the MEMS reconfigurable antennachanges the MEMS reconfigurable antenna and calculates an SNR during execution of thewireless communication; thereby setting the MEMS reconfigurable antenna to an antennaform corresponding to a greatest SNR.,*,2007,7
Portable terminal having a plurality of hinged housing sections,*,A portable terminal having a number of housing sections that rotate and bend relative to oneanother while containing their own PCBs to be easily worn on the user's body. The portableterminal includes various components mounted thereon and includes a plurality of PCBshaving the components corresponding to each function of the terminal mounted thereon;while being electrically connected to one another; a plurality of housing sections that eachcontain one of the PCBs; and hinge devices for connecting the housing sections.,*,2006,7
Menthol biosynthesis pathway in Mentha piperita suspension cells,Si-Hyung Park; Young-Am Chae; SU Kim,Abstract: The metabolic capability of the cultured cells of peppermint was tested with wholeintact cells by feeding appropriate exogenous substrates to the suspension cultures.Conversion of (-)-limonene into any other monoterpenes was not observed with thesuspension cultures.(+)-Pulegone was converted into (+)-isomenthone and (-)-menthone;and (-)-menthone into (-)-menthol. The experiments confirmed that the suspension retainedmost of the menthol biosynthesis pathway in the cell except for a few loci.(-)-Isopiperitenonewas transformed into (+)-pulegone; piperitenone;(-)-7-hydroxyisopiperitenone and twounidentified products (Received August 17; 1993; accepted September 21; 1993). lntroduction Menthu piperita; a member of the genus Menthu (Lamiaceae); commonlyreferred to as peppermint; is among the most well-known essential oil-producing plants …,JOURNAL-KOREAN AGRICULTURAL CHEMICAL SOCIETY,1993,7
Printed circuit board (PCB) having a plurality of integrated circuits (ICS) interconnected through routing pins in one central integrated circuit,*,An IC assembly having a routing structure mounted on a PCB of an electronic apparatusincludes a central IC mounted on a central portion of the PCB; and a plurality of peripheralICs disposed adjacent to the central IC on the PCB; wherein each of the peripheral ICs iselectrically connected to the central IC through at least one routing path formed therebetween. The IC assembly can reduce the size and thickness of the PCB.,*,2009,6
Practical solutions for establishing blended e-learning system to improve the quality of university education,DI Kim; HJ Lee; JY Son,*,Asian J Educ,2005,6
3-dimensional analysis on the cell string current of NAND flash memory,H-S Oh; S-C Lee; C-S Lee; D-Y Oh; T-K Kim; J-H Song; K-H Lee; Y-K Park; J-H Choi; J-T Kong,The cell string current of NAND flash memory is very small due to large resistance from thecells connected in series. In this paper; scaling effects on the cell current are analyzed for70/60/50 nm NAND flash technologies using 3-dimensional TCAD simulation. Thegeometrical and process parameters are varied and their effects are quantified. It isidentified that the coupling ratio has the most significant impact on the cell current and theLDD engineering is more relevant for higher cell current,Non-Volatile Memory Technology Symposium; 2005,2005,5
Manufacturing features applied to the milling operation planning,YHM Rho; CS Lee,*,the 3rd CIRP Workshop on Design and Implementation of Intelligent Manufacturing Systems (IMS); Tokyo,1996,5
Effects of Ce Element Addition on the Characteristics of U-Zr Alloys,S Oh; K Kim; C Lee; C Lee; S Jang,*,TRANSACTIONS-AMERICAN NUCLEAR SOCIETY,2008,4
Development of advanced spent fuel management process,Chung Seok Seo; IK Choi; SG Kwon,As a part of research efforts to develop an advanced spent fuel management process; thisproject focused on the electrochemical reduction technology which can replace the originalLi reduction technology of ANL; and we have successfully built a 20 kgHM/batch scaledemonstration system. The performance tests of the system in the ACPF hot cell showedmore than a 99% reduction yield of SIMFUEL; a current density of 100 mA/cm 2 and acurrent efficiency of 80%. For an optimization of the process; the prevention of a voltage dropin an integrated cathode; a minimization of the anodic effect and an improvement of the hotcell operability by a modulation and simplization of the unit apparatuses were achieved.Basic research using a bench-scale system was also carried out by focusing on ameasurement of the electrochemical reduction rate of the surrogates; an elucidation of the …,*,2007,4
Analytical evaluation of structural performance of reinforced concrete beams considering degree of reinforcing bar corrosion,T Noguchi; F Tomosawa,Abstract: The losses in the structural performance of reinforced concrete members withcorroded rebars are caused by the loss in the effective cross-sectional area of concrete dueto cracking in the cover concrete; loss in the mechanical performance of rebars due to theloss in their cross-sectional area; and loss in the bond performance of concrete with rebars.Accordingly; the mechanism of the reduction in the performance of concrete structuralmembers with corroded rebars may be elucidated using the finite element method (FEM); ifthe constitutive law for each material factor can be derived using the degree of rebarcorrosion as a parameter. The purpose of this study is to investigate the relationshipbetween the degree of rebar corrosion and the structural performance of RC beamsdamaged by rebar corrosion with the FEM. As a result; the structural performance of RC …,Special Publication,2000,4
Kim SY.,JW Kim; SJ Cho; KY Hahn; SK Lee; CH Park; H Chung; JC Park; YH Youn; JH Kim; SK Shin; YC Lee; JM Yun; JS Kim; JS Ji; BW Kim; H Choi; JM Kim; JK Jung; HS Kim; SM Yeo; JH Jang; DW Lee; BW Park; TY Lee; MS Kim; JH Lee; KS Kim; JS Lee; SS Kim; JI Kim; DY Cheung; HJ Noh; SB Shin; YN Jang; DJ Kim; W Kim; BW Yoon; JS Park; YS Woo; J Jahng; SY Lee; N Hong; YS Kim; BW Kim; JY Chang,KoreaMed Synapse …,Korean J Helicobacter Up Gastrointest Res,2016,3
A novel adamantyl benzylbenzamide derivative; AP736; inhibits melanogenesis in B16F10 mouse melanoma cells via glycogen synthase kinase 3β phosphorylation,Hong-Ju Shin; Chang Taek Oh; Tae-Rin Kwon; Heung Soo Beak; Yung Hyup Joo; Jeong-Hwan Kim; Chang Seok Lee; John Hwan Lee; Beom Joon Kim; Song Seok Shin; Eun-Seok Park,Abstract Recently; much effort has been made to develop effective dermatologicaldepigmenting compounds. In this study; we investigated the novel candidate compound;AP736 (an adamantyl benzylbenzamide derivative); and its effects on melanogenesis inB16F10 melanoma cells; as well as the mechanisms involved. AP736 has been reported toexert anti-melanogenic effects in melanocytes in vitro and in artificial skin equivalentsthrough the inhibition of key melanogenic enzymes and the suppression of the cAMP-proteinkinase A (PKA)-cAMP response element‑binding protein (CREB) signaling pathway. Thus;we examined another pathway of melanogenesis involving the effects of AP736 on theglycogen synthesis kinase 3β (GSK3β) pathway. Melanin content and tyrosinase activitywere measured using a spectrophotometer after the cells were treated with AP736. The …,International journal of molecular medicine,2015,3
A study on 3D locomotion of intravascular therapeutic microrobot using EMA system,Semi Jeong; Hyunchul Choi; Cheong Lee; Kiduk Kwon; Gwangjun Go; Doo Sun Sim; Kyung Seob Lim; Myung Ho Jeong; Seong Young Ko; Jong-oh Park; Sukho Park,In this paper; we proposed an intravascular microrobot using an EMA system with bi-plane X-ray fluoroscopy. The proposed EMA system consists of a pair of stationary Helmholtz-Maxwell coils in x-axis and a pair of rotational uniform-gradient saddle coils on x-axis. Themicrorobot using the EMA system can be aligned to the desired direction by the uniformmagnetic field from the Helmholtz-uniform saddle coil pairs and can be propelled to thealigned direction by the uniform gradient magnetic field from the Maxwell-gradient saddlecoil pairs. Based on this actuating principle; we developed the microrobot which can moveand have a treatment function in blood vessel. For the position recognition of the microrobot;a bi-plane X-ray fluoroscopy was installed in the EMA system. The bi-plane X-rayfluoroscopy can provide frontal and lateral views of mini-pig and the image of the …,제어로봇시스템학회 국제학술대회 논문집,2013,3
Soundproof effect of nanoclay reinforced polypropylene composites,J Yan; JC Lee; CW Lee; DW Kang; YJ Kang; SH Ahn,SUMMARY The soundproof effect of nanocomposites of polypropylene (PP) wasinvestigated at different filler loads of organically modified clay which was improvedgradually with the concentration of clay and exhibited optimum value in the composites of7% clay filled composites. The mechanical properties of this nanocomposite was also testedbriefly.,eighteenth international conference on composite materials. Full text retrieved from http://www. iccm-central. org/proceedings/Iiccm18proceedings/iccm. htm,2011,3
A System Design of the MIRINAE II; Air-Launching Rocket for Nanosat,YJ Lee; JH Kim; YC Choi; JW Lee; YH Byun; C Lee,Abstract Air-Launching is an effective method that can launch theNanosatwith low launchingcost. In this study; system and subsystem design of the air launching rocket for nanosatswhich perform a simple mission; have been performed. For this purpose; the WBS of theMIRINAEⅡ; and the subsystem schematics have been defined first. Based on these results;detailed configuration and DMU have been developed.,Journal of the Korean Society for Aeronautical & Space Sciences,2005,3
Control Interworking Network Architecture of a Large-Capacity Digital Switching System,鹰TRrnrnACTABS,*,*,1987,3
Pilot trial evaluating the treatment of focal vitiligo with intralesional honeybee venom injection,Khalid M Alghamdi; Huma Khurrum,Skip to main content. Menus. SAGE Journals. Profile logged-in. Search. MENU. Browse;Resources: Authors; Librarians; Editors; Societies. My Tools: My Alerts; My SavedSearches; My Favorite Journals; My Account. Advanced Search. IN THIS JOURNAL.Home; Browse: Current Issue; OnlineFirst; All Issues. Submit Paper; About: MoreInformation; Editorial Board; Free Sample; Email Alerts; Feedback; Recommend toLibrary; Advertise; Reprints; RSS. Subscribe. Advanced Search.,Journal of cutaneous medicine and surgery,2012,2
Experimental study on the performance of ship fire protection materials,Jen-Chieh Lee; Te-Yan Liu,The performance of heat insulation; sound absorption and insulation of ship fire protectionmaterials is experimentally investigated in this paper. The fire protection materials of rockwool 60 k (60 kg/m^ 3) and ceramic fiber 80k (80 kg/m^ 3) are tested to show the requisiteminimum thickness for the regulation of IMO heat insulation A class. The results show thatthe heat insulation performance of ceramic fiber (25 mm) and rock wool (50 mm) meets therequirement of A-30 class bulkhead. However; the composition of ceramic fiber (25 mm) androck wool (25 mm) with the ceramic fiber exposed to fire can satisfy the requirement of heatinsulated A-60 class bulkhead. Both of the two materials with the thickness over 25 mm havethe value of noise reduction coefficient (NRC) over 0.72. The steel panel; with the soundtransmission class (STC) 45; dominates the sound insulation capability of a bulkhead …,Journal of Marine Science and Technology,2006,2
Effects of Green Tea Infusion on the Preneoplastic Lesions and Peroxidation in Rat Hepatocarcinogenesis,Hee Seon Kim; Hyung Sook Kim; Hay Mie Choi,ABSTRACT The eEect of green tea drinking on the hepatocellular chemical carcinogenesishave been studied. Placental glutathione S—transl'erasdGST—P) positive foci area in a livertissue; contents of thiobarbituric acid reactive substances (TBARS); total cytochrome P450and glucose 6—pho-sphatase (G6P) activity in hepatic microsomes were investigated.Weaning Sprague—Dawley male rats were fed AIN—76A diet with deionized water or greentea infusion. Rats of CTR and CTR+ groups were provided deionized water while GTI andGTH—groups were provided green tea instead of deionized water for the entireexperimental period of 13 weeks. Rats of GTP and GTP+ groups had deionized water for theﬁrst 6 weeks and switched to green tea for the last 7 weeks of the experimental period. CTR-I—; GTI-F; and GTP+ groups were carcinogen treated groups. Diethylnitrosamine (DEN) was …,대한지역사회영양학회지,1997,2
Magnetite Formation of Oxidation of Fe (OH) 2 Suspension.,李孝淑， 康南基， 呉在賢,水溶液中における磁鉄鉱生成の機構を明らかにするために; 本報では先ず Fe (OH) 2懸濁液の酸化条件による磁鉄鉱生成の速度ならびに生成粒子に関して調べた. それから Fe (OH) 2懸濁液に三価鉄を理論量だけ加えると粒径 100Å 前後の磁鉄鉱が瞬間的に生成されることがわかった. Fe (OH) 2 と Fe (OH) 3 の適定試験における溶液の色の変化ならびに適定曲線と三価鉄の影響をあわせ考え次のような固体-固体反応による磁鉄鉱の生成機構を導出した. Fe (OH) 2 (s)+2Fe (OH) 3 (s)→ Fe 3 O 4 (s)+ 4H 2 O,資源と素材,1994,2
Communication system and operating method using home gateway,*,Abstract A communication system and operating method use a home gateway. A method ofa terminal in a communication system using a home gateway includes transmitting a servicerequest signal using the home gateway to an adjacent node; receiving information of at leastone home gateway of other user from the adjacent node; and transmitting and receivingsignals to and from the at least one home gateway of other user. A method of a homegateway in the communication system using the home gateway includes receivinginformation of a user of other home gateway from a home gateway server; and transmittingand receiving signals to and from a user terminal of the other home gateway.,*,2017,1
Benzoic acid amide compound,*,The present invention relates to a novel benzoic acid amide derivative compound; isomersthereof; pharmaceutically acceptable salts thereof; prodrugs thereof; hydrates thereof; or solvatesthereof. The novel compound has excellent skin whitening effects … The present disclosurerelates to a novel benzamide compound … Melanin protects skin organs beneath the dermisby blocking UV at the epidermis and also protects the skin by scavenging free radicals. Also;melanin is the primary determinant of skin color and is the cause of pigmentation such asfreckles; dark spots; etc. when existing in excess … Melanin is produced by melanocytes; whichare found in the basal layer of the epidermis. It is known that the production of melanin is promotedby stimuli such as UV or inflammation. Accordingly; the melanin production can be reduced bydecreasing external stimulation; blocking signal transduction or inhibiting synthesis of the …,*,2016,1
A case of gastric granular cell tumor: review of literature and features of endoscopic ultrasonography,Dong Jun Kim; Hyung Wook Kim; Su Bum Park; Cheol Woong Choi; Dae Hwan Kang; Joung Boom Hong; Byoung Hoon Ji; Chang Seok Lee,Abstract Granular cell tumor was originally described as granular cell myoblastoma byAbrikossoff. The incidence of GCT in the gastrointestinal tract is low; and most granular celltumors occur in the esophagus and large bowel. Gastric granular cell tumors are rare anddifficult to distinguish from carcinoid tumors by gross endoscopic findings and endoscopicultrasonography findings. We report a case of gastric granular cell tumor; treated byendoscopic submucosal dissection; and review the endoscopic ultrasonography findings ofrecently reported gastric granular cell tumors.,The Korean Journal of Helicobacter and Upper Gastrointestinal Research,2015,1
Flavokawains B and C; melanogenesis inhibitors; isolated from the root of Piper methysticum and synthesis of analogs,Hye-Jin Jeong; Chang Seok Lee; Janggyoo Choi; Yong Deog Hong; Song Seok Shin; Jun Seong Park; John Hwan Lee; Seokyong Lee; Kee Dong Yoon; Jaeyoung Ko,Abstract The ethanolic extract of the root of Piper methysticum was found to inhibitmelanogenesis in MSH-activated B16 melanoma cells. Flavokawains B and C were isolatedfrom this extract based on their anti-melanogenesis activity and found to inhibitmelanogenesis with IC 50 values of 7.7 μM and 6.9 μM; respectively. Flavokawain analogswere synthesized through a Claisen–Schmidt condensation of their correspondingacetophenones and benzaldehydes and were evaluated in terms of their tyrosinaseinhibitory and anti-melanogenesis activities. Compound 1b was the most potent of thesewith an IC 50 value of 2.3 μM in melanogenesis inhibition assays using MSH-activated B16melanoma cells.,Bioorganic & medicinal chemistry letters,2015,1
Image offset adjustment apparatus for LCD projector and mobile phone having the same,*,An image offset adjustment apparatus for an LCD projector which is constructed to enablethe adjustment of an image offset. The LCD projector includes a light source for emittinglight; mirrors; and an LCD installed in front of the mirrors so that an image generated in theLCD is enlarged and projected on a screen. The image offset adjustment apparatus includesa projection lens section including a plurality of projection lenses having their respectiveLCDs at different circumferential positions to have different image offsets; a lens housing forhousing the respective projection lenses adjacent to one another in a circumferentialdirection; rotation means for rotating the lens housing; and a controller for controlling therotation means so that the lens housing can be controllably rotated to select one of theprojection lenses and one of the image offsets as desired by a user.,*,2010,1
Method and apparatus for providing an instrument playing service,*,A method and apparatus for providing an instrument playing service in a portable terminal.In the method; an image of an instrument is projected. User finger movements on theprojected instrument image are detected and sound source information corresponding to theuser finger movements is read. Thereafter; an audio signal corresponding to the soundsource information is output.,*,2010,1
Strategies for the improvement of performance management in the public sector using BSC,C Lee; JW Lim; DC Kang,Abstract The purpose of this research was to analyze the performance management systemin the public sector; the current application of performance management system and itsproblems; to draw the success factors and benchmarking points of best practices with BSCintroduction and management in the public sector through analyzing examples of BSCintroduction in the public sector; and to develop an improvement strategy for theperformance management system in the public sector. To accomplish the purpose of thisresearch; the literature review on the concept and trait of BSC as the performancemanagement system was conducted. The performance management system in the publicsector in Korea; the current application and problems of the system were analyzed. Also; theanalysis model was developed; and the cases of 7 institutions; such as the Defense …,Journal of Agricultural Education and Human Resource Development,2010,1
Method and apparatus for improved calling in a mobile communication terminal,*,A method and an apparatus for adding a code for a service including; but not limited to; aninfo-mobile service; an international call service and a zone rate service prior to a callingnumber; in a mobile communication terminal are provided. A code adding mode is providedwhen the calling number is input. If the code adding mode is selected; adding a code prior tothe calling number is performed.,*,2007,1
