Indexing the Positions of Continuously Moving Objects.,Simonas Saltenis; Christian S. Jensen; Scott T. Leutenegger; Mario A. López,*,SIGMOD Conference,2000,1252
Adding transaction time to sql/temporal,Richard T Snodgrass; Michael H Böhlen; Christian S Jensen; Andreas Steiner,Transaction time identifies when data was asserted in the database. If transaction time issupported; the states of the database at all previous points of time are retained and updatesare append-only. Unlike valid time; transaction time cannot be entirely simulated with tableswith explicit timestamp columns. The reason is that tables with transaction-time support areappend-only: they grow monotonically. While the query functionality can be simulated ontable with no temporal support; in the same way that valid-time query functionality can betranslated into queries on table with no temporal support; there is no way to restrict the userto modifications that ensure the table is appendonly. While one can revoke permission touse DELETE; it is still possible for the user to corrupt the transaction timestamp via databaseupdates and insertions. This means that the user can never be sure that what the table …,ISO-ANSI SQL/Temporal Change Proposal; ANSI X3H2-96-152r ISO/IEC JTC1/SC21/WG3 DBL,1996,64
Effective timestamping in databases,Kristian Torp; Christian S Jensen; Richard Thomas Snodgrass,Abstract Many existing database applications place various timestamps on their data;rendering temporal values such as dates and times prevalent in database tables. During thepast two decades; several dozen temporal data models have appeared; all with timestampsbeing integral components. The models have used timestamps for encoding two specifictemporal aspects of database facts; namely transaction time; when the facts are current inthe database; and valid time; when the facts are true in the modeled reality. However; withfew exceptions; the assignment of timestamp values has been considered only in the contextof individual modification statements. This paper takes the next logical step: It considers theuse of timestamping for capturing transaction and valid time in the context of transactions.The paper initially identifies and analyzes several problems with straightforward …,The VLDB Journal—The International Journal on Very Large Data Bases,2000,62
Developing a DataBlade for a new index,Rasa Bliujute; Simonas Saltenis; Giedrius Slivinskas; Christian S Jensen,In order to better support current and new applications; the major DBMS vendors arestepping beyond uninterpreted binary large objects; termed BLOBs; and are beginning tooffer extensibility features that allow external developers to extend the DBMS with; eg; theirown data types and accompanying access methods. Existing solutions include DB2extenders; Informix DataBlades; and Oracle cartridges. Extensible systems offer new andexciting opportunities for researchers and third party developers alike. The paper reports onan implementation of an Informix DataBlade for the GR-tree; a new R-tree based index. Thiseffort represents a stress test of the perhaps currently most extensible DBMS; in that the newDataBlade aims to achieve better performance; not just to add functionality. The paperprovides guidelines for how to create an access method DataBlade; describes the …,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,62
Notions of upward compatibility of temporal query languages,John Bair; Michael H.  Boehlen; Christian S.  Jensen; Richard T.  Snodgrass,Abstract Migrating applications from conventional to temporal database managementtechnology has received scant mention in the research literature. This paper formally definesthree increasingly restrictive notions of upward compatibility which capture properties of atemporal SQL with respect to conventional SQL that; when satisfied; provide for a smoothmigration of legacy applications to a temporal system. The notions of upward compatibilitydictate the semantics of conventional SQL statements and constrain the semantics ofextensions to these statements. The paper evaluates the seven extant temporal extensionsto SQL; all of which are shown to complicate migration through design decisions that violateone or more of these notions. We then outline how SQL–92 can be systematically extendedto become a temporal query language that satisfies all three notions.,Wirtschaftsinformatik,1997,61
Trajectory pattern mining,Hoyoung Jeung; Man Lung Yiu; Christian S Jensen,Abstract In step with the rapidly growing volumes of available moving-object trajectory data;there is also an increasing need for techniques that enable the analysis of trajectories. Suchfunctionality may benefit a range of application area and services; including transportation;the sciences; sports; and prediction-based and social services; to name but a few. Thechapter first provides an overview trajectory patterns and a categorization of trajectorypatterns from the literature. Next; it examines relative motion patterns; which serve asfundamental background for the chapter's subsequent discussions. Relative patterns enablethe specification of patterns to be identified in the data that refer to the relationships ofmotion attributes among moving objects. The chapter then studies disc-based and density-based patterns; which address some of the limitations of relative motion patterns. The …,*,2011,60
The relational model is dead; SQL is dead; and I don't feel so good myself,Paolo Atzeni; Christian S Jensen; Giorgio Orsi; Sudha Ram; Letizia Tanca; Riccardo Torlone,Abstract We report the opinions expressed by well-known database researchers on thefuture of the relational model and SQL during a panel at the International Workshop on Non-Conventional Data Access (NoCoDa 2012); held in Florence; Italy in October 2012 inconjunction with the 31st International Conference on Conceptual Modeling. The panelistsinclude: Paolo Atzeni (Università Roma Tre; Italy); Umeshwar Dayal (HP Labs; USA);Christian S. Jensen (Aarhus University; Denmark); and Sudha Ram (University of Arizona;USA). Quotations from movies are used as a playful though effective way to convey thedramatic changes that database technology and research are currently undergoing.,ACM SIGMOD Record,2013,57
The INFATI data,Christian Søndergaard Jensen; Harry Lahrmann; Stardas Pakalnis; J Runge,Abstract: The ability to perform meaningful empirical studies is of essence in research inspatio-temporal query processing. Such studies are often necessary to gain detailed insightinto the functional and performance characteristics of proposals for new query processingtechniques. We present a collection of spatio-temporal data; collected during an intelligentspeed adaptation project; termed INFATI; in which some two dozen cars equipped with GPSreceivers and logging equipment took part. We describe how the data was collected andhow it was" modified" to afford the drivers some degree of anonymity.,arXiv preprint cs/0410001,2004,56
Travel cost inference from sparse; spatio temporally correlated time series using Markov models,Bin Yang; Chenjuan Guo; Christian S Jensen,Abstract The monitoring of a system can yield a set of measurements that can be modeledas a collection of time series. These time series are often sparse; due to missingmeasurements; and spatiotemporally correlated; meaning that spatially close time seriesexhibit temporal correlation. The analysis of such time series offers insight into theunderlying system and enables prediction of system behavior. While the techniquespresented in the paper apply more generally; we consider the case of transportation systemsand aim to predict travel cost from GPS tracking data from probe vehicles. Specifically; eachroad segment has an associated travel-cost time series; which is derived from GPS data. Weuse spatio-temporal hidden Markov models (STHMM) to model correlations among differenttraffic time series. We provide algorithms that are able to learn the parameters of an …,Proceedings of the VLDB Endowment,2013,55
Improving wi-fi based indoor positioning using bluetooth add-ons,Artur Baniukevic; Dovydas Sabonis; Christian S Jensen; Hua Lu,Location-Based Services (LBSs) constitutes one of the most popular classes of mobileservices. However; while current LBSs typically target outdoor settings; we lead large partsof our lives indoors. The availability of easy-to-use and low-cost indoor positioning servicesis essential in also enabling indoor LBSs. Existing indoor positioning services typically use asingle technology such as Wi-Fi; RFID or Bluetooth. Wi-Fi based indoor positioning isrelatively easy to deploy; but does often not offer good positioning accuracy. In contrast; theuse of RFID or Bluetooth for positioning requires considerable investments in equipment inorder to ensure good positioning accuracy. Motivated by these observations; we propose ahybrid approach to indoor positioning. In particular; we introduce Bluetooth hotspots into anindoor space with an existing Wi-Fi infrastructure such that better positioning is achieved …,Mobile Data Management (MDM); 2011 12th IEEE International Conference on,2011,55
Global web accessibility analysis of national government portals and ministry web sites,Morten Goodwin; Deniz Susar; Annika Nietzio; Mikael Snaprud; Christian S Jensen,Equal access to public information and services for all is an essential part of the UnitedNations (UN) Declaration of Human Rights. Today; the Web plays an important role inproviding information and services to citizens. Unfortunately; many government Web sitesare poorly designed and have accessibility barriers that prevent people with disabilities fromusing them. This article combines current Web accessibility benchmarking methodologieswith a sound strategy for comparing Web accessibility among countries and continents.Furthermore; the article presents the first global analysis of the Web accessibility of 192United Nation Member States made publically available. The article also identifies commonproperties of Member States that have accessible and inaccessible Web sites and showsthat implementing antidisability discrimination laws is highly beneficial for the accessibility …,Journal of Information Technology & Politics,2011,54
Main-memory operation buffering for efficient R-tree update,Laurynas Biveinis; Simonas Šaltenis; Christian S Jensen,Abstract Emerging communication and sensor technologies enable new applications ofdatabase technology that require database systems to efficiently support very high rates ofspatial-index updates. Previous works in this area require the availability of large amounts ofmain memory; do not exploit all the main memory that is indeed available; or do not supportsome of the standard index operations. Assuming a setting where the index updates neednot be written to disk immediately; we propose an R-tree-based indexing technique thatdoes not exhibit any of these drawbacks. This technique exploits the buffering of updateoperations in main memory as well as the grouping of operations to reduce disk I/O. Inparticular; operations are performed in bulk so that multiple operations are able to share I/O.The paper presents an analytical cost model that is shown to be accurate by empirical …,Proceedings of the 33rd international conference on Very large data bases,2007,54
Hyper-local; directions-based ranking of places,Petros Venetis; Hector Gonzalez; Christian S Jensen; Alon Halevy,Abstract Studies find that at least 20% of web queries have local intent; and the fraction ofqueries with local intent that originate from mobile properties may be twice as high. Theemergence of standardized support for location providers in web browsers; as well as ofproviders of accurate locations; enables so-called hyper-local web querying where thelocation of a user is accurate at a much finer granularity than with IP-based positioning. Thispaper addresses the problem of determining the importance of points of interest; or places;in local-search results. In doing so; the paper proposes techniques that exploit loggeddirections queries. A query that asks for directions from a location a to a location b is taken tosuggest that a user is interested in traveling to b and thus is a vote that location b isinteresting. Such user-generated directions queries are particularly interesting because …,Proceedings of the VLDB Endowment,2011,53
Indoor-A New Data Management Frontier.,Christian S Jensen; Hua Lu; Bin Yang,Abstract Much research has been conducted on the management of outdoor moving objects.In contrast; relatively little research has been conducted on indoor moving objects. Theindoor setting differs from outdoor settings in important ways; including the following two.First; indoor spaces exhibit complex topologies. They are composed of entities that areunique to indoor settings; eg; rooms and hallways that are connected by doors. As a result;conventional Euclidean distance and spatial network distance are inapplicable in indoorspaces. Second; accurate; GPS-like positioning is typically unavailable in indoor spaces.Rather; positioning is achieved through the use of technologies such as Bluetooth; Infrared;RFID; or Wi-Fi. This typically results in much less reliable and accurate positioning. Thispaper covers some preliminary research that explicitly targets an indoor setting …,IEEE Data Eng. Bull.,2010,53
Spatio-temporal database support for legacy applications,Michael Böhlen; Christian S Jensen; Bjørn Skjellaug,ABSTRACT In areas such as finance; marketing; and property and resource management;many database applications manage spatio-temporal data. These applications typically runon top of a relational DBMS and manage spatio-temporal data either using the DBMS; whichprovides little support; or employ the services of a proprietary system that co-exists with theDBMS; but is separate from and not integrated with the DBMS. This wealth of applicationsmay benefit substantially from built-in; integrated spatio-temporal DBMS support. Providing afoundation for such support is an important and substantial challenge. This paper initiallydefines technical requirements to a spatio-temporal DBMS aimed at protecting businessinvestments in the existing legacy applications and at reusing personnel expertise. Theserequirements provide a foundation for making it economically feasible to migrate legacy …,Proceedings of the 1998 ACM symposium on Applied Computing,1998,53
The tsql2 data model,Christian S Jensen; Richard T Snodgrass; Michael D Soo,Abstract Adding time to the relational model has been a daunting task [Bolour et al. 1982;McKenzie 1986; Soo 1991; Stam & Snodgrass 1988]. More than two dozen time-extendedrelational data models have been proposed over the last fifteen years [Snodgrass 1992].Most of these are valid-time models. Each fact in a valid-time relation has associated thetime when it is true in the modeled reality. Other models support transaction-time relationswhere each fact has associated the time when it is current in the database. A few supportboth valid and transaction time [Ben-Zvi 1982; Bhargava & Gadia 1989A; Snodgrass 1987;Snodgrass et al. 1993; Thompson 1991]; such models are termed bitemporal. As a whole;these data models are referred to as temporal data models [Jensen et al. 1994].,*,1995,53
Extended spatiotemporal UML: Motivations; requirements; and constructs,Rosanne Price; Nectaria Tryfona; Christian S Jensen,This chapter presents a conceptual modeling language for spatiotemporal applications thatoffers built-in support for capturing spatially referenced; time-varying information. Morespecifically; the well-known object-oriented Unified Modeling Language (UML) is extendedto capture the semantics of spatiotemporal data. The extension; ExtendedSpatiotemporalUML; maintains language clarity and simplicity by introducing a small base setoffundamental modeling constructs: spatial; temporal; and thematic. These constructs canthen be combined and applied at attribute; attribute group; association; and/or class levels ofthe object-oriented model; where the attribute group is an additional construct introduced forattributes with the same spatiotemporal properties. A formal functional specification of thesemantic modeling constructs and their symbolic combinations is given and an example …,Successful Software Reengineering,2002,51
Extended spatiotemporal UML: Motivations; requirements; and constructs,Rosanne Price; Nectaria Tryfona; Christian S Jensen,This chapter presents a conceptual modeling language for spatiotemporal applications thatoffers built-in support for capturing spatially referenced; time-varying information. Morespecifically; the well-known object-oriented Unified Modeling Language (UML) is extendedto capture the semantics of spatiotemporal data. The extension; ExtendedSpatiotemporalUML; maintains language clarity and simplicity by introducing a small base setoffundamental modeling constructs: spatial; temporal; and thematic. These constructs canthen be combined and applied at attribute; attribute group; association; and/or class levels ofthe object-oriented model; where the attribute group is an additional construct introduced forattributes with the same spatiotemporal properties. A formal functional specification of thesemantic modeling constructs and their symbolic combinations is given and an example …,Successful Software Reengineering,2002,51
Indexing trajectories of moving point objects,Dieter Pfoser; Yannis Theodoridis; Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389384657 …,*,1999,48
Parallel main-memory indexing for moving-object query and update workloads,Darius Šidlauskas; Simonas Šaltenis; Christian S Jensen,Abstract We are witnessing a proliferation of Internet-worked; geo-positioned mobile devicessuch as smartphones and personal navigation devices. Likewise; location-related servicesthat target the users of such devices are proliferating. Consequently; server-sideinfrastructures are needed that are capable of supporting the location-related query andupdate workloads generated by very large populations of such moving objects. This paperpresents a main-memory indexing technique that aims to support such workloads. Thetechnique; called PGrid; uses a grid structure that is capable of exploiting the parallelismoffered by modern processors. Unlike earlier proposals that maintain separate structures forupdates and queries; PGrid allows both long-running queries and rapid updates to operateon a single data structure and thus offers up-to-date query results. Because PGrid does …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,47
Stochastic skyline route planning under time-varying uncertainty,Bin Yang; Chenjuan Guo; Christian S Jensen; Manohar Kaul; Shuo Shang,Different uses of a road network call for the consideration of different travel costs: in routeplanning; travel time and distance are typically considered; and green house gas (GHG)emissions are increasingly being considered. Further; travel costs such as travel time andGHG emissions are time-dependent and uncertain. To support such uses; we proposetechniques that enable the construction of a multi-cost; time-dependent; uncertain graph(MTUG) model of a road network based on GPS data from vehicles that traversed the roadnetwork. Based on the MTUG; we define stochastic skyline routes that consider multiplecosts and time-dependent uncertainty; and we propose efficient algorithms to retrievestochastic skyline routes for a given source-destination pair and a start time. Empiricalstudies with three road networks in Denmark and a substantial GPS data set offer insight …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,46
Method and systems for making OLAP hierarchies summarisable,*,A method; a computer system and a computer program product for a computer system fortransforming general On-line Analytical Processing (OLAP) hierarchies into summarizablehierarchies whereby pre-aggregation is disclosed; by which fast query response times foraggregation queries without excessive storage use is made possible even when thehierarchies originally are irregular. Pre-aggregation is essential for ensuring adequateresponse time during data analysis. Most OLAP systems adopt the practical pre-aggregationapproach; as opposed to full pre-aggregation; of materializing only select combinations ofaggregates and then re-use these for efficiently computing other aggregates. However; thisre-use of aggregates is contingent on the dimension hierarchies and the relationshipsbetween facts and dimensions satisfying stringent constraints. The present invention …,*,2006,46
Ecomark: evaluating models of vehicular environmental impact,Chenjuan Guo; Yu Ma; Bin Yang; Christian S Jensen; Manohar Kaul,Abstract The reduction of greenhouse gas (GHG) emissions from transportation is essentialfor achieving politically agreed upon emissions reduction targets that aim to combat globalclimate change. So-called eco-routing and eco-driving are able to substantially reduce GHGemissions caused by vehicular transportation. To enable these; it is necessary to be able toreliably quantify the emissions of vehicles as they travel in a spatial network. Thus; a numberof models have been proposed that aim to quantify the emissions of a vehicle based on GPSdata from the vehicle and a 3D model of the spatial network the vehicle travels in. Wedevelop an evaluation framework; called EcoMark; for such environmental impact models. Inaddition; we survey all eleven state-of-the-art impact models known to us. To gain insightinto the capabilities of the models and to understand the effectiveness of the EcoMark; we …,Proceedings of the 20th International Conference on Advances in Geographic Information Systems,2012,45
Temporal specialization,Christian S Jensen; Richard T Snodgrass,There are two kinds of tables: frequency tables that display the count of respondents at thecrossing of the categorical attributes (in N) and magnitude tables that display information ona numerical attribute at the crossing of the categorical attributes (in R). For example; givensome census microdata containing attributes “Job” and “Town;” one can generate afrequency table displaying the count of respondents doing each job type in each town. If thecensus microdata also contain the “Salary;” attribute; one can generate a magnitude tabledisplaying the average salary for each job type in each town. The number n of cells in atable is normally much less than the number r of respondent records in a microdata file.However; tables must satisfy several linear constraints: marginal row and column totals.Additionally; a set of tables is called linked if they share some of the crossed categorical …,*,2009,45
Location privacy techniques in client-server architectures,Christian S Jensen; Hua Lu; Man Lung Yiu,Abstract A typical location-based service returns nearby points of interest in response to auser location. As such services are becoming increasingly available and popular; locationprivacy emerges as an important issue. In a system that does not offer location privacy; usersmust disclose their exact locations in order to receive the desired services. We view locationprivacy as an enabling technology that may lead to increased use of location-basedservices. In this chapter; we consider location privacy techniques that work in traditionalclient-server architectures without any trusted components other than the client's mobiledevice. Such techniques have important advantages. First; they are relatively easy toimplement because they do not rely on any trusted third-party components. Second; theyhave potential for wide application; as the client-server architecture remains dominant for …,*,2009,45
Extending OLAP querying to external object databases,Torben Bach Pedersen; Arie Shoshani; Junmin Gu; Christian S Jensen,ABSTRACT On-Line Analytical Processing (OLAP) systems based on a multidimensionalview of data have found widespread use in business applications and are being usedincreasingly in non-standard applications. These systems provide good performance andease-of-use. However; the complex structures and relationships inherent in data in non-standard applications are not accommodated well by OLAP systems. In contrast; objectdatabase systems are built to handle such complexity; but do not support OLAP-typequerying well. This paper presents the concepts and techniques underlying a flexible;“multi-model” federated system that enables OLAP users to exploit simultaneously the features ofOLAP and object database systems. The system allows data to be handled using the mostappropriate data model and technology: OLAP systems for multidimensional data and …,Proceedings of the ninth international conference on Information and knowledge management,2000,45
Using abstractions for spatio-temporal conceptual modeling,Nectaria Tryfona; Christian S Jensen,ABSTRACT Conceptual data modeling for complex applications; such as multimedia andspatiotemporal applications; often results in large; complicated and difficult-to-comprehenddiagrams. These diagrams frequently involve repetition of autonomous; semanticallymeaningful parts that capture similar situations and characteristics. By recognizing suchparts and treating them as modeling units; it is possible to simplify the diagrams; as well asthe conceptual modeling process. In this paper; based on requirements drawn from realapplications; we present a set of modeling units that capture spatial; temporal; andspatiotemporal aspects. To facilitate the conceptual design process; these units areabbreviated in the conceptual diagrams by corresponding spatial; temporal; andspatiotemporal modeling abstractions. The result is more elegant and less-detailed …,Proceedings of the 2000 ACM symposium on Applied computing-Volume 1,2000,45
Effective caching of shortest paths for location-based services,Jeppe Rishede Thomsen; Man Lung Yiu; Christian S Jensen,Abstract Web search is ubiquitous in our daily lives. Caching has been extensively used toreduce the computation time of the search engine and reduce the network traffic beyond aproxy server. Another form of web search; known as online shortest path search; is populardue to advances in geo-positioning. However; existing caching techniques are ineffective forshortest path queries. This is due to several crucial differences between web search resultsand shortest path results; in relation to query matching; cache item overlapping; and querycost variation. Motivated by this; we identify several properties that are essential to thesuccess of effective caching for shortest path search. Our cache exploits the optimal subpathproperty; which allows a cached shortest path to answer any query with source and targetnodes on the path. We utilize statistics from query logs to estimate the benefit of caching a …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,44
A foundation for efficient indoor distance-aware query processing,Hua Lu; Xin Cao; Christian S Jensen,Indoor spaces accommodate large numbers of spatial objects; eg; points of interest (POIs);and moving populations. A variety of services; eg; location-based services and securitycontrol; are relevant to indoor spaces. Such services can be improved substantially if theyare capable of utilizing indoor distances. However; existing indoor space models do notaccount well for indoor distances. To address this shortcoming; we propose a datamanagement infrastructure that captures indoor distance and facilitates distance-awarequery processing. In particular; we propose a distance-aware indoor space model thatintegrates indoor distance seamlessly. To enable the use of the model as a foundation forquery processing; we develop accompanying; efficient algorithms that compute indoordistances for different indoor entities like doors as well as locations. We also propose an …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,44
Scalable continuous range monitoring of moving objects in symbolic indoor space,Bin Yang; Hua Lu; Christian S Jensen,Abstract Indoor spaces accommodate large populations of individuals. The continuousrange monitoring of such objects can be used as a foundation for a wide variety ofapplications; eg; space planning; way finding; and security. Indoor space differs fromoutdoor space in that symbolic locations; eg; rooms; rather than Euclidean positions orspatial network locations are important. In addition; positioning based on presence sensingdevices; rather than; eg; GPS; is assumed. Such devices report the objects in their activationranges. We propose an incremental; query-aware continuous range query processingtechnique for objects moving in this setting. A set of critical devices is determined for eachquery; and only the observations from those devices are used to continuously maintain thequery result. Due to the limitations of the positioning devices; queries contain certain and …,Proceedings of the 18th ACM conference on Information and knowledge management,2009,44
User-generated content: The case for mobile services,Christian S Jensen; Carmen Ruiz Vicente; Rico Wind,Enabling user-generated services could help fuel the mobile revolution. Web sites thatenable the sharing of user-generated content such as photos and videos are immenselypopular; and their use is on the rise. Technologies that enable Web sites to support thecreation; sharing; and deployment of user-generated mobile services could be key factors inthe spread of the mobile Internet.,Computer,2008,44
Multi-dimensional aggregation for temporal data,Michael Böhlen; Johann Gamper; Christian S Jensen,Abstract Business Intelligence solutions; encompassing technologies such as multi-dimensional data modeling and aggregate query processing; are being applied increasinglyto non-traditional data. This paper extends multi-dimensional aggregation to apply to datawith associated interval values that capture when the data hold. In temporal databases;intervals typically capture the states of reality that the data apply to; or capture when the dataare; or were; part of the current database state. This paper proposes a new aggregationoperator that addresses several challenges posed by interval data. First; the intervals to beassociated with the result tuples may not be known in advance; but depend on the actualdata. Such unknown intervals are accommodated by allowing result groups that arespecified only partially. Second; the operator contends with the case where an interval …,International Conference on Extending Database Technology,2006,44
Conceptual models for spatio-temporal applications,Nectaria Tryfona; Rosanne Price; Christian S Jensen,Abstract Improved support for modeling information systems involving time-varying;georeferenced information; termed spatio-temporal information; has been a longterm userrequirement in a variety of areas; such as cadastral systems that capture the histories oflandparcels; routing systems computing possible routes of vehicles; and weather forecastingsystems. This chapter concerns the conceptual database design phase for such spatio-temporal information systems and presents two models; namely the spatio-temporal EntityRelationship (ER) Model and the Extended spatio-temporal Unified Modeling Language(UML) as proposed in [33; 34] and [26]; respectively.,*,2003,44
Light-weight indexing of general bitemporal data,Rasa Bliujute; Christian S Jensen; Simonas Saltenis; Giedrius Slivinskas,Most data managed by existing; real-world database applications is time referenced. Often;two temporal aspects of data are of interest; namely valid time; when data is true in the mini-world; and transaction time; when data is current in the database; resulting in so-calledbitemporal data. Like spatial data; bitemporal data thus has associated two-dimensionalregions. Such data is in part naturally now-relative: some data is true until the current time;and some data is part of the current database state. So; unlike for spatial data; bitemporaldata regions may grow continuously. Existing indices; eg; B/sup+/and R-trees; typically donot contend well with even small amounts of now-relative data. In contrast; the 4-R indexpresented in the paper is capable of indexing general bitemporal data efficiently. Thedifferent kinds of growing data regions are transformed into stationary regions; which are …,Scientific and Statistical Database Management; 2000. Proceedings. 12th International Conference on,2000,44
Seamless integration of time into SQL,Michael H Böhlen; Christian S Jensen,*,*,1996,44
Design and analysis of a ranking approach to private location-based services,Man Lung Yiu; Christian S Jensen; Jesper Møller; Hua Lu,Abstract Users of mobile services wish to retrieve nearby points of interest without disclosingtheir locations to the services. This article addresses the challenge of optimizing the queryperformance while satisfying given location privacy and query accuracy requirements. Thearticle's proposal; SpaceTwist; aims to offer location privacy for k nearest neighbor (kNN)queries at low communication cost without requiring a trusted anonymizer. The solution canbe used with a conventional DBMS as well as with a server optimized for location-basedservices. In particular; we believe that this is the first solution that expresses the server-sidefunctionality in a single SQL statement. In its basic form; SpaceTwist utilizes well-knownincremental NN query processing on the server. When augmented with a server-sidegranular search technique; SpaceTwist is capable of exploiting relaxed query accuracy …,ACM Transactions on Database Systems (TODS),2011,43
Research Challenges in Location-enabled M-services,Christian S Jensen,Rapid; sustained advances in key computing hardware technologies combine to enable anew class of computing services that aim to meet the needs of mobile users. Theseubiquitous and intelligent services adapt to each user's particular preferences and currentcircumstances; ie; they are personalized. The services exploit data available front multiplesources; including data on past interactions with users; data accessible via the Internet; anddata obtained from sensors. The user's geographical location is particularly central to theseservices. We outline some of the research challenges that aim to meet the computing of suchservices. In particular; focus is on update and query processing in the context ofgeoreferenced data; where certain challenges related to the data representation; indexingand precomputation are described.,Mobile Data Management; 2002. Proceedings. Third International Conference on,2002,43
Chorochronos: A research network for spatiotemporal database systems,U Frank Andrew; Grumbach Stéphane; Hartmut Güting Ralf; S Jensen Christian; Koubarakis Manolis; A Lorentzos Nikos; Manolopoulos Yannis; Nardelli Enrico; Pernici Barbara; Schek Hans-Jörg; Scholl Michel; K Sellis Timos; Theodoulidis Babis; Widmayer Peter,Segnalazioni con codici 20501/20503/20504: Alcuni dati obbligatori per il sito CINECA nonsono presenti o invalidi; oppure il sito CINECA non è riuscito ad individuare una rivista con idati forniti; è necessario controllare la correttezza dell'ISSN e/o EISSN dove applicabili e iltitolo della rivista.Segnalazioni con codici 20201/20202: La pubblicazione non è statatrasferita SOLO per i docenti segnalati nel messaggio a causa di problemi nell'anagraficaCINECA e/o di Ateneo (pe i codici fiscali non sono gli stessi) oppure perché si tratta didocenti che; pur essendo abilitati all'inserimento nel sistema di Ateneo; non hanno facoltà disincronizzare le proprie pubblicazioni in CINECA. Tutti gli altri eventuali coautori senzasegnalazione troveranno la pubblicazione correttamente nel proprio spazio personaleCINECA.,SIGMOD record,1999,43
A foundation for vacuuming temporal databases,Janne Skyt; Christian S Jensen; Leo Mark,Abstract A wide range of real-world database applications; including financial and medicalapplications; are faced with accountability and traceability requirements. Theserequirements lead to the replacement of the usual update-in-place policy by an append-onlypolicy that retain all previous states in the database. This policy result in so-calledtransaction-time databases which are ever-growing. A variety of physical storage structuresand indexing techniques as well as query languages have been proposed for transaction-time databases; but the support for physical removal of data; termed vacuuming; has onlyreceived little attention. Such vacuuming is called for by; eg; the laws of many countries andthe policies of many businesses. Although necessary; with vacuuming; the database'sperfect recollection of the past may be compromised via; eg; selective removal of records …,Data & Knowledge Engineering,2003,42
Stratum approaches to temporal DBMS implementation,Kristian Torp; Christian S Jensen; Richard T Snodgrass,Previous approaches to implementing temporal DBMSs have assumed that a temporalDBMS must be built from scratch; employing an integrated architecture and using newtemporal implementation techniques such as temporal indexes and join algorithms.However; this is a very large and time-consuming task. The paper explores approaches toimplementing a temporal DBMS as a stratum on top of an existing non-temporal DBMS;rendering implementation more feasible by reusing much of the functionality of theunderlying conventional DBMS. More specifically; the paper introduces three stratum meta-architectures; each with several specific architectures. Based on a new set of evaluationcriteria; advantages and disadvantages of the specific architectures are identified. The paperalso classifies all existing temporal DBMS implementations according to the specific …,Database Engineering and Applications Symposium; 1998. Proceedings. IDEAS'98. International,1998,42
Building accurate 3d spatial networks to enable next generation intelligent transportation systems,Manohar Kaul; Bin Yang; Christian S Jensen,The use of accurate 3D spatial network models can enable substantial improvements invehicle routing. Notably; such models enable eco-routing; which reduces the environmentalimpact of transportation. We propose a novel filtering and lifting framework that augments astandard 2D spatial network model with elevation information extracted from massive aeriallaser scan data and thus yields an accurate 3D model. We present a filtering technique thatis capable of pruning irrelevant laser scan points in a single pass; but assumes that the 2Dnetwork fits in internal memory and that the points are appropriately sorted. We also providean external-memory filtering technique that makes no such assumptions. During lifting; atriangulated irregular network (TIN) surface is constructed from the remaining points. The 2Dnetwork is projected onto the TIN; and a 3D network is constructed by means of …,Mobile Data Management (MDM); 2013 IEEE 14th International Conference on,2013,41
Evaluating the Completeness of TSQL2,Michael H Böhlen; Christian S Jensen; Richard T Snodgrass,Abstract The question of what is a well-designed temporal data model and query languageis a difficult; but also an important one. The consensus temporal query language TSQL2attempts to take advantage of the accumulated knowledge gained from designing andstudying many of the earlier models and languages. In this sense; TSQL2 represents aconstructive answer to this question. Others have provided analytical answers by developingcriteria; formulated as completeness properties; for what is a good model and language.This paper applies important existing completeness notions to TSQL2 in order to evaluatethe design of TSQL2. It is shown that TSQL2 satisfies only a subset of these completenessnotions.,*,1995,41
Personalized trajectory matching in spatial networks,Shuo Shang; Ruogu Ding; Kai Zheng; Christian S Jensen; Panos Kalnis; Xiaofang Zhou,Abstract With the increasing availability of moving-object tracking data; trajectory search andmatching is increasingly important. We propose and investigate a novel problem calledpersonalized trajectory matching (PTM). In contrast to conventional trajectory similaritysearch by spatial distance only; PTM takes into account the significance of each samplepoint in a query trajectory. A PTM query takes a trajectory with user-specified weights foreach sample point in the trajectory as its argument. It returns the trajectory in an argumentdata set with the highest similarity to the query trajectory. We believe that this type of querymay bring significant benefits to users in many popular applications such as route planning;carpooling; friend recommendation; traffic analysis; urban computing; and location-basedservices in general. PTM query processing faces two challenges: how to prune the search …,The VLDB Journal,2014,40
