Lipid-like material as the source of the uncharacterized organic carbon in the ocean?,Jeomshik Hwang; Ellen RM Druffel,The composition and formation mechanisms of the uncharacterized fraction of oceanicparticulate organic carbon (POC) are not well understood. We isolated biologically importantcompound classes and the acid-insoluble fraction; a proxy of the uncharacterized fraction;from sinking POC in the deep Northeast Pacific and measured carbon isotope ratios toconstrain the source (s) of the uncharacterized fraction. Stable carbon and radiocarbonisotope signatures of the acid-insoluble fraction were similar to those of the lipid fraction;implying that the acid-insoluble fraction might be composed of selectively accumulated lipid-like macromolecules.,Science,2003,72
Biological and physical controls on the flux and characteristics of sinking particles on the Northwest Atlantic margin,Jeomshik Hwang; Steven J Manganini; JongJin Park; Daniel B Montluçon; John M Toole; Timothy I Eglinton,Studies seeking to understand sinking particle flux and related biological carbon pumpusing time-series sediment trap moorings have been carried out at numerous locations (forexample; Honjo et al.; 2008; Turner; 2015). Many of these stations represent open oceanenvironments where particle flux is mainly controlled by production and export of biogenicparticles from the overlying surface ocean. Moreover; studies have mostly focused on theattenuation in flux; biogenic matter degradation; and remineralization during the verticaltransit of particles from surface to deep waters; as well as their sedimentation. While muchremains to be understood concerning the underlying mechanisms; these studies havehelped to develop the concept and advanced our understanding of the biological pump; andon its role in the ocean's ability to take up atmospheric CO2 (Turner; 2015). Continental …,Journal of Geophysical Research: Oceans,2017,*
Geochemical characteristics of sinking particles in the Tonga arc hydrothermal vent field; southwestern Pacific,Hyung Jeek Kim; Jonguk Kim; Sang Joon Pak; Se-Jong Ju; Chan Min Yoo; Hyun Sub Kim; Kyeong Yong Lee; Jeomshik Hwang,Abstract Studies of sinking particles associated with hydrothermal vent fluids may help us toquantify mass transformation processes between hydrothermal vent plumes and deposits.Such studies may also help us understand how various types of hydrothermal systemsinfluence particle flux and composition. However; the nature of particle precipitation out ofhydrothermal vent plumes in the volcanic arcs of convergent plate boundaries has not beenwell studied; nor have the characteristics of such particles been compared with thecharacteristics of sinking particles at divergent boundaries. We examined sinking particlescollected by sediment traps for about 10 days at two sites; each within 200 m of identifiedhydrothermal vents in the south Tonga arc of the southwestern Pacific. The total mass fluxwas several-fold higher than in the non-hydrothermal southwest tropical Pacific. The …,Deep Sea Research Part I: Oceanographic Research Papers,2016,*
Dynamics of Organic Carbon Flux on the Northwest Atlantic Margin: Results from a Three-year Time-Series Sediment Trap Study,J Hwang; SJ Manganini; DB Montlucon; TI Eglinton,Abstract Sinking particles have been collected on the Northwest Atlantic margin sincesummer 2004 to understand the dynamics of particle export and the role of the DeepWestern Boundary Current in resuspension of particles from sediment and their horizontaltransport. Three traps were deployed at roughly 1000m; 2000m; and 3000m (50 m abovethe bottom) on a mooring at 3000m isobath. The results from the 2004-2005 deploymenthave been published previously (Hwang et al.; 2009). We report the results from summer2004 to summer 2007 in this presentation. Lithogenic component accounted for anincreasing fraction with increasing depth from 27% at 1000m to 42% at 3000m. Radiocarboncontents as Delta14C values of sinking particulate organic matter were significantly depletedfrom the value of particulate organic matter in the surface water. The 3-year average …,AGU Fall Meeting Abstracts,2012,*
Biogeochemical properties of sinking particles intercepted at three depths on the NW Atlantic margin,Jeomshik Hwang; Steven J Manganini; D Montluçon; Timothy I Eglinton,*,*,2012,*
Radiocarbon for Studies of Organic Matter Cycling in the Ocean,Jeomshik Hwang,Abstract Radiocarbon is a powerful tool for studies of carbon cycling in the ocean.Development of measurement technology of accelerator mass spectrometry has enabledresearchers to measure radiocarbon even in specific compounds. In this paper; a briefintroduction on radiocarbon measurement and reporting of radiocarbon data is provided.Researches that used radiocarbon measurements on bulk organic matter; organiccompound classes; and specific organic compounds are reviewed. Examples include worksto understand the cycling of particulate and dissolved organic matter; biochemicalcomposition of particulate organic matter; post-depositional transport of sedimentary organicmatter; selective incorporation of fresh organic matter by benthic organisms;chemoautotrophy by archaea; and sources of halogenated chemical compounds found in …,The Sea,2012,*
Organic carbon export to the deep Canada Basin: Importance of lateral supply,J Hwang; TI Eglinton; SJ Manganini; RA Krishfield; DR Griffith; S Honjo; FA McLaughlin; RW MacDonald,Abstract Understanding the processes driving the carbon cycle in the Arctic Ocean is offundamental importance for assessing the impacts of the predicted climate change in thiscritical region. We analyzed sinking particle samples intercepted below the marginal icezone of the Beaufort Sea at a depth of 3067m (Station A; 75N; 150W) in the Canada Basinfrom 2004 to 2005 and from 2007 to 2009; in order to examine interannual variability incarbon export to the bathypelagic zone. Sinking particles were also collected at other depths-2000m and 3750m-at Station A and from other locations (Station B-78N; 150W; and StationD-74N; 140W) within the basin for the latter time period. Prior observations from the 2004-5study revealed that mass flux variations were temporally decoupled from the cycle of primaryproductivity in surface waters; and that sinking particle composition was characterized by …,AGU Fall Meeting Abstracts,2010,*
Dynamics and Mechanics of Particulate Organic Matter Cycling over the Northwest Atlantic Margin,TI Eglinton; J Hwang; SJ Manganini; R Francois; L Giosan; J Blusztajn; AM Macdonald; JM Toole,*,*,2010,*
Is the Carbon Cycle in the Arctic Ocean Changing?: A Time-Series Sediment Trap Study from 2004 to 2009,J Hwang; TI Eglinton; SJ Manganini; RA Krishfield; DR Griffith; S Honjo; FA McLaughlin; R Macdonald; RH Francois,*,*,2010,*
A Comparison of Particle and Organic Carbon Fluxes to the Deep Canada Basin Between 2004-2005 and 2007-2008,TI Eglinton; J Hwang; SJ Manganini; D Griffith; RA Krishfield; S Honjo,Abstract Two of the most blatant impacts of climate change in the Arctic are destabilization ofpermafrost soils; and a reduction in sea-ice cover; altering carbon cycling both on land andin the ocean. In particular; higher terrestrial carbon fluxes to the ocean; and both enhancedand an offshore extension of marine productivity; are anticipated. However; the fate of thiscarbon (ie; remineralization versus burial) in the Arctic Ocean; as well as the extent to whichthe deep basin waters and underlying sediments will sequester carbon in the face of rapidlychanging sea-ice; hydrographic and biogeochemical conditions; remain unknown. Answersto these questions are crucial to our understanding of whether the Arctic will serve as a netcarbon dioxide source or sink to the atmosphere; and how pelagic ecosystems will respondto these perturbations. In this study; we compare the flux of particulate carbon and …,AGU Fall Meeting Abstracts,2008,*
Lateral transport of Particulate Organic Carbon on the Northwest Atlantic Margin,J Hwang; TI Eglinton; D Montlucon; SJ Manganini,Abstract The Northwest Atlantic margin is a dynamic; high kinetic energy environmentcharacterized by vigorous near bottom currents that induce" benthic storms". Lateraltransport of fine resuspended particles from the Nova Scotian margin along the southwardflowing deep western boundary current has been postulated as a mechanism forredistribution and export of organic carbon. As part of a project to understand dynamics ofparticulate organic carbon (POC) in the NW Atlantic margin; we studied the isotopiccharacteristics and molecular level composition of suspended POC collected with in-situfiltration devices deployed throughout the water column at three stations (2000m; 3000m;and 3500m isobaths) on the New England Slope. The biogeochemical characteristics oftime-series sinking POC intercepted by sediment traps deployed at three depths at one …,AGU Fall Meeting Abstracts,2006,*
Particle properties and paleoceanographic proxies,TI Eglinton; J Hwang; N Ohkouchi; R Francois; D Montlucon; S Manganini,*,Geochimica et Cosmochimica Acta Supplement,2006,*
Blank Correction for Delta^ 1^ 4C Measurements in Organic Compound Classes of Oceanic Particulate Matter,ERM Druffel; J Hwang,*,Radiocarbon,2005,*
Marine DOC radiocarbon methods and DOC/POC exchange,SR Beaupré; J Hwang; ER Druffel,Abstract Dissolved Organic Carbon (DOC); defined as the carbon contained in that fractionof organic matter which passes through a 0.2-1.0 micrometer filter; is the largest oceanicreservoir of organic carbon with approximately 600 Gt C. Sources and sinks of this carbonpool are not yet well constrained; with some suggestions that a portion exchanges with theParticulate Organic Carbon pool (POC); ie that fraction retained by filters. Progress inexamining this proposed phenomenon necessitates accurate and precise methods forquantifying DOC concentrations and isotope ratios. A simple experiment was performedwhereby deep seawater was inoculated with dried; ground plankton as a known source ofPOC; and incubated two weeks in darkness at ambient temperature (Jeomshik Hwang;"Radiocarbon in Organic Compound Classes of Particulate and Sedimentary Organic …,AGU Fall Meeting Abstracts,2004,*
Composition and Sources of Suspended Particulate Organic Carbon (POC) in the Ocean Implied by Radiocarbon and Stable Carbon Isotope Ratios of its Organic Fr...,J Hwang; ER Druffel; S Griffin,Abstract Suspended particulate organic carbon (POC) is a dynamic carbon pool in theocean and is expected to exchange carbon with other organic carbon pools such as sinkingPOC and dissolved organic carbon (DOC). To study carbon cycling through suspendedPOC; radiocarbon and stable carbon isotope ratios of three organic fractions (extractablelipids; acid-soluble; and acid-insoluble fractions) were measured on samples collected fromvarious depths at an abyssal station (Station M; 220km off the central California coast).Stable carbon isotope ratios of the acid-insoluble fraction were distinctly lower than those ofthe acid-soluble fraction; but similar to those of the extractable lipids. This trend waspersistent throughout the water column. A similar trend was observed for sinking POC from3450m depth at the same station (Hwang and Druffel; 2003). Radiocarbon isotope ratios …,AGU Fall Meeting Abstracts,2004,*
Temporal Variability of delta13C and Delta14C in Sinking POC at a Deep Time-Series Station in the Northeast Pacific Ocean,J Hwang; ER Druffel; S Griffin; JE Bauer,Abstract delta13C and Delta 14 C were measured on sinking particulate organic carbon(POC) collected at station M in the Northeast Pacific (at 3450 m depth; 650 m above bottom;34 50'N; 123 00'W). Data for 6 years are presented with other properties such as organiccarbon flux; C to N mole ratios.,AGU Fall Meeting Abstracts,2002,*
Climate Change: The Science of Climate Change Climate Change: The Science of Climate Change 572; 1995,Dong-Chan Oh; Mi-Kyung Park; Sang-Hwa Choi; Dong-Jin KANG; Sun Young PARK; Jeom Shik HWANG; Andrey ANDREEV; Gi Hoon HONG; Kyung-Ryul KIM,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,Journal of oceanography,1999,*
Tracers in the Sea Tracers in the Sea; 149-150; 1982,Dong-Chan Oh; Mi-Kyung Park; Sang-Hwa Choi; Dong-Jin KANG; Sun Young PARK; Jeom Shik HWANG; Andrey ANDREEV; Gi Hoon HONG; Kyung-Ryul KIM,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,Journal of oceanography,1999,*
