Protecting respondents identities in microdata release,Pierangela Samarati,Today's globally networked society places great demands on the dissemination and sharingof information. While in the past released information was mostly in tabular and statisticalform; many situations call for the release of specific data (microdata). In order to protect theanonymity of the entities (called respondents) to which information refers; data holders oftenremove or encrypt explicit identifiers such as names; addresses; and phone numbers.Deidentifying data; however; provides no guarantee of anonymity. Released informationoften contains other data; such as race; birth date; sex; and ZIP code; that can be linked topublicly available information to reidentify respondents and inferring information that was notintended for disclosure. In this paper we address the problem of releasing microdata whilesafeguarding the anonymity of respondents to which the data refer. The approach is …,IEEE transactions on Knowledge and Data Engineering,2001,2076
Privacy in location-based applications: research issues and emerging trends,X. Sean Wang Claudio Bettini; Sushil Jajodia; Pierangela,*,*,2009,60
Access control in federated systems,Sabrina De Capitani di Vimercati; Pierangela Samarati,Abstract One of the new emerging technology for data management is today represented byfederated systems. The success of this technology; which has been receiving increasingatten-tion from researchers and developers; comes from the need to integrate and work ondiflerent existing systems indepen-dently developed and evolved. The necessity of makingthem atlailable to users as if they were a single system while at the same time not affectingtheir independent working arises several issues with respect to authorization managementand specification and to access control enforcement. In this paper we outline some of theseissues and illustrate the basic ideas of possible authorization model for the protection ofinformation in federated systems.,Proceedings of the 1996 workshop on New security paradigms,1996,59
k-anonymous data mining: A survey,Valentina Ciriani; Sabrina De Capitani di Vimercati; Sara Foresti; Pierangela Samarati,Data mining technology has attracted significant interest as a means of identifying patternsand trends from large collections of data. It is however evident that the collection andanalysis of data that include personal information may violate the privacy of the individualsto whom information refers. Privacy protection in data mining is then becoming a crucialissue that has captured the attention of many researchers. In this chapter; we first describethe concept of k-anonymity and illustrate different approaches for its enforcement. We thendiscuss how the privacy requirements characterized by k-anonymity can be violated in datamining and introduce possible approaches to ensure the satisfaction of k-anonymity in datamining.,*,2008,58
Selective data encryption in outsourced dynamic environments,Ernesto Damiani; S De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The amount of information held by organizations' databases is increasing veryquickly. A recently proposed solution to the problem of data management; which isbecoming increasingly popular; is represented by database outsourcing. Severalapproaches have been presented to database outsourcing management; investigating theapplication of data encryption together with indexing information to allow the execution ofqueries at the third party; without the need of decrypting the data. These proposals assumeaccess control to be under the control of the data owner; who has to filter all the accessrequests to data. In this paper; we put forward the idea of outsourcing also the access controlenforcement at the third party. Our approach combines cryptography together withauthorizations; thus enforcing access control via selective encryption. The paper …,Electronic Notes in Theoretical Computer Science,2007,57
Logics for Authorizations and Security,Piero A Bonattii; Pierangela Samarati,Abstract Today's computer systems and applications are based on a globally internetworkedinfrastructure; connecting remote parties through large-scale networks such as the WorldWide Web. The network-based nature of applications improves information availability; butat the same time; it increases system vulnerability; calling for powerful and reliable tools forspecifying and enforcing security properties. The expressive power and the formalfoundations of logical formalisms are appealing in this context. Logics of various kinds havealready been investigated and are being proposed as suitable means for tackling manyfacets of security. In this chapter; we survey some of the major applications of logics to thespecification; verification; and enforcement of security policies; with special attention to thesecurity issues that arise in open and distributed systems. We shall point out some …,Logics for Emerging Applications of Databases: Texte Imprimé,2004,55
Supporting security requirements for resource management in cloud computing,Ravi Jhawar; Vincenzo Piuri; Pierangela Samarati,We address the problem of guaranteeing security; with additional consideration on reliabilityand availability issues; in the management of resources in Cloud environments. Weinvestigate and formulate different requirements that users or service providers may wish tospecify. Our framework allows providers to impose restrictions on the allocations to be madeto their hosts and users to express constraints on the placement of their virtual machines(VMs). User's placement constraints may impose restrictions in performing allocation tospecific locations; within certain boundaries; or depending on some conditions (eg; requiringa VM to be allocated to a different host wrt other VMs). Our approach for VM allocation goesbeyond the classical (performance/cost-oriented) resource consumption to incorporate thesecurity requirements specified by users and providers.,Computational Science and Engineering (CSE); 2012 IEEE 15th International Conference on,2012,54
Encryption-based policy enforcement for cloud storage,S De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Gerardo Pelosi; Pierangela Samarati,Nowadays; users are more and more exploiting external storage and connectivity for sharingand disseminating user-generated content. To this aim; they can benefit of the servicesoffered by Internet companies; which however assume that the service provider is entitled toaccess the resources. To overcome this limitation; we present an approach that does notrequire complete trust in the external service wrt both resource content and authorizationmanagement; while at the same time allowing users to delegate to the provider theenforcement of the access control policy on their resources. Our solution relies on thetranslation of the access control policy into an equivalent encryption policy on resources andon a hierarchical key structure that limits both the number of keys to be maintained and theamount of encryption to be enforced.,Distributed Computing Systems Workshops (ICDCSW); 2010 IEEE 30th International Conference on,2010,53
Fragmentation design for efficient query execution over sensitive distributed databases,Valentina Ciriani; Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,The balance between privacy and utility is a classical problem with an increasing impact onthe design of modern information systems. On the one side it is crucial to ensure thatsensitive information is properly protected; on the other side; the impact of protection on theworkload must be limited as query efficiency and system performance remain a primaryrequirement. We address this privacy/efficiency balance proposing an approach that;starting from a flexible definition of confidentiality constraints on a relational schema; appliesencryption on information in a parsimonious way and mostly relies on fragmentation toprotect sensitive associations among attributes. Fragmentation is guided by workloadconsiderations so to minimize the cost of executing queries over fragments. We discuss theminimization problem when fragmenting data and provide a heuristic approach to its …,Distributed Computing Systems; 2009. ICDCS'09. 29th IEEE International Conference on,2009,53
Metadata management in outsourced encrypted databases,Ernesto Damiani; Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Database outsourcing is becoming increasingly popular introducing a newparadigm; called database-as-a-service; where a client's database is stored at an externalservice provider. Outsourcing databases to external providers promises higher availabilityand more effective disaster protection than in-house operations. This scenario presents newresearch challenges on which the usability of the system is based. In particular; oneimportant aspect is the metadata that must be provided to support the proper working of thesystem. In this paper; we illustrate the metadata that are needed; at the client and server; tostore and retrieve mapping information for processing a query issued by a client applicationto the server storing the outsourced database. We also present an approach to develop anefficient access control technique and the corresponding metadata needed for its …,*,2005,52
F-ORM METHOD: a F-ORM methodology for reusing specifications,Valeria De Antonellis; Barbara Pernici; P Samarati,F-ORM METHOD: a F-ORM Methodology for Reusing Specifications / V. De Antonellis; B.Pernici; P. Samarati - In: Object Oriented Approach in Information Systems[sl] :North-Holland; 1991. - pp. 117-135 (( convegno Proceedings of the IFIP TC8/WG8.1 WorkingConference o tenutosi a Quebec City; Que.; Canada nel 1991.,IFIP WG 8.4 Working Conference on Object-Oriented Aspects in Information Systems,1991,52
Implementation of a storage mechanism for untrusted DBMSs,Ernesto Damiani; S De Capitani Di Vimercati; Mario Finetti; Stefano Paraboschi; Pierangela Samarati; Sushil Jajodia,Several architectures have been recently proposed that store relational data in encryptedform on untrusted relational databases. Such architectures permit the creation of novelInternet services and also offer an opportunity for a better construction of ASP solutions.Environments where there are limited resources that do not permit an efficient managementof databases or where it is critical to offer a robust Internet access to private data may allbenefit from the above architectures. In this paper we analyze the impact that thisarchitecture has on the typical services of a database. The analysis is based on theexperience gained in the construction of a prototype of a complete architecture for themanagement of encrypted databases. Specifically; we illustrate the impact on querytranslation and optimization; and the main components of the software architecture of the …,Security in Storage Workshop; 2003. SISW'03. Proceedings of the Second IEEE International,2003,51
High assurance discretionary access control for object bases,Elisa Bertino; Pierangela Samarati; Sushil Jajodia,Abstract Discretionary access control; based on checking access requests against users'authorizations; does not provide any way of restricting the usage of information once it hasbeen “legally” accessed. This makes discretionary systems vulnerable to Trojan Horsesmaliciously leaking information. Therefore the need arises for providing additional controlslimiting the indiscriminate flow of information in the system. This paper proposes a messagefilter complementing discretionary authorization control in object-oriented systems to limit thevulnerability of authorization systems to Trojan Horses. The encapsulation property of theobject-oriented data model; which requires that access to objects be possible only throughdefined methods; makes information flow in such systems have a very concrete and naturalembodiment in the form of messages and their replies. As a result; information information …,Proceedings of the 1st ACM conference on Computer and communications security,1993,51
Expressive and deployable access control in open web service applications,Claudio A Ardagna; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Eros Pedrini; Pierangela Samarati; Mario Verdicchio,Traditional access control solutions; based on preliminary identification and authenticationof the access requester; are not adequate for the context of open web service systems;where servers generally do not have prior knowledge of the requesters. The researchcommunity has acknowledged such a paradigm shift and several investigations have beencarried out for new approaches to regulate access control in open dynamic settings.Typically based on logic; such approaches; while appealing for their expressiveness; resultnot applicable in practice; where simplicity; efficiency; and consistency with consolidatedtechnology are crucial. The eXtensible Access Control Markup Language (XACML) hasestablished itself as the emerging technological solution for controlling access in aninteroperable and flexible way. Although supporting the most common policy …,IEEE Transactions on Services Computing,2011,50
Primelife policy language,Sabrina De Capitani di Vimercati; Neven Gregory; Stefano Paraboschi; Eros Pedrini; Franz-Stefan Preiss; Dave Raggett; Pierangela Samarati; Slim Trabelsi; Mario Verdicchio,*,*,2009,50
An XACML-based privacy-centered access control system,Claudio Agostino Ardagna; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Eros Pedrini; Pierangela Samarati,Abstract The widespread diffusion of the Internet as the platform for accessing distributedservices makes available a huge amount of personal data; and a corresponding concernand demand from users; as well as legislation; for solutions providing users with form ofcontrol on their data. Responding to this requirement raises the emerging need of solutionssupporting proper information security governance; allowing enterprises managing userinformation to enforce restrictions on information acquisition as well as its processing andsecondary use. While the research community has acknowledged this emerging scenario;and research efforts are being devoted to it; current technologies provide still limitedsolutions to the problem. In this paper; we illustrate our effort in pursuing the goal of bringinginformation security governance restrictions deployable in current organizational contexts …,Proceedings of the first ACM workshop on Information security governance,2009,50
Exception-based information flow control in object-oriented systems,Elisa Bertino; Sabrina De Capitani di Vimercati; Elena Ferrari; Pierangela Samarati,Abstract We present an approach to control information flow in object-oriented systems. Thedecision of whether an information flow is permitted or denied depends on both theauthorizations specified on the objects and the process by which information is obtained andtransmitted. Depending on the specific computations; a process accessing sensitiveinformation could still be allowed to release information to users who are not allowed todirectly access it. Exceptions to the permissions and restrictions stated by the authorizationsare specified by means of exceptions associated with methods. Two kinds of exceptions areconsidered: invoke exceptions; applicable during a mehtod execution and reply exceptionsapplicable to the information returned by a method. Information flowing from one object intoanother or returned to the user is subject to the different exceptions specified for the …,ACM Transactions on Information and System Security (TISSEC),1998,50
Xml access control systems: A component-based approach,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract We recently proposed an access control model for XML information that permits thedefinition of authorizations at a fine granularity. We here describe the design andimplementation of an Access Control Processor based on the above-mentioned model. Wealso present the major issues arising when integrating it into the framework of a component-based Web server system.,*,2001,44
Fragments and loose associations: Respecting privacy in data publishing,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract We propose a modeling of the problem of privacy-compliant data publishing thatcaptures confidentiality constraints on one side and visibility requirements on the other side.Confidentiality constraints express the fact that some attributes; or associations among them;are sensitive and cannot be released. Visibility requirements express requests for viewsover data that should be provided. We propose a solution based on data fragmentation tosplit sensitive associations while ensuring visibility. In addition; we show how sensitiveassociations broken by fragmentation can be released in a sanitized form as looseassociations formed in a way to guarantee a specified degree of privacy.,Proceedings of the VLDB Endowment,2010,43
Minimal data upgrading to prevent inference and association attacks,Steven Dawson; Sabrina De Capitani di Vimercati; Patrick Lincoln; Pierangela Samarati,Abstract Despite advances in recent years in the area of mandatory access control indatabase systems; today's information repositories remain vulnerable to inference and dataassociation attacks that can result in serious information leakage. Such information leakagecan be prevented by properly classifying information according to constraints that expressrelationships among the security levels of data objects. In this paper we address the problemof classifying information by enforcing explicit data classification as well as inference andassociation constraints. We formulate the problem of determining a classification thatensures satisfaction of the constraints; while at the same time guaranteeing that informationwill not be unnecessarily overclassified. We present an approach to the s; olution of thisproblem and give an algorithm implementing it which is linear in simple cases; and low …,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,43
A component-based architecture for secure data publication,Piero A Bonatti; Ernesto Damiani; S De Capitani di Vimercati; Pierangela Samarati,We present an approach for controlling access to data publishers in the framework of Web-based information services. The paper presents a model for enforcing access controlregulations; an XML core schema and namespace for expressing such regulations; andillustrates the architecture of the Access Control Unit (ACU); an autonomous softwarecomponent based on the proposed model. Besides" standard" authorizations; the ACUsupports authorizations based on user profiles and dynamic conditions whose outcome isdetermined by user actions such as the acceptance of a written agreement and/or payment.,Proceedings of the 17th Annual Computer Security Applications Conference; 2001. ACSAC 2001.,2001,42
Specification and enforcement of classification and inference constraints,Steven Dawson; S De Capitani di Vimercati; Pierangela Samarati,Although mandatory access control in database systems has been extensively studied inrecent years; and several models and systems have been proposed; capabilities forenforcement of mandatory constraints remain limited. Lack of support for expressing andcombating inference channels that improperly leak protected information remains a majorlimitation in today's multilevel systems. Moreover the working assumption that data areclassified at insertion time makes previous approaches inapplicable to the classification ofexisting; possibly historical; data repositories that need to be classified for release. Such acapability would be of great benefit to; and appears to be in demand by; governmental;public and private institutions. We address the problem of classifying existing datarepositories by taking into consideration explicit data classification as well as association …,Security and Privacy; 1999. Proceedings of the 1999 IEEE Symposium on,1999,42
Independent updates and incremental agreement in replicated databases,Stefano Ceri; Maurice AW Houtsma; Arthur M Keller; Pierangela Samarati,Abstract Update propagation and transaction atomicity are major obstacles to thedevelopment of replicated databases. Many practical applications; such as automated tellermachine networks; flight reservation; and part inventory control; do not require theseproperties. In this paper we present an approach for incrementally updating a distributed;replicated database without requiring multi-site atomic commit protocols. We prove that themechanism is correct; as it asymptotically performs all the updates on all the copies. Ourapproach has two important characteristics: it is progressive; and non-blocking. Progressivemeans that the transaction's coordinator always commits; possibly together with a group ofother sites. The update is later propagated asynchronously to the remaining sites. Non-blocking means that each site can take unilateral decisions at each step of the algorithm …,Distributed and Parallel Databases,1995,40
Enabling privacy-preserving credential-based access control with XACML and SAML,Claudio A Ardagna; Sabrina De Capitani di Vimercati; Gregory Neven; Stefano Paraboschi; Franz-Stefan Preiss; Pierangela Samarati; Mario Verdicchio,In this paper we describe extensions to the access control industry standards XACML andSAML to enable privacy-preserving and credential-based access control. Rather thanassuming that an enforcement point knows all the requester's attributes; our extensionsallow the requester to learn which attributes have to be revealed and which conditions mustbe satisfied; thereby enabling to leverage the advantages of privacy-preservingtechnologies such as anonymous credentials. Moreover; our extensions follow a credential-based approach; ie; attributes are regarded as being bundled together in credentials; andthe policy can refer to attributes within specific credentials. In addition to defining languageextensions; we also show how the XACML architecture and model of evaluating policies canbe adapted to the credential-based setting; and we discuss the problems that such …,Computer and Information Technology (CIT); 2010 IEEE 10th International Conference on,2010,39
An experimental evaluation of multi-key strategies for data outsourcing,E Damiani; S De Capitani di Vimercati; S Foresti; S Jajodia; S Paraboschi; P Samarati,Abstract Data outsourcing is emerging today as a successful solution for organizationslooking for a cost-effective way to make their data available for on-line querying. To protectoutsourced data from unauthorized accesses; even from the (honest but curious) hostserver; data are encrypted and indexes associated with them enable the server to executequeries without the need of accessing cleartext. Current solutions consider the wholedatabase as encrypted with a single key known only to the data owner; which therefore hasto be kept involved in the query execution process. In this paper; we propose different multi-key data encryption strategies for enforcing access privileges. Our strategies exploit differentkeys; which are distributed to the users; corresponding to the different authorizations. Wethen present some experiments evaluating the quality of the proposed strategies with …,New Approaches for Security; Privacy and Trust in Complex Environments,2007,39
A WOWA-based aggregation technique on trust values connected to metadata,Ernesto Damiani; Sabrina De Capitani di Vimercati; Pierangela Samarati; Marco Viviani,Abstract Metadata produced by members of a diverse community of peers tend to containlow-quality or even mutually inconsistent assertions. Trust values computed on the basis ofusers' feedback can improve metadata quality and reduce inconsistency; eliminatinguntrustworthy assertions. In this paper; we describe an approach to metadata creation andimprovement; where community members express their opinions on the trustworthiness ofeach assertion. Our technique aggregates individual trustworthiness values to obtain acommunity-wide assessment of each assertion. We then apply a global trustworthinessthreshold to eliminate some assertions to reduce the metadatabase's overall inconsistency.,Electronic Notes in Theoretical Computer Science,2006,39
Efficient key management for enforcing access control in outsourced scenarios,Carlo Blundo; Stelvio Cimato; Sabrina De Capitani di Vimercati; Alfredo De Santis; Sara Foresti; Stefano Paraboschi; Pierangela Samarati,Abstract Data outsourcing is emerging today as a successful paradigm allowing individualsand organizations to exploit external servers for storing and distributing data. While trustedto properly manage the data; external servers are often not authorized to read them;therefore requiring data to be encrypted. In such a context; the application of an accesscontrol policy requires different data to be encrypted with different keys so to allow theexternal server to directly enforce access control and support selective dissemination andaccess. The problem therefore emerges of designing solutions for the efficient managementof the encryption policy enforcing access control; with the goal of minimizing the number ofkeys to be maintained by the system and distributed to users. Since such a problem is NP-hard; we propose a heuristic approach to its solution based on a key derivation graph …,*,2009,38
Access control policies and languages in open environments,S De Capitani di Vimercati; S Foresti; S Jajodia; P Samarati,Abstract Access control is the process of mediating every request to resources and datamaintained by a system and determining whether the request should be granted or denied.Access control plays an important role in overall system security. The development of anaccess control system requires the definition of the regulations (policies) according to whichaccess is to be controlled and their implementation as functions executable by a computersystem. The access control policies are usually formalized through a security model; statedthrough an appropriate specification language; and then enforced by the access controlmechanism enforcing the access control service. The separation between policies andmechanisms introduces an independence between protection requirements to be enforcedon the one side; and mechanisms enforcing them on the other. It is then possible to: i) …,Secure data management in decentralized systems,2007,36
Maximizing sharing of protected information,Steven Dawson; Sabrina De Capitani di Vimercati; Patrick Lincoln; Pierangela Samarati,Abstract Despite advances in recent years in the area of mandatory access control indatabase systems; today's information repositories remain vulnerable to inference and dataassociation attacks that can result in serious information leakage. Without support for copingagainst these attacks; sensitive information can be put at risk because of release of other(less sensitive) related information. The ability to protect information diclosure against suchimproper leakage would be of great benefit to governmental; public; and private institutions;which are; today more than ever; required to make portions of their data available forexternal release. In this paper we address the problem of classifying information byenforcing explicit data classification as well as inference and association constraints. Weformulate the problem of determining a classification that ensures satisfaction of the …,Journal of Computer and System Sciences,2002,35
Cloud security: Issues and concerns,Pierangela Samarati; S De Capitani di Vimercati; S Murugesan; I Bojanova,Rapid advances in information and communication technology (ICT) have enabled theemergence of the cloud as a successful paradigm for conveniently storing; accessing;processing; and sharing information. With its significant benefits of scalability and elasticity;the cloud paradigm has appealed to companies as well as individuals; which areincreasingly resorting to the clouds to store and process data. Unfortunately; thisconvenience comes at the price of loss of control by the owners of the data; and consequentsecurity threats; which can limit the potential widespread adoption and acceptance of thecloud‐computing paradigm. On one hand; cloud providers can be assumed to employsecurity mechanisms for protecting data in storage; processing; and communication;devoting resources to ensure security that many individuals and companies may not be …,Encyclopedia on cloud computing,2016,34
Data privacy: definitions and techniques,Sabrina De Capitani di Vimercati; Sara Foresti; Giovanni Livraga; Pierangela Samarati,The proper protection of data privacy is a complex task that requires a careful analysis ofwhat actually has to be kept private. Several definitions of privacy have been proposed overthe years; from traditional syntactic privacy definitions; which capture the protection degreeenjoyed by data respondents with a numerical value; to more recent semantic privacydefinitions; which take into consideration the mechanism chosen for releasing the data. Inthis paper; we illustrate the evolution of the definitions of privacy; and we survey some dataprotection techniques devised for enforcing such definitions. We also illustrate some well-known application scenarios in which the discussed data protection techniques have beensuccessfully used; and present some open issues.,International journal of uncertainty; fuzziness and knowledge-based systems,2012,34
Access controls in object-oriented database systems—Some approaches and issues,Elisa Bertino; Sushil Jajodia; Pierangela Samarati,Object-oriented database management systems (OODBMSs) today represent one of themost active areas in both academic and industrial worlds. OODBMSs combine object-oriented programming technology with database technology; thus combining the strengthsof both. The need for these systems has been driven by several advanced applications; suchas CAD/CAM; cartography; multimedia; for which relational systems have been provedinadequate. A serious problem with these systems is that they do not provide adequateaccess control mechanisms to prevent unauthorized disclosure of information. They do notprovide for the mandatory security [146] and; in most cases; do not even provide adequatediscretionary authorization facilities (a notable exception is presented by the ORION/ITASCAsystem [460]). We can expect; however; that the broadening of application scope of these …,*,1993,33
Integrity for join queries in the cloud,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,We address the problem of providing users with the ability to assess the integrity of joinresults produced by external computational providers and computed over externally storeddatabases. Our approach relies on different mutually supporting techniques offering strongintegrity protection guarantees at a limited cost. The application of the approach iscompletely transparent to the computational provider; against which data and queryconfidentiality are preserved. The paper introduces our techniques analytically; examiningtheir protection guarantees and performance. It also illustrates experimental results; whichconfirm the effectiveness and efficiency of our solutions.,IEEE Transactions on Cloud Computing,2013,32
Controlled information sharing in collaborative distributed query processing,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,We present a simple; yet powerful; approach for the specification and enforcement ofauthorizations regulating data release among data holders collaborating in a distributedcomputation; to ensure that query processing discloses only data whose release has beenexplicitly authorized. Data disclosure is captured by means of profiles; associated with eachdata computation; that describe the information carried by the result. We also present analgorithm that; given a query plan; determines whether it can be safely executed andproduces a safe execution strategy. The main advantage of our approach is its simplicitythat; without impacting expressiveness; makes it nicely interoperable with current solutionsfor collaborative computations in distributed database systems.,Distributed Computing Systems; 2008. ICDCS'08. The 28th International Conference on,2008,32
Privacy-enhanced location-based access control,Claudio Agostino Ardagna; Marco Cremonini; Sabrina De Capitani di Vimercati; Pierangela Samarati,Summary Advancements in location technologies reliability and precision are fostering thedevelopment of location-based services that make use of the location information of users.An increasingly important category of such services is represented by Location-basedAccess Control (LBAC) systems that integrate traditional access control mechanisms withaccess conditions based on the physical position of users and other attributes related to theusers location. Since privacy is extremely important for users; protection of their locationinformation is paramount to the success of such emerging location-based services. In thischapter; we first present an overview of Location-based Access Control systems and thencharacterize the location privacy protection problem. We then discuss the main techniquesthat have been proposed to protect location information; focusing on the obfuscation …,*,2008,32
Integrating trust management and access control in data-intensive web applications,Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Giuseppe Psaila; Pierangela Samarati,Abstract The widespread diffusion of Web-based services provided by public and privateorganizations emphasizes the need for a flexible solution for protecting the informationaccessible through Web applications. A promising approach is represented by credential-based access control and trust management. However; although much research has beendone and several proposals exist; a clear obstacle to the realization of their benefits in data-intensive Web applications is represented by the lack of adequate support in the DBMSs. Asa matter of fact; DBMSs are often responsible for the management of most of the informationthat is accessed using a Web browser or a Web service invocation. In this article; we aim ateliminating this gap; and present an approach integrating trust management with the accesscontrol of the DBMS. We propose a trust model with a SQL syntax and illustrate an …,ACM Transactions on the Web (TWEB),2012,30
Selective data outsourcing for enforcing privacy,Valentina Ciriani; Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Existing approaches for protecting sensitive information outsourced at external“honest-but-curious” servers are typically based on an overlying layer of encryption appliedto the whole database; or on the combined use of fragmentation and encryption. In thispaper; we put forward a novel paradigm for preserving privacy in data outsourcing; whichdeparts from encryption. The basic idea is to involve the owner in storing a limited portion ofthe data; while storing the remaining information in the clear at the external server. Weanalyze the problem of computing a fragmentation that minimizes the owner's workload;which is represented using different metrics and corresponding weight functions; and provethat this minimization problem is NP-hard. We then introduce the definition of locally minimalfragmentation that is used to efficiently compute a fragmentation via a heuristic algorithm …,Journal of Computer Security,2011,30
Access control in location-based services,Claudio A Ardagna; Marco Cremonini; Sabrina De Capitani di Vimercati; Pierangela Samarati,Abstract Recent enhancements in location technologies reliability and precision arefostering the development of a new wave of applications that make use of the locationinformation of users. Such applications introduces new aspects of access control whichshould be addressed. On the one side; precise location information may play an importantrole and can be used to develop Location-based Access Control (LBAC) systems thatintegrate traditional access control mechanisms with conditions based on the physicalposition of users. On the other side; location information of users can be consideredsensitive and access control solutions should be developed to protect it againstunauthorized accesses and disclosures. In this chapter; we address these two aspectsrelated to the use and protection of location information; discussing existing solutions …,*,2009,30
Access control of SVG documents,Ernesto Damiani; S De Capitani di Vimercati; Eduardo Fernández-Medina; Pierangela Samarati,Abstract The monolithic nature of traditional raster images makes controlled dissemination oftheir internal features a difficult task. Recently; however; XML-based graphics formats suchas the Scalable Vector Graphics (SVG) standard are becoming increasingly popular due totheir recognized advantages in terms of application interoperability. In this paper we exploitthe XML-based data model of SVG to present a model and a syntax aimed at selectivelycontrolling access to graphic information on the Internet.,*,2003,30
Enforcing dynamic write privileges in data outsourcing,Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Giovanni Livraga; Stefano Paraboschi; Pierangela Samarati,Abstract Users and companies are more and more resorting to external providers for storingtheir data and making them available to others. Since data sharing is typically selective (ie;accesses to certain data should be allowed only to authorized users); there is the problem ofenforcing authorizations on the outsourced data. Recently proposed approaches based onselective encryption provide convenient enforcement of read privileges; but are not directlyapplicable for supporting write privileges. In this paper; we extend selective encryptionapproaches to the support of write privileges. Our proposal enriches the approach based onkey derivation of existing solutions and complements it with a hash-based approach forsupporting write privileges. Enforcement of write privileges and of possible policy updatesrelies on the–controlled–cooperation of the external provider. Our solution also allows the …,Computers & Security,2013,29
A protocol for reputation management in super-peer networks,Shalendra Chhabra; Ernesto Damiani; S De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Peer-to-peer (P2P) applications have recently seen an enormous success and havereached millions of users. The main reason of this success is the anonymity the users enjoy.However; as recent experiences with P2P networks show; this anonymity offers anopportunity to exploit the network for abuses (eg; the spread of malware). In this paper weextend our previous work on P2PRep; a reputation management protocol for pure P2Pnetworks; in the case of super-peer networks. We present the design and implementation ofreputation-aware servants.,Database and Expert Systems Applications; 2004. Proceedings. 15th International Workshop on,2004,29
Maintaining replicated authorizations in distributed database systems,Pierangela Samarati; Paul Ammann; Sushil Jajodia,Abstract We consider the propagation of authorizations in distributed database systems. Wepresent an optimistic replica control algorithm that ensures that the authorization table at anygiven site evolves consistently with respect to other sites. The motivation for using optimisticreplica control to maintain authorizations is that site and communication failures do notneedlessly delay authorization changes. In addition; the semantics of the authorizationoperations we employ can be exploited to resolve transient inconsistencies without theexpense of an undo-redo mechanism. Instead; we give efficient; direct algorithms whereby asite scans its log of authorization requests and updates its authorization tablecorrespondingly. From the system perspective; any inconsistencies in the authorization tablereplicas maintained at different sites are transient and are eliminated by further …,Data & knowledge engineering,1996,29
Enforcing confidentiality constraints on sensitive databases with lightweight trusted clients,Valentina Ciriani; Sabrina De Capitani di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Existing approaches for protecting sensitive information stored (outsourced) atexternal “honest-but-curious” servers are typically based on an overlying layer of encryptionthat is applied on the whole information; or use a combination of fragmentation andencryption. The computational load imposed by encryption makes such approaches notsuitable for scenarios with lightweight clients. In this paper; we address this issue andpropose a novel model for enforcing privacy requirements on the outsourced informationwhich departs from encryption. The basic idea of our approach is to store a small portion ofthe data (just enough to break sensitive associations) on the client; which is trusted beingunder the data owner control; while storing the remaining information in clear form at theexternal (honest-but-curious) server. We model the problem and provide a solution for it …,*,2009,28
Towards privacy-enhanced authorization policies and languages,Claudio Agostino Ardagna; Ernesto Damiani; Sabrina De Capitani di Vimercati; Pierangela Samarati,Abstract The protection of privacy in today's global infrastructure requires the combinedapplication solution from technology (technical measures); legislation (law and publicpolicy); and organizational and individual policies and practices. Emerging scenarios of user-service interactions in the digital world are also pushing toward the development of powerfuland flexible privacy-enhanced models and languages. This paper aims at introducingconcepts and features that should be investigated to fulfill this demand. In particular; thecontent of this paper is a result of our ongoing activity in the framework of the PRIME project(Privacy and Identity Management for Europe); funded by the European Commission; whoseobjective is the development of privacy-aware solutions for enforcing security.,*,2005,28
A new authorization model for object-oriented databases,Elisa Bertino; Fabio Origgi; Pierangela Samarati,*,Proceedings of the IFIP WG11. 3 Working Conference on Database Security VII,1994,28
