The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Synthesis and Photophysics of BF2‐Rigidified Partially Closed Chain Bromotetrapyrroles: Near Infrared Emitters and Photosensitizers,En Dai; Weidong Pang; Xian‐Fu Zhang; Xudong Yang; Ting Jiang; Ping Zhang; Changjiang Yu; Erhong Hao; Yun Wei; Xiaolong Mu; Lijuan Jiao,Abstract We report the synthesis; crystallographic; optical; and triplet and singlet oxygengeneration properties of a series of BF 2-rigidified partially closed chain bromotetrapyrrolesas near infrared emitters and photosensitizers. These novel dyes were efficientlysynthesized from a nucleophilic substitution reaction between pyrroles and the 3; 5-bromo-substituents on the tetra-and hexabromoBODIPYs and absorb in the near-infrared region(681–754 nm) with high molar extinction coefficients. Their fluorescent emission (708–818nm) and singlet oxygen generation properties are significantly affected by alkyl substitutionson the two uncoordinated pyrrole units of these dyes and the polarity of solvents. Amongthem; dyes 4 ca and 4 da show good singlet oxygen generation efficiency and good NIRfluorescence emission (fluorescence quantum yields of 0.14–0.43 in different solvents …,Chemistry–An Asian Journal,2015,14
Design; synthesis and preliminary bioactivity studies of 2-thioxo-4-thiazolidinone derivatives as Bcl-2 inhibitors,Yichao Wan; Shaolei Wu; Guizhi Xiao; Tingting Liu; Xuben Hou; Chen Chen; Peng Guan; Xinying Yang; Hao Fang,Abstract The B-cell lymphoma-2 (Bcl-2) protein is a promising target for cancer therapy. Inthe present study; a series of 2-thioxo-4-thiazolidinone derivatives were designed andsynthesized as Bcl-2 inhibitors. Most of them possessed decent inhibitory activity for anti-apoptotic Bcl-2 proteins. Among them; compound 31 has similar growth inhibition towardsK562 compared to (R)-Gossypol. In addition; it inhibits the myeloid cell leukemia sequence 1(Mcl-1) protein with a K i value of 74 nM.,Bioorganic & medicinal chemistry,2015,14
Metabotropic glutamate receptor 1 mediates melanocyte transformation via transactivation of insulin‐like growth factor 1 receptor,Jessica LF Teh; Raj Shah; Seung‐Shick Shin; Yu Wen; Janice M Mehnert; James Goydos; Suzie Chen,Summary Our laboratory previously described the oncogenic properties of metabotropicglutamate receptor 1 (mGluR1) in melanocytes. mGluR1 transformed immortalized mousemelanocytes in vitro and induced vigorous tumor formation in vivo. Subsequently; weobserved the activation of PI3K/AKT in mGluR1-mediated melanocytic tumorigenesis in vivo.In particular; we identified AKT2 being the predominant isoform contributing to the activationof AKT. Suppression of Grm1 or AKT2 using an inducible Tet-R siRNA system resulted in a60 or 30% reduction; respectively; in in vivo tumorigenesis. We show that simultaneousdownregulation of Grm1 plus AKT2 results in a reduction of approximately 80% in tumorvolumes; suggesting that both mGluR1 and AKT2 contribute to the tumorigenic phenotype invivo. The discrepancy between the mild in vitro transformation characteristics and the …,Pigment cell & melanoma research,2014,14
The clinical effects of DC-CIK cells combined with chemotherapy in the treatment of advanced NSCLC,Junping Zhang; Guanghua Mao; Yaping Han; Xiaoling Yang; Huijing Feng; Linzi Jia; Ting Zhi; Yan Xiao; Libin Zhang; Jiangtao Wang; Tianliang Shi,Abstract Objective The aim of the study was to evaluate the safety and therapeutic effects ofautologous dendritic cells co-cultured with cytokine-induced killer cells (DC-CIK) combinedwith chemotherapy in advanced non-small cell lung cancer (NSCLC) patients. Methods Fiftypatients with advanced NSCLC (stages III to IV); who had received therapies in our Center(Department of Biotherapy; Affiliated to Cancer Hospital of Shanxi Medical University;Taiyuan; China) from August 2008 to January 2010; were treated by DC-CIK+ chemotherapyas the combined treatment group; fifty advanced NSCLC patients treated with chemotherapyat the same time served as controls. The immunologic function; short-term therapeuticeffects; the 1-year survival rate; the life quality; the chemotherapy side effects werecompared between the two groups; the safety and therapeutic effects of DC-CIK cells …,The Chinese-German Journal of Clinical Oncology,2012,14
Syntheses and characterization of five d 10 coordination polymers derived from phenanthroline derivative and dicarboxylate mixed ligands,Lei Gou; Zhong-Xi Han; Huai-Ming Hu; Qing-Ran Wu; Xiao-Le Yang; Zhen-Hua Yang; Bao-Cheng Wang; Fei Wang; Meng-Lin Yang; Gang-Lin Xue,Five structurally diverse complexes;[Cd2 (pyip) 2 (suc) 2] n· 1.5 nH2O (1);[Zn (pyip)(glu)] n(2);[Cd (pyip)(glu)] n (3);[Zn (pyip) 2 (adip) 2] n· 2.5 nH2O (4);[Cd3 (pyip) 2 (adip) 3] n(5)(pyip= 2-(pyridin-3-yl)-1H-imidazo [4; 5-f][1; 10] phenan-throline; H2suc= succinic acid;H2glu= glutaric acid; H2adip= adipic acid); have been hydrothermally synthesized.Complexes 1 and 4 are ribbon-like chains; in which pyip ligands attach to the both sides ofthe chain in pairs. Complex 2 is a one dimensional (1D) wave-like chain; while the pyipligands attach to only one side of the chain. Complexes 3 and 5 are both two dimensional(2D) networks; in which the dicarboxylate ligands connect the dinuclear or trinuclear CdIIunits into layers with (4; 4) topological network. The structural differences among thesecomplexes show that the organic acids have important influences on the final structures.,Inorganica Chimica Acta,2010,14
Threshold proxy re-signature schemes in the standard model,Xiaodong Yang; Caifen Wang,Abstract—A (k; n) threshold proxy re-signature scheme distributes the re-signature key of thedelegatee and the delegator. The re-signing ability to n proxies in a way that any set of k ormore honest proxies can collaborate to re-sign; while any set of k− 1 proxies cannot. Wepropose two threshold proxy re-signature schemes with trust dealer; which are both provedsecure in the standard model. Threshold proxy re-signature schemes are based on theComputational Diffie-Hellman (CDH) problem without random oracles. The schemes satisfythe properties of bidirectionality; non-interactivity; multi-use and private proxy. Meanwhile;the re-signature share generation and verification algorithms are non-interactive andefficient.,Chinese Journal of Electronics,2010,14
Functional improvement of patients with progressive muscular dystrophy by bone marrow and umbilical cord blood mesenchymal stem cell transplantations,XF Yang; YF Xu; YB Zhang; HM Wang; NW Lü; YX Wu; X Lü; JP Cui; H Shan; Y Yan; JX Zhou,OBJECTIVE: To investigate the feasibility of employing double transplantations ofautologous bone marrow mesenchymal stem cells (BMSC) and umbilical cord mesenchymalstem cells (UMSC) in the treatment of progressive muscular dystrophy (PMD). METHODS: Atotal of 82 cases were treated by the double transplantations of BMSC and CB-MSC. Theywere diagnosed by clinical manifestations; CK; LDH; genetic analysis; electromyography;MRI and pathologic examination of biopsied muscle specimens from July 2007 to July 2008.Control group was self-made at before and after treatment and cases were followed up for 3-12 months. treatment method: Eighty-two patients underwent the double transplantations ofbone mesenchymal stem cell (BMSC) and human umbilical cord blood MSC (CB-MSC).(1)BMSC: 80-150 ml bone marrow sample was collected through a puncture at bilateral …,Zhonghua yi xue za zhi,2009,14
Modeling QoS for semantic equivalent web services,Derong Shen; Ge Yu; Tiezheng Nie; Rui Li; Xiaochun Yang,Abstract Quality of Service (QoS) is an important factor for selecting a better Web servicefrom numerous semantic equivalent Web services in Web services composition. In thispaper; a QoS model (e_QoS) for evaluating semantic equivalent Web services is proposed;In which; the factors used to evaluate Web Services include Accessed Times; InvokedSuccess Rate; Average Responding Time; Stability Variance; and Customers Estimation.The performance of Web services in Latest Period of Time; the performance in history andthe performance estimated by customers are considered together. By experiments; weconcluded that e_QoS is effective for estimating Web services; and can improve the qualityof web services composition greatly.,International Conference on Web-Age Information Management,2004,14
Imaging systems for in vivo protocols,*,New digital optical imaging techniques are provided which can enable intravascular;external; or minimally-invasive transpercutaneous tracking of vascular gene expression anddiagnosis of a variety of disorders and diseases including atherosclerosis. Preferred opticalimaging systems for use in the invention can detect extrinsic/intrinsic fluorescent/luminoussignals emitted from deep-seated vessels.,*,2003,14
Bis (2-benzyl-1H-benzimidazole-N3) dichorozinc (II),F-L Bei; F-F Jian; X-J Yang; L-D Lu; Xin Wang; Ibrahim Abdul Razak; S Shanmuga Sundara Raj; H-K Fun,In the title compound;[ZnCl2 (C14H12N2) 2]; the environment around the Zn atom isdistorted tetrahedral formed by two Cl atoms and two tertiary N atoms of the 2-benzyl-1H-benzimidazole ligands. N—H⋯ Cl intermolecular hydrogen bonds link the molecules intoinfinite chains in the [101] direction.,Acta Crystallographica Section C: Crystal Structure Communications,2001,14
Modeling enterprise objects in a virtual enterprise integrating system: ViaScope,Xiaochun Yang; Guoren Wang; Ge Yu; Dik Lun Lee,Abstract The construction of information integrating systems for virtual enterprises raises aset of issues concerned with coupling the systems of independent enterprises in acontrolled; flexible and easily-understood manner. In particular; these independententerprises are typically large-scale; scattered on the Internet; and they involve in differentkinds of heterogeneous data or information. Basically; the information architectures rely onwide ranges of data sources that are not completely federated. Moreover; making thosearchitectures fatally ends up in a new system. In order to solve these problems; we reviewthe research work related to this paper as well as the needs to study on the constraintsbetween distributed objects. According to distributed object paradigm; we present theenterprise object modeling techniques in a CORBA/IIOP based enterprise integrating …,International Computer Science Conference,1999,14
Sanguinarine-induced apoptosis in lung adenocarcinoma cells is dependent on reactive oxygen species production and endoplasmic reticulum stress,Shuang Gu; Xiao-Chun Yang; Xi-Yan Xiang; YAO Wu; YU Zhang; Xiao-Yu Yan; Ya-Nan Xue; Lian-Kun Sun; Guo-Guang Shao,Abstract Sanguinarine (SAN); an alkaloid isolated from plants of the Papaveraceae family; isa compound with multiple biological activities. In the present study; we explored theanticancer properties of SAN in lung cancer using the human lung adenocarcinoma cell lineSPC-A1. Our results revealed that SAN inhibited SPC-A1 cell growth and induced apoptosisin a dose-dependent manner. We found that SAN triggered reactive oxygen species (ROS)production; while elimination of ROS by N-acetylcysteine (NAC) reversed the growthinhibition and apoptosis induced by SAN. SAN-induced endoplasmic reticulum (ER) stressresulted in the upregulation of many genes and proteins involved in the unfolded proteinresponse (UPR) pathway; including glucose‑regulated protein 78 (GRP78); p-protein kinaseR (PKR)-like ER kinase (PERK); p-eukaryotic translation initiation factor 2α (eIF2α) …,Oncology reports,2015,13
Incidental prostate cancer in Asian men: High prevalence of incidental prostatic adenocarcinoma in Chinese patients undergoing radical cystoprostatectomy for treat...,Xinyu Yang; M Francesca Monn; Libo Liu; Yuli Liu; Jinwei Su; Tianjing Lyu; Yanqing Gong; Lisha Wang; Darrell D Davidson; Liang Cheng,Background Previous studies report a low prevalence of incidental prostate cancer inChinese patients (3–7%). We evaluated incidental prostatic adenocarcinoma (PCa) andurothelial carcinoma (UCa) involvement of the prostate in cystoprostatectomy specimens.Methods We analyzed 340 cystoprostatectomy specimens from patients who underwentradical cystoprostatectomy for the treatment of bladder cancer in China from 2004 to 2014.None of the patients had known prostate cancer prior to cystoprostatectomy. Results Overall;180 (53%) patients had either PCa or UCa in the prostate. We found that 95 (28%) had PCaand 115 (34%) had UCa involvement of prostate. The rate of incidental prostate cancer was21% and 31%; respectively; from two study periods (2004–2008 and 2009–2014). Amongthe 95 patients with PCa; 19 (20%) had Gleason score of≥ 7; nine (10%) had PCa tumor …,The Prostate,2015,13
Local filtering: Improving the performance of approximate queries on string collections,Xiaochun Yang; Yaoshu Wang; Bin Wang; Wei Wang,Abstract We study efficient query processing for approximate string queries; which findstrings within a string collection whose edit distances to the query strings are within thegiven thresholds. Existing methods typically hinge on the property that globally similarstrings must share at least certain number of identical substrings or subsequences. Theybecome ineffective when there are burst errors or when the number of errors is large. In thispaper; we explore the opposite paradigm focusing on finding out the differences of databasestrings to the query string. We propose a new filtering method; called local filtering; based onthe idea that two strings exhibiting substantial local dissimilarities must be globallydissimilar. We propose the concept of (positional) local distance to quantify the minimumamount of errors a query fragment contributes to the edit distance between the query and …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,13
Strategy and mechanism for controlling the direction of defect evolution in graphene: preparation of high quality defect healed and hierarchically porous graphene,Kecheng Cao; Yin Tian; Yongzhi Zhang; Xiaodan Yang; Chiyao Bai; Yue Luo; Xiaosheng Zhao; Lijian Ma; Shoujian Li,In this paper; a novel approach for controlling the direction of defect evolution in graphenethrough intercalation of organic small molecules into graphite oxide (GO) combined with aone-pot microwave-assisted reaction is reported. By using ethanol as intercalator; the bulkproduction of high quality graphene with its defects being satisfactorily healed is achieved.The repair of defects using extraneous carbon atoms and the hybrid state of these carbonatoms are definitely demonstrated using isotopic tracing studies with 13C-labeled ethanolcombined with 13C solid-state NMR. The defect healed graphene shows excellentcrystallinity; extremely low oxygen content (C: O ratio of 23.8) and has the highest sheetconductivity (61500 S m− 1) compared to all other reported graphene products derived fromGO. By using methanol or benzene as intercalators; hierarchically porous graphene with …,Nanoscale,2014,13
Phycocyanin may suppress D-galactose-induced human lens epithelial cell apoptosis through mitochondrial and unfolded protein response pathways,Yu Ou; Zhijun Yuan; Kepeng Li; Xuegan Yang,Abstract Apoptosis of lens epithelial cell (LEC) plays an important role in cataract formation;and its prevention may be one of the therapeutic strategies in treating cataract. This studyused human lens epithelial cell (hLEC) line SRA01/04 to investigate the protective effect andmechanism of phycocyanin on glactose-induced apoptosis in hLEC. hLECs were cultured inD/F 12-10% FBS medium containing 125 mM d-galactose with or without phycocyanin. Cellviability was assessed by methylthiazol tetrazolium (MTT) assay. Cell apoptosis waselevated with Wright–Giemsa staining; AO/EB double staining; and DNA fragmentationassay. Mitochondrial apoptosis-associated molecules and unfolded protein response-associated molecules from cultured SRA01/04 cells were quantified using protein blotanalysis. The results demonstrated that phycocyanin suppressed SRA01/04 cells' …,Toxicology letters,2012,13
Seven new sesquiterpenes from cultures of the basidiomycete Conocybe siliginea,Xiaoyan Yang; Tao Feng; Xia Yin; Zhenghui Li; Lin Zhang; Jikai Liu,Abstract Seven new tremulane-type sesquiterpenes (1–7) have been isolated from culturesof the basidiomycete Conocybe siliginea. Their structures and relative configurations wereelucidated by extensive spectroscopic data (HSQC; HMBC; 1 H-1 H COSY; ROESY) and MSanalysis.,Chinese Journal of Chemistry,2012,13
Protecting sensitive relationships against inference attacks in social networks,Xiangyu Liu; Xiaochun Yang,Abstract The increasing popularity of social networks in various application domains hasraised privacy concerns for the individuals involved. One popular privacy attack is identifyingsensitive relationships between individuals. Simply removing all sensitive relationshipsbefore releasing the data is insufficient. It is easy for adversaries to reveal sensitiverelationships by performing link inferences. Unfortunately; most of previous studies cannotprotect privacy against link inference attacks. In this work; we identify two types of linkinference attacks; namely; one-step link inference attacks and cascaded link inferenceattacks. We develop a general framework for preventing link inference attacks; which adoptsa novel lineage tracing mechanism to efficiently cut off the inference paths of sensitiverelationships. We also propose algorithms for preventing one-step link inference attacks …,International Conference on Database Systems for Advanced Applications,2012,13
Different orbital rhythms in the Asian summer monsoon records from North and South China during the Pleistocene,Hong Ao; Mark J Dekkers; Guoqiao Xiao; Xiaoqiang Yang; Li Qin; Xiaodong Liu; Xiaoke Qiang; Hong Chang; Hui Zhao,Abstract Here we construct a Pleistocene astronomical timescale for the Nihewan fluvio–lacustrine sediments (North China); via tuning a stacked summer monsoon index generatedfrom grain size and low-field magnetic susceptibility records to orbital obliquity andprecession. Combining the summer monsoon records retrieved from the Nihewan and theChinese loess deposits in North China on the one hand; and those from the stalagmites andthe marine deposits in South China on the other; the Asian summer monsoon records fromNorth and South China appear to show different orbital rhythms during the Pleistocene. Themonsoon records from both the Nihewan Basin and Chinese Loess Plateau are equallycharacterized by dominant obliquity (41 kyr) before~ 0.9 Ma and dominant eccentricity (100kyr) after this time; closely following the marine δ 18 O record. In contrast; the δ 18 O …,Global and Planetary Change,2012,13
TANK-binding kinase 1 attenuates PTAP-dependent retroviral budding through targeting endosomal sorting complex required for transport-I,Qi Da; Xuanming Yang; Youli Xu; Guangxia Gao; Genhong Cheng; Hong Tang,Retroviruses need to bud from producer cells to spread infection. To facilitate its budding;some virus hijacks the multivesicular body (MVB) pathway that is normally used to cargo anddegrade ubiquitylated cellular proteins; through interaction between the late domain of Gagpolyproteins and the components of MVB machinery. In this study; we demonstrated thatTANK-binding kinase 1 (TBK1) directly interacted with VPS37C; a subunit of endosomalsorting complex required for transport-I (ESCRT-I) in the MVB pathway; without affecting theultrastructure or general function of MVB. Interestingly; overexpression of TBK1 attenuated;whereas short hairpin RNA interference of TBK1 enhanced HIV-1 pseudovirus release fromVero cells in type I IFN (IFN-I)-independent manner. Down-regulation of TBK1 by shorthairpin RNA in TZM-bl cells also enhanced live HIV-1 NL4-3 or JR-CSF virus budding …,The Journal of Immunology,2011,13
Syntheses; structures and magnetic properties of tetranuclear and trinuclear nickel (II) complexes with β-diketone-functionalized pyridinecarboxylate ligand,Yuan-Yuan Hui; Hui-Ming Shu; Huai-Ming Hu; Juan Song; Hong-Liang Yao; Xiao-Le Yang; Qing-Ran Wu; Meng-Lin Yang; Gang-Lin Xue,The new β-diketone-functionalized pyridinecarboxylate ligand 2-(3-oxo-3-phenyl-propionyl)-6-pyridinecarboxylic acid (H2L) has been synthesized and fully characterized. Itstetranuclear and trinuclear nickel (II) coordination compounds [Ni4L4 (DMF)(H2O) 3]· 2.5DMF· 3H2O (1) and [Ni3L2 (OAc) 2 (DMF) 2 (H2O) 2]· DMF· H2O (2) have also beensynthesized and characterized by single crystal X-ray diffraction. Compound 1 has a [2× 2]molecular grid structure and 2 is a trinuclear structure. The magnetic properties study of 1and 2 revealed the intramolecular antiferromagnetic exchange coupling between the Ni (II)ions exists.,Inorganica Chimica Acta,2010,13
Identification of genes differentially expressed at the onset of the ethylene climacteric in banana,Zhi-Qiang Jin; Bi-Yu Xu; Ju-Hua Liu; Wei Su; Jian-Bin Zhang; Xiao-Liang Yang; Cai-Hong Jia; Mei-Ying Li,Abstract The banana (Musa acuminata L. AAA group); a typical climacteric fruit; undergoes apostharvest ripening process that plays a crucial role in commercial banana fruit quality andshelf-life. To gain a better understanding of the postharvest ripening of the banana at themolecular level; we conducted a cDNA microarray analysis on banana fruit 10 d afterharvest; which was the time of ripening initiation by ethylene biosynthesis. A total of 16cDNAs were found to be up-regulated and six down-regulated. These results wereconfirmed by using reverse transcriptase-polymerase chain reaction (RT-PCR). The cDNAsidentified are involved in signal transduction; amino acid metabolism; lipid metabolism;proteolysis; citrate biosynthesis and metabolism; and the uptake and transport of potassium.The information generated in this study provides new clues to aid in understanding the …,Postharvest biology and technology,2009,13
Application of Fourier CGH digital watermarking technique in color image Forgery-Prevention printing [J],Yun-feng SUN; Hong-chen ZHAI; Xiao-ping YANG; Ming-wei WANG,Based on Fourier CGH technique; a digital watermarking system for the color image print-and-scan process is presented. The Fourier CGH digital watermarking technique is appliedin color image forgery prevention printing. And we also designe an extracting program in thesystem. Compared with other digital watermarking system that aims at printscan process; thesystem has the advantages of large information capacity and blind detection. Moreover; thehidden information also survives cropping and scaling attacks. The system can be applied tothe color image Forgery Prevention Printing.,Journal of Optoelectronics. Laser,2008,13
Weave amino acid sequences for protein secondary structure prediction,Xiaochun Yang; Bin Wang,Abstract Given a known protein sequence; predicting its secondary structure can helpunderstand its three-dimensional (tertiary) structure; ie; the folding. In this paper; we presentan approach for predicting protein secondary structures. Different from the existingprediction methods; our approach proposes an encoding schema that weaves physio-chemical information in encoded vectors and a prediction framework that combines thecontext information with secondary structure segments. We employed Support VectorMachine (SVM) for training the CB513 and RS126 data sets; which are collections of proteinsecondary structure sequences; through sevenfold cross validation to uncover the structuraldifferences of protein secondary structures. Hereafter; we apply the sliding windowtechnique to test a set of protein sequences based on the group classification learned …,Proceedings of the 8th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,2003,13
(2-Methylquinolin-8-olato) iron (III) and-copper (II) complexes,F-F Jian; Ying Wang; L-D Lu; X-J Yang; Xin Wang; Suchada Chantrapromma; H-K Fun; Ibrahim Abdul Razak,The crystal structures of tris (2-methylquinolin-8-olato-N; O) iron (III);[Fe (C10H8NO) 3];(I);and aquabis (2-methylquinolin-8-olato-N; O) copper (II);[Cu (C10H8NO) 2 (H2O)];(II); havebeen determined. Compound (I) has a distorted octahedral configuration; in which thecentral Fe atom is coordinated by three N atoms and three O atoms from three 2-methylquinolin-8-olate ligands. The three Fe—O bond distances are in the range 1.934 (2)–1.947 (2) Å; while the three Fe—N bond distances range from 2.204 (2) to 2.405 (2) Å. Incompound (II); the central CuII atom and H2O group lie on the crystallographic twofold axisand the coordination geometry of the CuII atom is close to trigonal bipyramidal; with thethree O atoms in the basal plane and the two N atoms in apical positions. The Cu—N bondlength is 2.018 (5) Å. The Cu—O bond length in the basal positions is 1.991 (4) Å; while …,Acta Crystallographica Section C: Crystal Structure Communications,2001,13
MicroRNA-145 inhibits migration and invasion via inhibition of fascin 1 protein expression in non-small-cell lung cancer cells,Yingying Zhang; Xucheng Yang; Haijun Wu; Weibin Zhou; Zhenzhen Liu,Abstract MicroRNA (miR)-145 has been shown to act as a suppressor in numerous cancertypes; including non-small-cell lung cancer (NSCLC). Fascin 1 (FSCN1); an actin bundlingprotein; has been implicated in NSCLC. However; the detailed role of miR-145 as well asthe association between miR-145 and FSCN1 in the regulation of migration and invasion inNSCLC cells has remained elusive. The present study revealed that miR-145 wasdownregulated and FSCN1 was upregulated in NSCLC tissues and cell lines. Furtherinvestigation showed that overexpression of miR-145 markedly inhibited the proteinexpression of FSCN1; while knockdown of miR-145 upregulated the protein (but not mRNA)levels of FSCN1 in the NSCLC cell line H129. Moreover; a luciferase reporter assayindicated that FSCN1 is a direct target of miR-145 in NSCLC H129 cells. Furthermore …,Molecular medicine reports,2015,12
CCDC34 is up-regulated in bladder cancer and regulates bladder cancer cell proliferation; apoptosis and migration,Yanqing Gong; Wei Qiu; Xianghui Ning; Xinyu Yang; Libo Liu; Zicheng Wang; Jian Lin; Xuesong Li; Yinglu Guo,Abstract The coiled coil is a superhelical structural protein motif involved in a diverse array ofbiological functions; and the abnormal expression of the coiled-coil domain containingproteins has a direct link with the phenotype of tumor cell migration; invasion andmetastasis. The aim of this study was to investigate the critical role of Coiled-coil domain-containing protein 34 (CCDC34) in bladder carcinogenesis; which has never been reportedto date. Here; we found CCDC34 expression was elevated in bladder cancer tissues andcell lines. The knockdown of CCDC34 via lentivirus-mediated siRNA significantlysuppressed bladder cancer cells proliferation and migration; and induced cell cycle arrest atG2/M phase and increased apoptosis in vitro. In addition; CCDC34 knockdown suppressedbladder tumor growth in nude mice. Moreover; CCDC34 silencing decreased the …,Oncotarget,2015,12
Autophagy protects against dasatinib-induced hepatotoxicity via p38 signaling,Xiaochun Yang; Jincheng Wang; Jiabin Dai; Jinjin Shao; Jian Ma; Chao Chen; Shenglin Ma; Qiaojun He; Peihua Luo; Bo Yang,Abstract Liver dysfunction is a common side effect associated with the treatment of dasatiniband its mechanism is poorly understood. Autophagy has been thought to be a potentsurvival or death factor for liver dysfunction; which may shed the light on a novel strategy forthe intervention of hepatotoxicity caused by dasatinib. In this study; we show for the first timethat autophagy is induced; which is consistent with the formation of liver damage. Autophagyinhibition exacerbated dasatinib-induced liver failure; suggesting that autophagy acted as aself-defense mechanism to promote survival. Oxidative stress has been shown to be animportant stimulus for autophagy and hepatotoxicity. Interestingly; dasatinib increased theactivity of p38; which is a critical modulator of the oxidative stress related to liver injury andautophagy. p38 silencing significantly blocked LC3-II induction and p62 reduction by …,Oncotarget,2015,12
Diffusion tensor imaging for anatomical and quantitative evaluation of the anterior cruciate ligament and ACL grafts: a preliminary study,Xianfeng Yang; Ming Li; Dongyang Chen; Dongquan Shi; Zhengyang Zhou; Bin Zhu; Qing Jiang,Purpose: The aim of this study was to evaluate whether anterior cruciate ligament (ACL) andACL graft could be imaged using diffusion tensor imaging (DTI) and to provide the DTImetrics for ACL and grafts. Materials and Methods: Magnetic resonance imaging and DTIwere performed in 40 healthy volunteers and 15 patients with ACL reconstruction. Fibertracking and other postprocessing steps were performed on the workstation. The fractionalanisotropy (FA) and apparent diffusion coefficient (ADC) values of ACL and grafts weredetermined. Results: The courses of ACL and grafts were analyzed quantitatively using FAand ADC; and tractography illustrated nicely the 3-dimensional courses of the fiber bundlesand corresponded well to the known anatomy. There was no significant difference in themean FA and ADC values of the sexes. Conclusions: Diffusion tensor imaging can be …,Journal of computer assisted tomography,2014,12
Method and system for implementing interconversion between ring back tone and ringing tone,*,A method and a system for implementing interconversion between a ring back tone and aringing tone are disclosed. The method for converting the ring back tone into the ringing toneincludes: configuring ring back tone information for a user according to a ring back toneconfiguration request; obtaining relevant data of corresponding ringtone informationaccording to the ring back tone information configured; and sending the relevant data to auser terminal. The method for converting the ringing tone into the ring back tone includes:generating a ring back tone configuration request according to ringing tone configurationinformation; where a user terminal configures the ringing tone with the ringing toneconfiguration information; and configuring the ring back tone corresponding to the ringingtone to be a ring back tone information of the user terminal according to the ringing tone …,*,2013,12
Effects of sodium depletion on detection thresholds for salty taste in rats,Bo Lu; Jianqun Yan; Xuejuan Yang,Abstract Previous studies; which have mostly focused on concentrated NaCl solution intake;have suggested sodium depletion may be accompanied with salt taste sensory changes. Tofurther investigate whether the function of the salt taste system changes in different patternsfor highly concentrated and diluted NaCl taste stimuli; the effects of sodium depletion onNaCl taste detection threshold in rats were examined. After a conditioned taste aversion(CTA) to a suprathreshold concentration of NaCl (0.1 M) was established; rats were given aseries of two-bottle choice tests between distilled water and different concentrations of NaCl.Conditioned rats will generalize the aversion to diluted solutions when they are detected.The taste detection threshold for NaCl is defined as the lowest concentration at which thereis a reliable difference in the preference scores between conditioned and control subjects …,Physiology & behavior,2009,12
Biosensors and Bioelectronics,B Liu; D Rieck; BJV Wie,*,*,2005,12
Bis (O; O′-diisopropyl dithiophosphato-S; S′)(1; 10-phenanthroline-N; N′) metal (II) complexes with cadmium (II) and iron (II),Q-L Hao; X-J Yang; F-F Jian; L-D Lu; Xin Wang; Ibrahim Abdul Razak; Suchada Chantrapromma; H-K Fun,The two title compounds;[M (C6H14O2PS2) 2 (C12H8N2)]; where M= CdII and FeII; areisomorphous. Each compound has a crystallographic twofold axis of symmetry through themetal atom and the 1; 10-phenanthroline molecule. The central metal atom is coordinated tofour S atoms from the two dithiophosphate groups and two N atoms from the 1; 10-phenanthroline ligand. The environment of the metal atom is a distorted octahedron.,Acta Crystallographica Section C: Crystal Structure Communications,2001,12
Cong yalixing tizhi xiang minzhu hezuo tizhi de zhuanbian: xian xiang liangji zhengzhi tizhi gaige (Transformation from the Pressurized System to the Democratic Sy...,Jingben Rong; Z Cui; Q Wang; X Gao; H Zenke; X Yang,*,Beijing: Zhongyang Bianyi Chubanshe. Google Scholar,1998,12
Phycocyanin inhibits tumorigenic potential of pancreatic cancer cells: role of apoptosis and autophagy,Gaoyong Liao; Bing Gao; Yingnv Gao; Xuegan Yang; Xiaodong Cheng; Yu Ou,Abstract Pancreatic adenocarcinoma (PDA) is one of the most lethal human malignancies;and unresponsive to current chemotherapies. Here we investigate the therapeutic potentialof phycocyanin as an anti-PDA agent in vivo and in vitro. Phycocyanin; a natural productpurified from Spirulina; effectively inhibits the pancreatic cancer cell proliferation in vitro andxenograft tumor growth in vivo. Phycocyanin induces G2/M cell cycle arrest; apoptotic andautophagic cell death in PANC-1 cells. Inhibition of autophagy by targeting Beclin 1 usingsiRNA significantly suppresses cell growth inhibition and death induced by phycocyanin;whereas inhibition of both autophagy and apoptosis rescues phycocyanin-mediated celldeath. Mechanistically; cell death induced by phycocyanin is the result of cross-talk amongthe MAPK; Akt/mTOR/p70S6K and NF-κB pathways. Phycocyanin is able to induce …,Scientific reports,2016,11
