Neural systems responding to degrees of uncertainty in human decision-making,Ming Hsu; Meghana Bhatt; Ralph Adolphs; Daniel Tranel; Colin F Camerer,Much is known about how people make decisions under varying levels of probability (risk).Less is known about the neural basis of decision-making when probabilities are uncertainbecause of missing information (ambiguity). In decision theory; ambiguity about probabilitiesshould not affect choices. Using functional brain imaging; we show that the level ofambiguity in choices correlates positively with activation in the amygdala and orbitofrontalcortex; and negatively with a striatal system. Moreover; striatal activity correlates positivelywith expected reward. Neurological subjects with orbitofrontal lesions were insensitive to thelevel of ambiguity and risk in behavioral choices. These data suggest a general neuralcircuit responding to degrees of uncertainty; contrary to decision theory.,Science,2005,1197
Brain Physiology and Anatomy,Yuping Chen; Ming Hsu; Moran Cerf,Because all thoughts and behavior ultimately comes from the brain (Gazzaniga 2004); it isunlikely that managers and firms can truly understand their customers without understandingwhat goes on inside the brain. This chapter will provide some basic knowledge of the brainregions and circuits that will be discussed in the rest of the book. The human brain is aunique structure that boasts a complex three-dimensional architecture. An adult humanbrain weighs~ 3 lb (1;500 g) and is about the size of a cantaloupe (Carpenter and Sutin1983). The brain looks a little like a large pinkish-gray walnut and is composed of neuronsthat generate our thoughts; feelings; and choices. The human brain is made up ofapproximately 100 billion neurons of different kinds; with about 100 trillion connectionsbetween them; making each 1 mm of brain cell have more connections than there are …,Consumer Neuroscience,2017,*
Brand Equity,Ming Hsu,Marketers have long appreciated the role of branding in guiding managerial decisionmaking (Gardner and Levy 1955; Keller 1993; Aaker 2009). An understanding of howconsumers feel and think about brands; for example; provides valuable guidance todevelopment of marketing strategy in areas including advertising; pricing; and channelstrategies (Rust; Zeithaml; and Lemon 2004; Aaker 2009). At the same time; however;consumer researchers have noted increasing dissatisfaction on the part of practitioners dueto shortcomings in existing methods of measuring the impact of brand-building activities(Feldwick 1996; Ambler and Barwise 1998; Berthon et al. 2001). As early as the 1990s; forexample; researchers noted that advertising's share of the marketing budget had shifteddownward from more than 60% to less than one third (Shocker; Srivastava; and Ruekert …,Consumer Neuroscience,2017,*
Predicting Unequal Treatment: the Role of Social Perception in Economic Valuation,Ming Hsu; Adrianna Jenkins,Using psychological models of person perception; we significantly improved the predictivepower of standard choice models of other-regarding preferences in social dilemma games.Across multiple games and sample populations; models incorporating person perceptionexplained nearly twice the variation in prosocial behavior compared to a baseline modelwithout such information.,ACR North American Advances,2017,*
Not All Money Is Created Equal: Neural Signature of Mental Accounting,Feng Sheng; Ming Hsu; Baba Shiv,Using a novel within-subject design; we provide evidence for mental accounting at bothbehavioral and neural levels. Specifically; we show income-based mental accountingselectively modulated individuals' attitude toward losses as opposed to risks; as well aselucidate neural mechanisms that underpins the operation of mental accounting.,ACR North American Advances,2017,*
Ming Hsu,Ming Hsu,Ming Hsu is an Associate Professor at the Haas School of Business and Helen WillsNeuroscience Institute at the University of California; Berkeley. He received his Ph. D. inEconomics from the California Institute of Technology and now heads a neuroeconomics labat Berkeley that studies consumer choice and social behavior. In this interview; we discusshow fMRI can be used to study the consumer brain and brand personality without resortingto biased self-reports.,Berkeley Scientific Journal,2017,*
From Laboratory to Clinic and Back: Connecting Neuroeconomic and Clinical Measures of Decision-Making Dysfunctions,Ming Hsu; Winston Chiong,Abstract Rapid progress has been made during the past decade in our understanding ofneural circuits and neuromodulatory systems that mediate economic behavior. This researchhas produced a set of experimental tools that have been successfully applied to a variety ofneuropsychiatric and focal lesion cohorts. Despite these advances; however; major gaps stillexist between this scientific understanding and future clinical applications. In particular; littlesystematic work has been done to map these behavioral and neural measures to clinicallyrelevant characteristics; in ways that can (1) organize clinical descriptions of decision-making deficits or (2) refine and quantify these descriptions. Medical charts constitute a richsource of primary data on behavioral symptoms; and have been largely untapped intranslational research. Here we discuss and provide an example of how to connect …,*,2016,*
Character studies,Ming Hsu; Adrianna C Jenkins,In O. Henry's “The Gift of the Magi”; a young wife sells her prized hair to buy her husband achain for his gold watch; while the husband sells the watch to buy her expensive combs.Thus; unbeknownst to the other; each is left with a gift that neither can use. One possibletakeaway is that the gifts failed miserably and that the couple should have consulted eachother before their purchases. But most of us focus instead on the husband and wife'sgenerous dispositions. Beginning with Heider1; how perceivers attribute dispositionalproperties; or traits; to others has been among the most enduring questions in psychology2.In recent years; there has been increasing interest in approaching this question usingcognitive neuroscience techniques. However; despite important advances3; we remain farfrom a mechanistic understanding of how particular brain regions enable trait inference …,Nature neuroscience,2015,*
Uncertainty,M Hsu; K Preuschoff,*,*,2015,*
Updating Under Ambiguity: Insights From Neuroscience,Ming Hsu; Kenji Kobayashi,Consumers face uncertainty in a wide range of choices that they encounter daily. Some ofthese reflect risks; in which people are well informed about the likelihoods of possibleoutcomes; though those outcomes are uncertain. Others involve ambiguity; in which peoplehave little; or incomplete; information about a situation with uncertain outcomes. It is wellknown that consumers find many instances of such uncertainty and/or ambiguity aversive;making these decisions difficult and frustrating. This can lead to an array of biases; or evensimply avoidance of important choices in uncertain realms. The papers in this sessionexplore the mechanisms underlying uncertain decision-making; how they change withexperience; and how they impact real (incentivized) choices. Specifically; we seek toaddress the following questions:(i) do simple measures of decisions under uncertainty …,ACR North American Advances,2015,*
The Controlled Nature of Prosociality: Pharmacological Enhancement of Prosocial Behavior,Ming Hsu; Ignacio Sáez; Andrew Kayser,Prosocial motivations and actions are pervasive in consumer contexts. For example; acorporation's perceived social responsibility alters consumer responses to its products(Bodur; Gao; & Grohmann; 2014; Torelli; Monga; & Kaikati); and prosocial motivations maylead consumers to seek out socially responsible brands or charitable giving opportunities.Markets also have social dimensions; as consumers may rely on advice from or theirimpressions of other people. Prosocial actions; however; depend upon complex underlyingpsychological processes; and no single experimental approach can encapsulate these richphenomena. Therefore; insights from multiple methods and disciplines must be combined inorder to advance understanding of prosocial behavior in consumer contexts. This sessionincorporates a diverse set of methods to elucidate the underlying psychological …,ACR North American Advances,2015,*
Dopamine in Social Valuation: A Genetic and Pharmacological Study (P1. 251),Andrew Kayser; Ignacio Saez; Ming Hsu,OBJECTIVE: To evaluate whether prefrontal dopamine tone inferred from the genetics andactivity of the dopamine-degrading enzyme catechol-O-methyltransferase (COMT) impactssocial valuation. BACKGROUND: The dopaminergic system is intimately involved invaluation processes. However; its influence on reward in the social domain has rarely beentested in humans; despite the fact that diseases disrupting dopaminergic neurotransmissioncan alter prefrontal activity and lead to social deficits. We hypothesized that increases inprefrontal dopamine tone would impact the assessment of value to self versus other ineconomic games addressing social valuation. DESIGN/METHODS: In the first studycomponent; 3050 Han Chinese subjects participated in a neuroeconomic task while singlenucleotide polymorphisms (SNPs) in COMT were evaluated. Subjects could keep or pass …,Neurology,2014,*
Roundtable: 10 Years of Consumer Neuroscience: Progress; Challenges; and Promises,Ming Hsu; Uma Karmarkar,Significant gains in knowledge have been achieved in the first decade of consumerneuroscience research. This roundtable aims to draw lessons from the past ten years andbuilding on it to propose broad multi-method empirical approaches that can better advanceour understanding of consumer behavior and its underlying processes.,ACR North American Advances,2014,*
Shame and Exculpation: Integration Modeling and Neuroimaging Approaches to Social Emotions,Ming Hsu; Daniel Walsh; Taisuke Imai; Takeshi Murooka; Masataka Watanabe,Imagine just winning the lottery. How much would you give to friends and acquaintances?Would your choice be different if no one knew you had just won? For many people; choicesdepend upon not only the material outcomes involved; but also on the beliefs andexpectations of other people. Violation of these social expectations may result in negativeemotions such as shame. Here we study behavior and neural responses to suchexpectations in the context of a simple economic game—the stochastic dictator game. In thegame; a dictator chooses to allocate money between herself and an anonymous recipientwhile the pot of money available varies across rounds. Crucially; whereas the dictatoralways knows the pot size; the recipient can find out only with some probability.Behaviorally; we found that dictators gave more to the recipient when there was a greater …,Journal of Cognitive Neuroscience. Supplement,2013,*
Financial Errors in Dementia: Testing a Neuroeconomic Conceptual Framework (P07. 132),Winston Chiong; Ming Hsu; Danny Wudka; Bruce Miller; Howard Rosen,OBJECTIVE: This study developed and evaluated a conceptual framework forunderstanding financial errors across different dementia syndromes. BACKGROUND:Financial errors by patients with dementia can have devastating personal and familyconsequences. Existing measures of financial management in dementia focus on whetherpatients possess financial capacity (a related concept); as opposed to specific errors thatpatients make. Different dementia syndromes target specific neural systems that may bereflected in susceptibility to different types of error. If risks for different errors in differentsyndromes can be established; this may aid in early recognition and diagnosis of dementia;and clinicians will be better-equipped to counsel patients and families to avoid situationsthat place them at greatest risk. DESIGN/METHODS: Systematic; retrospective; blinded …,*,2013,*
Decision making under,K Preuschoff; PNC Mohr; M Hsu,In our everyday life we often have to make decisions with uncertain consequences; forinstance in the context of investment decisions. To successfully cope with these situations;the nervous system has to be able to estimate; represent; and eventually resolve uncertaintyat various levels. That is; not only are there different forms of uncertainty with differentconsequences for behavior and learning but research indicates that the processing ofuncertainty highly depends on situation and context. The present research topic includesboth review and original research articles that seek to shed light on the neural processesunderlying decision making under uncertainty with a particular focus on situational andcontextual influences. First; Bland and Schaefer (2012) review the diverse (and oftenoverlapping) definitions of uncertainty. They identify three main forms—expected …,*,2013,*
Identifying Symbols of the Consumer Marketplace From Human Brain Activity,Yu-Ping Chen; Ming Hsu; Leif D Nelson,Background Recent neuroscience research has generated detailed models of brain circuitsinvolved in reward processing; decision-making; and self-control to understand maymotivated behaviors; including eating (Dagher; 2012). However; research thus far hastypically considered neurocognition components; one at a time (Vainik; Dagher; Dubé; &Fellows; 2013); divorced from the complexity of brain and real-life environment (Hammondet al.; 2012). Thus; it is important to bridge the current knowledge of brain from neurosciencelab to real-world eating; sparking the transformation in individual behaviors; marketingpractices; and public health policy (Dubé et al.; 2008); Lab measurements of individualneurocognition should be empirically linked with field observations of eating to explore:which neurocognitive components are engaged in real-life eating; and how individual …,ACR North American Advances,2013,*
DISSOCIABLE NEURAL MECHANISMS UNDERLYING HONESTY AND ALTRUISM,Lusha Zhu; Eric Set; Donatella Scabini; Robert T Knight; Pearl H Chiu; Brooks King-Casas; Ming Hsu,*,JOURNAL OF COGNITIVE NEUROSCIENCE,2013,*
INVESTIGATING THE GENETIC BASIS OF LEARNING IN STRATEGIC GAMES: A GENE SET ANALYSIS,Eric Set; Lusha Zhu; Songfa Zhong; Daniel Houser; Richard Ebstein; Soohong Chew; Ming Hsu,*,JOURNAL OF COGNITIVE NEUROSCIENCE,2013,*
BOUNDARIES OF HUMAN SOCIALITY: THE CASE OF PSYCHOPATHY,Daniel Walsh; Eric Set; Edelyn Verona; Ming Hsu,*,JOURNAL OF COGNITIVE NEUROSCIENCE,2013,*
Reading the Mind of the Consumer: Promises and Challenges of Predictive Methods in Consumer Neuroscience,Ming Hsu; Uma Karmarkar; Karim Kassam; Tom Meyvis; Hilke Plassmann; Akshay Rao; Baba Shiv; Monica Wadhwa; Carolyn Yoon; Drazen Prelec; William Hedgcock; Adam Craig; Mili Milosavljevic; Angelika Dimoka; Nina Mazar,Recent advances in our understanding of the brain suggest that we may be able to useneuroscientific data to predict consumers' attitudes and behavior. This roundtable willdiscuss promises and challenges of using techniques widely described in the popular pressas “mind-reading”; and their implications for theories of consumer behavior.,ACR North American Advances,2012,*
Roundtable Session: the Evolving Definition of Rationality (Panel Discussion Open to All),Rajagopal Raghunathan,Although scholars intuitively understand what “rationality” means; there are often subtle andsometimes not-so-subtle differences in how it is defined. As such; what may be considered arational decision by one scholar is considered sub-rational by another; and vice versa. Thepanelists help clarify the concept.,ACR North American Advances,2011,*
Neuroeconomics of distributive justice: decisions and games,Ming Hsu,*,Neuroscience Research,2009,*
SOCIAL NEUROECONOMICS: DECISIONS AND GAMES,Ming Hsu,*,JOURNAL OF PHYSIOLOGICAL SCIENCES,2009,*
Neural Systems Responding to Degrees of Uncertainty in Human Decision-Making'; Science; 310; December; 1680-83,M Hsu; M Bhatt; R Adolphs; D Tranel; CF Camerer,*,INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS,2007,*
A Model of Elections with Spatial and Distributive Preferences,Ming Hsu,This paper introduces a model where elections are games where voters have preferencesover a public good (policy platforms) and a private good (transfers). The model produces thestandard social choice results such as core convergence and policy separation.Furthermore; by introducing transfers; I am able to make more precise predictions aboutcandidate locations and their dynamics than is possible under the standard spatial model.Another purpose of this paper lies in the creation of favored groups in elections. Ultimately; itis important to characterize political behavior while considering the different preferences thatmight exist in the constituents. By incorporating utility for private goods into standard utilityassumptions; this model introduces these considerations into the standard spatial model;allowing us to have a richer and more nuanced look into elections.,*,2004,*
Predicting unequal treatment: From social perception to societal outcomes,Adrianna C Jenkins; Pierre Karashchuk; Lusha Zhu; Ming Hsu,*,*,*,*
Current Opinion in Psychology,Shihui Han; Glyn Humphreys; Shinobu Kitayama; Anthony King; Ming Hsu; Israel Liberzon; Carolyn Yoon; Michael Tomasello; Andrew Whiten; Christine A Caldwell; Alex Mesoudi; Heidi Keller; Patricia M Greenfield; Barbara Rogoff; A Timothy Church; Batja Mesquita; Michael Boiger; Jozefien De Leersnyder; Mutsumi Imai; Junko Kanero; Takahiko Masuda; Li-Jun Ji; Suhui Yap; Jesse Graham; Peter Meindl; Erica Beall; Kate M Johnson; Li Zhang; Ronald Fischer; Diana Boer; Hazel Rose Markus; Michele J Gelfand; Joshua Conrad Jackson; Paul J Hanges; Juliet R Aiken; Joo Park; Junjie Su; Brian C Gunia; Jeanne M Brett; Bradley L Kirkman; Debra L Shapiro; Shuye Lu; Daniel P McGurrin; Shigehiro Oishi; Elizabeth A Gilbert; Cindy Y Huang; Nolan Zane; Laurence J Kirmayer; Andrew G Ryder; Monica Tamariz; Simon Kirby; Yoshihisa Kashima; Cristina Moya; Joseph Henrich; Toshio Yamagishi; Hirofumi Hashimoto; David Sloan Wilson; Adam B Cohen; Michael EW Varnum; Chi-Yue Chiu; Letty Yan-Yee Kwan; Ying-yi Hong; Siran Zhan; Michael W Morris; Verónica Benet-Martínez; Colleen Ward; Nicolas Geeraert; Sharon Shavitt; Hyewon Cho; Taciano L Milfont; P Wesley Schultz,Read the latest articles of Current Opinion in Psychology at ScienceDirect.com;Elsevier's leading platform of peer-reviewed scholarly literature.,*,*,*
SOCIAL SCIENCE WORKING PAPER 12_,Masayoshi Hirota; Ming Hsu; Charles R Plott; Brian Rogers,*,*,*,*
Toward Socially Aware Computing and Artificial Intelligence,Pierre Karashchuk; Adrianna C Jenkins; Ming Hsu,Abstract: There is increasing concern that the proliferation of AI-driven automation mayperpetuate and even amplify preexisting biases and social inequities facing certain groupsof individuals. However relatively little attention has been paid to computational tools thatcan recognize and quantify social biases at the scale necessary to address these societalchallenges. Here; we used models from social psychology relating stereotypes of specificgroups to a few core dimensions in order to investigate the extent to which wordembeddings reveal stereotypes about different social groups and their realworldconsequences. We show that word embeddings trained on Google News can be used tomake accurate predictions of stereotypes about social groups identified by occupation;geography; and race. We apply these models to quantify biases in historical data …,*,*,*
Online Supplemental Material for Over-representation of extreme events in decision-making reflects rational use of cognitive resources,Falk Lieder; Thomas L Griffiths; Ming Hsu,In the Main Text we found that people overweight extreme outcomes in judgment tasks andhypothetical and low-stakes decisions in the laboratory. Is this cognitive bias restricted toartificial laboratory tasks or does it also pervade the high-stakes economic decisions wemake in real life? To answer this question; we analyze the high-stakes decisions ofcontestants in a popular TV game show called “Deal or No Deal”(Post; Van den Assem;Baltussen; & Thaler; 2008). In this gameshow; the contestant is presented with up to 26briefcases that contain prizes between $0. 01 and up to $5; 000; 000. Knowing which prizesare available but not knowing which briefcase contains which prize; the contestant choosesone of the briefcases. In the first round; six of the remaining briefcases are opened and theircontents are revealed. This narrows down the prize that might be in the contestant's …,*,*,*
Validating Customer Insights: Don’t Ask The Person; Ask The Brain,Ming Hsu,Validating customer insights about how consumers think; feel; and respond to products andbrands has always been a tricky business. Surveys and focus groups; the workhorses forgenerating customer insights in these areas; are fast; inexpensive; and offer tremendousvalue for marketers. For many marketers; however; acting on them can sometimes feel like amatter of faith. The canon; so to speak; goes something like this: consumers are assumed tobe able and willing to tell marketers what they are looking for; in turn; marketers areassumed to be able to ask the right questions to consumers; then code; analyze; andinterpret the data correctly; all before generating actionable insights. For companies; theinability to impartially validate; prioritize; and select between customer insights can result inskepticism and confusion within companies ranks; often leading to difficult conversations …,*,*,*
Beyond equality: Hyper-altruism in guilt-induced compensation,Xiaoxue Gao; Hongbo Yu; Ignacio Saez; Lusha Zhu; Ming Hsu; Xiaolin Zhou,*,*,*,*
Understanding Other-Regarding Mechanisms in Heterogeneous Populations,Teck-Hua Ho; Ming Hsu; Xing Zhang; Songfa Zhong; Arts Link,A core question in every society is how to design social mechanisms so that they reinforcedistributive norms and promote prosocial behavior (1). Numerous field observations havedocumented how selforganized institutions can solve collective action problems; reducepoverty; and promote justice; all of which are of central interest to social and biologicalscientists (2; 3). Two major factors have been identified in theoretical and field studies asimportant determinants of a society's ability to enforce distributive norms:(i) the types ofindividuals interacting in the society; broadly categorized as selfish or other-regarding (4; 5;6); and (ii) the types of mechanisms used to promote equity and other just outcomes; varyingbetween those that punish individuals who act selfishly; and those that help individualsharmed by the selfish actions of others (7). A simple way to demonstrate the impact of …,*,*,*
Henry H. Wheeler Jr. Brain Imaging Center Research Day,Ian Cameron; Miguel Perez BIC; Bryce Mander; Tolga Cukur; Rachel Denison; Katie Begany; David Feinberg BIC; John Clarke; Fernando Perez BIC; Andy Kayser; Ming Hsu; Sophie Forster,Page 1. Henry H. Wheeler Jr. Brain Imaging Center Research Day 2012 Highlights Thursday;January 17; 2013; LKS 125; UC Berkeley 9:00 Coffee; pastries and mingling 9:30 BIC update!Mark D'Esposito/Ben Inglis 9:55 “Disrupted behavior but compensatory changes after theta-burstTMS to the frontal eye fields” Ian Cameron (D'Esposito lab) 10.20 “Simultaneous TMS and fMRI”Miguel Perez (BIC) 10:45 “Aging; brain atrophy; and sleep disruption: A novel pathwaycontributing to cognitive decline?” Bryce Mander (Walker lab) [5 minute stretch break] 11:15'Functional Subdomains within Human Fusiform Face Area” ; Tolga Cukur (Gallant Lab) 11:40“Functional mapping of the magnocellular and parvocellular subdivisions of human LGN" RachelDenison (Silver Lab) 12.05 “Brain modularity predicts responsiveness of brain injury patientsto cognitive rehabilitation” Katie Begany (D'Esposito Lab) …,*,*,*
Customer-based brand equity: Insights from consumer neuroscience,Ming Hsu,Abstract This review describes how insights from cognitive and behavioral neurosciencesare helping to organize and interpret the relationship between consumers and brands. Twocomponents of brand equity—consumer brand knowledge and consumer responses—arediscussed. First; it is argued that consumer brand knowledge consists of multiple forms ofmemories that are encoded in the brain; including well-established forms of semantic(attributes and associations) and episodic (experiences and feelings) memory. Next; it isargued that there exist distinct forms of consumer responses that correspond to distinctbehavioral systems—a goal-directed system that captures valence of attitudes andpreference for a brand; and a habit system that captures previously learned values but nolonger reflect ongoing preferences. Finally; a neuroscientifically-grounded …,*,*,*
Semantic and episodic components of brand knowledge: evidence from functional neuroimaging,Yuping Chen; Ming Hsu,Abstract Brand knowledge has historically been conceptualized in terms of associativemodels of memory derived from cognitive psychology. This; however; ignores the growingscientific consensus that human memory is not a monolithic faculty; but rather a collection ofrelatively independent systems underpinning by dissociable neural circuits andcharacterized by different patterns of learning; unlearning; and biases. Here we appliedmachine learning tools to functional neuroimaging data to explore the hypothesis that brandknowledge can be decomposed into a collection of distinct forms of memories. In particular;we sought to contrast memory systems that underlie brand knowledge related to traits thatconsumers project onto brands on the one hand; versus memory for experiences that resultfrom interactions with brands on the other hand. Our results suggest that distinct types of …,*,*,*
Utility-weighted sampling in decisions from experience,Falk Lieder; Thomas L Griffiths; Ming Hsu,Abstract People overweight extreme events in decision-making and overestimate theirfrequency. Previous theoretical work has shown that this apparently irrational bias couldresult from utility-weighted sampling–a decision mechanism that makes rational use oflimited computational resources (Lieder; Hsu; & Griffiths; 2014). Here; we show that utility-weighted sampling can emerge from a neurally plausible associative learning mechanism.Our model explains the over-weighting of extreme outcomes in repeated decisions fromexperience (Ludvig; Madan; & Spetch; 2014); as well as the overestimation of theirfrequency and the underlying memory biases (Madan; Ludvig; & Spetch; 2014). Our resultssupport the conclusion that utility drives probability-weighting by biasing the neuralsimulation of potential consequences towards extreme values.,*,*,*
Emergence of Brand Personality from Distributed Pattern of Brain Activity: Connecting “What” to “Where”,Yu-Ping Chen; Leif D Nelson; Ming Hsu,Abstract Considerable attention has been given to the notion that there exists a set of human-like characteristics associated with brands; referred to as brand personality. Here wecombine newly available machine learning techniques with functional neuroimaging data tocharacterize the set of processes that give rise to these associations. We show that brandpersonality traits exist a priori inside the minds of consumers. That is; as opposed to beingconstructed via reflective processes; we were able to predict what brand a person is thinkingabout in a passive viewing task; based solely on the relationship between brand personalityassociations and brain activity. In addition; we found brand personality contents weredistributed across a wide set of brain areas; in particular those previously implicated inreasoning; imagery; and affective processing. Taken together; these results support …,*,*,*
Illustrated by the Study of Ambiguity Aversion,Colin F Camerer; Meghana Bhatt; Ming Hsu,This chapter is about the emerging field of neuroeconomics; which seeks to groundeconomic theory in details about how the brain works. This approach is a sharp turn ineconomic thought. Around the turn of the century; economists made a clear methodologicalchoice to treat the mind as a black box and ignore its details for the purpose of economictheory (Bruni and Sugden 2007). In an 1897 letter Pareto wrote:''It is an empirical fact thatthe natural sciences have progressed only when they have taken secondary principles astheir point of departure; instead of trying to discover the essence of things.... Pure politicaleconomy has therefore a great interest in relying as little as possible on the domain ofpsychology''(qtd. in Busino 1964; xxiv). Pareto's view that psychology should be ignored wasreflective of a pessimism of his time about the ability to ever understand the brain. 1 As …,Economics and Psychology,*,*
Neural Coding of Outcome Uncertainty,P Bossaerts; K Preuschoff; CF Camerer; Ming Hsu; CD Fiorillo; P Tobler; W Schultz,Accessibility; Homepage; Navigation within EPFL sites; Navigation within this site; Jump to searchfield; Jump to page content; Technical contact. You are: Prospective students portal. Bachelor;Master; PhD; Exchange student. Students portal. Student services; Academic calendar. Researchersportal. Research funding; Prizes and Awards. Staff portal. Human resources; Polylex: laws; directives.Business portal. Innovation & Tech Transfer; EPFL Innovation Park. Mediacorner. Press releases;EPFL Magazine; Image library. Teaching portal. Courses management; Students management.EPFL Alumni Portal. Join the community; Alumni events. Science and Society. Science Outreach;Culture/Art/Science - ArtLab. By school: Architecture; Civil and Environmental Engineering ENAC.Architecture; Civil Engineering; Environmental Engineering. Basic Sciences SB. Chemistry andChemical Engineering; Mathematics; Physics …,*,*,*
Neuroeconomics,Ming Hsu,Page 1. Neuroeconomics: Background and Methods II Ming Hsu University of Illinois atUrbana-Champaign Page 2. 2007/7/26 Tokyo University Department of Economics 2 Plan ➢Neuroanatomy ➢ Terminology ➢ Functional neuroanatomy ➢ Statistical analysis of fMRI data ➢Preprocessing ➢ Statistical modeling ➢ Neuroanatomy ➢ Terminology ➢ Functional neuroanatomy➢ Statistical analysis of fMRI data ➢ Preprocessing ➢ Statistical modeling Page 3. 2007/7/26Tokyo University Department of Economics 3 Terminology ➢ Directions ➢ Anterior/Posterior ➢Superior/inferior (dorsal/ventral) ➢ Lateral/Medial (also mesial; middle) ➢ Directions ➢Anterior/Posterior ➢ Superior/inferior (dorsal/ventral) ➢ Lateral/Medial (also mesial; middle) Page4. 2007/7/26 Tokyo University Department of Economics 4 fMRI ➢ Types of scans ➢ Axial: superior -inferior ➢ Coronal: anterior - posterior ➢ Saggital: left - right ➢ Types of scans …,*,*,*
Neural Mechanisms underlying Strategic Learning,Lusha Zhu; Kyle E Mathewson; Ming Hsu,Abstract Empirical marketing studies have shown that many types of consumer purchasingbehavior can be better explained by taking into account the dynamic learning processes ofstrategic decisionmaking. Accordingly; a number of theoretical models of learning havebeen proposed to demonstrate how different learning strategies can lead to differentpurchasing behavior over time. In practice; however; it is often difficult to distinguish thesedifferent strategies based on behavioral choice data alone. Here we provide an alternativeapproach to identify the underlying strategic learning process. By taking advantage of recentbreakthroughs in understanding the neural underpinnings of decision-making; weinvestigate how the brain encodes and computes learning signals used to guide behavior ina strategic setting. Specifically; we combine functional neuroimaging of a multistrategy …,*,*,*
