A stemming algorithm for the portuguese language,Viviane Moreira Orengo; Christian Huyck,*,String Processing and Information Retrieval; 2001. SPIRE 2001. Proceedings. Eighth International Symposium on,2001,180
DuelMerge: Merging with Fewer Moves,Sergio LS Mergen; Viviane P Moreira,Abstract This work proposes duelmerge; a stable merging algorithm that is asymptoticallyoptimal in the number of comparisons and performs O (n log 2 (n)) moves. Unlike otherpartition-based algorithms; we only allow blocks of equal sizes to be swapped; whichreduces the number of moves required. We performed experiments comparing duelmergeagainst a number of baselines including recmerge; the standard merging solution forprogramming languages such as C; and some more recent approaches. The results showthat our proposed algorithm performs fewer moves than other stable solutions. Experimentsemploying duelmerge within MergeSort confirmed our positive results in terms of moves;comparisons and runtime.,*,2017,*
On the application of focused crawling for statistical machine translation domain adaptation,Bruno Rezende Laranjeira,Statistical Machine Translation (SMT) is highly dependent on the availability of parallelcorpora for training. However; these kinds of resource may be hard to be found; especiallywhen dealing with under-resourced languages or very specific domains; like thedermatology. For working this situation around; one possibility is the use of comparablecorpora; which are much more abundant resources. One way of acquiring comparablecorpora is to apply Focused Crawling (FC) algorithms. In this work we propose novelapproach for FC algorithms; some based on n-grams and other on the expressive power ofmultiword expressions. We also assess the viability of using FC for performing domainadaptations for generic SMT systems and whether there is a correlation between the qualityof the FC algorithms and of the SMT systems that can be built with its collected data …,*,2015,*
UFRGS: Identifying Categories and Targets in Customer Reviews,Anderson Kauer; Viviane Moreira,Abstract This paper reports on our participation in SemEval-2015 Task 12; which wasdevoted to Aspect-Based Sentiment Analysis. Participants were required to identify thecategory (entity and attribute); the opinion target; and the polarity of customer reviews. Thesystem we built relies on classification algorithms to identify aspect categories and on a setof rules to identify the opinion target. We propose a two-phase classification approach forcategory identification and use a simple method for polarity detection. Our results outperformthe baseline in many cases; which means our system could be used as an alternative foraspect classification.,Proceedings of the 9th International Workshop on Semantic Evaluation (SemEval 2015),2015,*
Atribuição de perfis de autoria,Edson Roberto Duarte Weren,A identificação de perfis de autoria visa classificar os textos com base nas escolhasestilísticas de seus autores. A ideia é descobrir as características dos autores dos textos.Esta tarefa tem uma importância crescente em análise forense; segurança e marketing.Neste trabalho; nos concentramos em descobrir a idade e o gênero dos autores de blogs.Com este objetivo em mente; analisamos um grande número de atributos-que variam derecuperação de informação até análise de sentimento. Esta dissertação relata a utilidadedesses atributos. Uma avaliação experimental em um corpus com mais de 236K posts deblogs mostrou que um classificador usando os atributos explorados aqui supera o estado-da arte. Mais importante ainda; as experiências mostram que os atributos oriundos derecuperação de informação propostos neste trabalho são os mais discriminativos e …,*,2014,*
Mineração de Emoções em Textos Multilíngues usando um Corpus Paralelo.,Aline Rode dos Santos; Karin Becker; Viviane Pereira Moreira,Abstract. Multilingual Opinion Mining deals with the analysis of opinions; regardless of thelanguage in which they are written. Works in this area focus on the classification of thepolarity of opinions extracted from texts; and less attention has been paid to the classificationof emotions. This work proposes the use of Multilingual Opinion Mining techniques foremotion mining using parallel corpora. We developed experiments with two goals: 1) tocompare two approaches for emotion classification: lexicon-based and machine learning-based; 2) to analyze whether a specific language produces better classification results. Wedeveloped experiments with a parallel corpus composed by lyrics in their original language(English) and their translations to Portuguese. The results show that machine learning issuperior to the use of sentiment lexicon; and that there is no statistical difference …,SBBD,2014,*
Clustering Wikipedia infoboxes to discover their types,Thanh Hoang Nguyen; Huong Dieu Nguyen; Viviane Moreira; Juliana Freire,Abstract Wikipedia has emerged as an important source of structured information on theWeb. But while the success of Wikipedia can be attributed in part to the simplicity of addingand modifying content; this has also created challenges when it comes to using; querying;and integrating the information. Even though authors are encouraged to select appropriatecategories and provide infoboxes that follow pre-defined templates; many do not follow theguidelines or follow them loosely. This leads to undesirable effects; such as templateduplication; heterogeneity; and schema drift. As a step towards addressing this problem; wepropose a new unsupervised approach for clustering Wikipedia infoboxes. Instead of relyingon manually assigned categories and template labels; we use the structured informationavailable in infoboxes to group them and infer their entity types. Experiments using over …,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,*
Identifying Parallel Web Pages,Marcela Macedo Vieira; Viviane Pereira Moreira,Abstract Research on statistical machine translation and corpus-based approaches for cross-language information retrieval depend on the availability of multilingual data; particularly inthe form of parallel corpora (collections of equivalent texts in two or more languages).However; the scarcity of parallel corpora limits the development of these applications. TheWeb is a vast repository of multilingual information; which has motivated research aimed atmining corpora from it. In this article; we present PPLocator an approach for locating parallelWeb pages. PPLocator was designed to be effective while keeping a low processing cost;thus it avoids making exhaustive pairwise comparisons in order to identify the candidatepairs. In addition; it tries to minimize the number of pages that need to be downloadedduring the intra-site crawl. An important characteristic of our approach is that it does not …,Journal of Information and Data Management,2012,*
Cell assemblies for query expansion in Information Retrieval,Isabel Volpe; Viviane Moreira; Christian Huyck,One of the main tasks in Information Retrieval is to match a user query to the documents thatare relevant for it. This matching is challenging because in many cases the keywords theuser chooses will be different from the words the authors of the relevant documents haveused. Throughout the years; many approaches have been proposed to deal with thisproblem. One of the most popular consists in expanding the query with related terms with thegoal of retrieving more relevant documents. In this paper; we propose a new method inwhich a Cell Assembly model is applied for query expansion. Cell Assemblies arereverberating circuits of neurons that can persist long beyond the initial stimulus has ceased.They learn through Hebbian Learning rules and have been used to simulate the formationand the usage of human concepts. We adapted the Cell Assembly model to learn …,Neural Networks (IJCNN); The 2011 International Joint Conference on,2011,*
Sixteenth ACM Conference on Information Knowledge and Management (CIKM 2007),Carina F Dorneles; Marcos Freitas Nunes; Carlos A Heuser; Viviane P Moreira; Edleno S de Moura; Sara Cohen; Tali Brodianskiy; Alan Feuer; Stefan Savev; Javed A Aslam; Susan L Price; Marianne Lykke Nielsen; Lois ML Delcambre; Peter Vedsted; Jeremy Steinhauer; Dmitri Roussinov; Ozgur Turetken; Jonathan Yu; James A Thom; Audrey Tam; Nicola Fanizzi; Claudia d’Amato; Floriana Esposito,Read the latest articles of Information Systems at ScienceDirect.com; Elsevier'sleading platform of peer-reviewed scholarly literature.,*,2009,*
Aplicando algoritmos de mineração de regras de associação para recuperação de informações multilíngues.,André Pinto Geraldo,Este trabalho propõe a utilização de algoritmos de mineração de regras de associação paraa Recuperação de Informações Multilíngues. Esses algoritmos têm sido amplamenteutilizados para analisar transações de registro de vendas. A ideia é mapear o problema deencontrar associações entre itens vendidos para o problema de encontrar termosequivalentes entre idiomas diferentes em um corpus paralelo. A proposta foi validada pormeio de experimentos com diferentes idiomas; conjuntos de consultas e corpora. Osresultados mostram que a eficácia da abordagem proposta é comparável ao estado da arte;ao resultado monolíngue e à tradução automática de consultas; embora este utilize técnicasmais complexas de processamento de linguagem natural. Foi criado um protótipo que fazconsultas à Web utilizando o método proposto. O sistema recebe palavras-chave em …,*,2009,*
Indexing multiword expressions for information retrieval,Otavio Costa Acosta; André Pinto Geraldo; Viviane Pereira Moreira; Aline Villavicencio,Abstract For UFRGS's participation on CLEF's Robust task; our aim was to assess thebenefits of identifying and indexing Multiword Expressions (MWEs) for Information Retrieval.The approach used for MWE identification was totally statistical; based associationmeasures such as Mutual Information and Chi-square. Contradicting our results on thetraining topics; the results on the test topics did not show any significant improvements.However; for some queries; the identification of MWEs was very important. We have alsoperformed bilingual experiments which achieved 84% of their monolingual counterparts.,Workshop on Cross Language Evaluation Forum (9.: 2008 Sept.: Aarhus; Denmark). Working Notes for the CLEF 2008 Workshop; 17-19 September; Aarhus; Denmark [recurso eletrônico].[Sl: sn; 2008?],2008,*
Using association rules for cross-language information retrieval,André Pinto Geraldo; Viviane Pereira Moreira,Abstract For UFRGS's participation on the TEL task at CLEF2008; our aim was to assess thevalidity of using algorithms for mining association rules to find mappings between conceptson a Cross-Language Information Retrieval scenario. Our approach requires a sample ofparallel documents to serve as the basis for the generation of the association rules. Theresults of the experiments show that the performance of our approach is not statisticallydifferent from the monolingual baseline in terms of mean average precision. This is anindication that association rules can be effectively used to map concepts betweenlanguages. We have also tested a modification to BM25 that aims at increasing the weight ofrare terms. The results show that this modified version achieved better performance. Theimprovements were considered to be statistically significant in terms of MAP on our …,Workshop on Cross Language Evaluation Forum (9.: 2008 Sept.: Aarhus; Denmark). Working Notes for the CLEF 2008 Workshop; 17-19 September; Aarhus; Denmark [recurso eletrônico].[Sl: sn; 2008?],2008,*
Part I-Multilingual Textual Document Retrieval (Ad Hoc)-Monolingual-A Study on the Use of Stemming for Monolingual Ad-Hoc Portuguese Information Retrieval,Viviane Moreira Orengo; Luciana S Buriol; Alexandre Ramos Coelho,*,Lecture Notes in Computer Science,2007,*
Extraç ao de dados de conferências a partir da Web,Cássio Alan Garcia; Viviane P Moreira,Abstract. Choosing the most suitable conference to submit a paper is a task that depends ona number of factors including:(i) the topic of the paper needs to be among the topics ofinterest of the conference;(ii) submission deadlines need to be compatible with thenecessary time for paper writing; and (iii) the quality or impact of the conference. Thesefactors allied to the existence of thousands of conferences; make the search of the rightevent very time consuming; especially when researching in a new area. Intending to helpresearchers finding conferences; this paper presents a method developed to retrieve andextract data from conferences web sites. Our method combines the identification ofconference URL and deadline extraction. The retrieved data is stored in a database to besearched with an online tool. The paper also reports on experiments that evaluate the …,*,*,*
Visualizing Hotel Reviews: a Case Study using TripAdvisor Data,Fabian Colque; Joao LD Comba; Viviane Moreira,Abstract—Finding hotels that are suited to one's needs can be a time-consuming task. In thisprocess; people usually rely on customer reviews from travel websites. These websitestypically contain many reviews shown in a textual format and a chart that summarizes theoverall opinion about a given hotel. In order to compare a number of hotels; users will needto read many reviews and navigate through many web pages. With the goal of aiding usersin this process; in this paper; we propose a visual tool for hotel comparison. The toolsfocuses on the most important aspects that can be extracted from hotel reviews (location;cleanliness; rooms; etc.) and it allows ordering the hotels by one or more of these aspects.We display aspect information using stacked bar charts alongside their ranking; whichbecomes very useful for comparing hotels. Additionally; we provide a scatterplot matrix …,*,*,*
Coleta de Corpora Paralelos,Marcela Macedo Vieira; Viviane Moreira,Resumo. A pesquisa em Processamento de Linguagem Natural e Recuperação deInformações Multilíngues depende da disponibilidade de dados; sobretudo de corporaparalelos (coleções de textos equivalentes em dois ou mais idiomas); preferencialmentesobre domínios específicos. Entretanto; a escassez de corpora paralelos limita odesenvolvimento destas aplicações. A Web é um imenso repositório de informaçõesmultilíngues; o que tem motivado pesquisas que visam minerar corpora a partir dela. Estetrabalho visa desenvolver um coletor focado de corpora paralelos na Web que localize aspáginas relevantes de maneira automática e eficiente. Dado um tópico e uma lista deidiomas; o objetivo é que textos paralelos nos idiomas especificados sejam identificados ecoletados.,*,*,*
The Database Research Group at UFRGS,JPM de Oliveira; CA Heuser; C Iocphpe; JV de Lima; K Becker; LK Wives; M Abel; R Galante; VP Moreira,Abstract. This paper presents the database group at the Instituto de Informática of theUniversidade Federal do Rio Grande do Sul; in Porto Alegre; Brazil. It is one of the oldestdatabase groups in the country; being active for over 30 years. Research subjects cover abroad range of topics such as Data Integration; Conceptual Modeling and Ontology; Dataand Schema Matching; XML databases; Information Retrieval; Data Mining; Web Mining andRecommender Systems; Text Mining and Web Services. Our group also collaborates withseveral Database research groups in Brazil and abroad. The paper introduces the activeresearchers in the group; describes the main topics of research; details the main researchtopics and collaborations.,*,*,*
Using Structure to Discover Types and Relationships for Wikipedia Infoboxes,Thanh Nguyen; Huong Nguyen; Viviane Moreira; Juliana Freire,*,*,*,*
Cell Assemblies for Query Expansion,Isabel Volpe; Viviane Moreira,Abstract This paper applies the Cell Assemblies (CAs) model to Information Retrieval. CAsare reverberating circuits of neurons that can persist long beyond the initial stimulus hasceased. CAs are learned through Hebbian learning rules and have been used to simulatethe formation and the usage of human concepts. We adapted the CAs model to learnrelationships between the terms in a document collection. The method will be validated bymeans of experiments on standard IR test collections.,*,*,*
Cross-Language Information Retrieval using Algorithms for Min-ing Association Rules,André Pinto Geraldo; Viviane Pereira Moreira,Cross-Language Information Retrieval (CLIR) is the retrieval of documents in one naturallanguage; based on a query formulated in another natural language; eg retrieval ofdocuments written in English based on a set of keywords in Portuguese. The mainmotivation for CLIR is the growing need for exploring documents in foreign languages. Thisneed has increased dramatically with the explosive growth of the Internet. The Web hascontent in many languages and the distribution of this content by language is very differentfrom the distribution of Internet access. While English is still dominant in terms of content (~66%)[8]; the percentage of users that access the Internet in English is less than 30%[16].Despite being one of the languages with the largest number of native speakers; Portugueseis an extremely underrepresented language on the Web. It is estimated that only 1.4% of …,*,*,*
