Illustrated Field Guide to 100 Red listed medicinal plants of conservation concern in Southern India,K Ravikumar; DK Ved; R Vijayasankar; PS Udayan,*,*,2000,226
Investigations on the Anatomy and Essential Oil Chemistry of Siberian Ginseng Leaves,CM Zhai; M Wang; V Raman; J Rehman; YH Meng; B Avula; YH Wang; ZK Tian; IA Khan,Eleutherococcus senticosus (Rupr. & Maxim.) Maxim. the Siberian ginseng; is a well-knownTraditional Chinese Medicine (TCM). Its medicinal uses can be traced back to Qin and HanDynasty (221 BC). Its roots and stems have been used as medicine for their antioxidant; anti-inflammatory and anti-fatigue properties [1]. Due to over-harvesting for its roots and stems;the wild populations of the species are facing threat of extinction. In China; the use of rootshas now been regulated by the Government [2]. As a measure to protect the species; theleaves are being recommended as a substitution to the root and stem. Thus; scientific data isessential to support the medicinal use of E. senticosus leaves.The aim of the present workwas to study the morpho-anatomy of leaves and characterize the composition of theessential oil from the leaves. Detailed descriptions of micromorphology and anatomy of …,Planta Medica,2016,*
Simultaneous Analysis of Aegeline and Six Coumarins from Plant Aegle marmelos using UHPLC-PDA-MS and Aegeline Chiral Separation Using LC-TOf-MS,B Avula; AG Chittiboyina; YH Wang; S Sagi; V Raman; M Wang; IA Khan,A fast UHPLC-PDA method was developed for the simultaneous analysis of one alkaloid;aegeline; and six coumarins [namely; umbelliferone; scopoletin; marmesinin; 8-hydroxypsoralen; angelicin and marmelosin] from leaf; fruit; root and bark of Aegle marmelos(L.) Corrêa (Rutaceae). The method was validated for linearity; accuracy; repeatability; limitsof detection (LOD) and limits of quantification (LOQ). The linearity range (r 2> 0.99) of theseven compounds was found to be 0.5–250 µg/mL; LOD and LOQ for seven compoundswere found to be 0.1 and 0.5 µg/mL; respectively. The developed UHPLC method is simple;fast and especially suitable for quality control analysis of coumarins and aegeline from A.marmelos and commercial dietary supplements. Mass spectrometry was used for theconfirmation of coumarins and aegeline from different plant parts and dietary …,Planta Medica,2016,*
Contributions to Morpho-Anatomy and Odor-Chemistry of 'Carrion Flower'(Amorphophallus titanum),V Raman; N Tabanca; B Demirci; IA Khan,The inflorescence of Amorphophallus titanum (Araceae) is the largest of its kind in the world.It appears and functions like a single flower hence it is often referred to as a'flower'. It iscalled as' carrion flower'or'corpse flower'due to its characteristically unpleasant rotting meat-like odor. A. titanum is a rare and endemic species. It blooms rarely and its blooming incultivation is even rarer. The present work illustrates detailed anatomy of the inflorescenceby light and scanning electron microscopy. Volatile compounds from different parts of theinflorescence were collected using a modified Headspace-Solid Phase Microextractiontechnique and their chemical components were analyzed by GC-MS. Several additionalodorant components were observed in the floral scent. The major volatile compounds foundin the floral scent included butyl acetate; γ-butyrolactone; isovaleric acid; tetradecane …,Planta Medica,2016,*
Identification of the True Bay Leaf and its Substitutes,V Raman; RW Bussmann; IA Khan,Bay leaf is a popular household spice used in flavoring foodstuff. The true bay leaf is derivedfrom the bay laurel or sweet bay tree; Laurus nobilis; native to the Mediterranean region.However; leaves of several other species including Cinnamomum tamala (Indian bay leaf);Litsea glaucescens (Mexican bay leaf); Pimenta racemosa (West Indian bay leaf); Syzygiumpolyanthum (Indonesian bay leaf) and Umbellularia californica (Californian bay leaf) arealso often sold as' bay leaves' and are commonly substituted; adulterated or mistaken for thetrue bay leaves (Laurus nobilis) due to their similarity in appearance; aroma and flavor [1].Thus; the name'bay leaf'in herbal commerce may mean any of these botanicals [2]. Thepresent work provides a detailed morpho-anatomical study of different types of bay leavesfor correct identification of the true bay leaf and its substitutes.,Planta Medica,2016,*
Adulteration in commercial buchu dietary supplements: Analyses of commercial and authentic buchu samples and comparative studies of Agathosma betulina and A...,V Raman; S Sagi; AM Galal; B Avula; A Viljoen; IA Khan,Abstract Buchu is a popular medicinal plant known for its beneficial properties such asdiuretic; urinary tract antiseptic; stimulant and tonic. It has traditionally been used to treaturinary tract infections and stomach troubles. It is widely marketed in the USA in variousforms as dietary supplements. Buchu used in commerce is mainly derived from Agathosmabetulina known as round-leaf or short buchu. However; leaves of Agathosma crenulata;which may contain high levels of pulegone in the essential oil; and other closely relatedspecies are often marketed as or used to adulterate buchu thus making the productpotentially unsafe for human consumption. In the present work; 43 samples of authentic andcommercial buchu were assessed by microscopy and high performance thin layerchromatography methods. Adulterations or contaminations with senna; grass and various …,South African Journal of Botany,2015,*
Calcium oxalate crystals in Dioscorea (Dioscoreaceae),V Raman; IA Khan,Calcium oxalate crystals are common in higher plants. They occur in five major formsnamely crystal sand; raphide; druse; styloid and prismatic. The shape and occurrence of thecrystals are species-specific hence considered as an important taxonomic characteristic.The present study investigates various forms and shapes of crystals found in the tubers andrhizomes of different species of Dioscorea. Raphide crystals are abundant in yams; anddifferent shapes as well as unusual aggregations of raphide crystals are observed anddiscussed in this study. Other forms of crystals such as druces; styloids and prisms are alsoobserved and illustrated.,American Society of Pharmacognosy 2014 Annual Meeting & 14th Annual Oxford International Conference on the Science of Botanicals; Oxford; Mississippi; USA; 2-6 August 2014,2014,*
Comparative morpho-anatomy and HPTLC studies of leaves of Agathosma betulina and Agathosma crenulata,V Raman; S Sagi; AM Galal; B Avula; IA Khan,Buchu is one of the South Africa's best-known medicinal plants valued for its medicinal usesas diuretic; antiseptic and stimulant tonic. It is also widely used against urinary tractinfections and stomach troubles. In the USA; buchu is popularly consumed as tea and alsoused as a dietary supplement. The strongly aromatic buchu leaf is mainly derived fromAgathosma betulina (syn. Barosma betulina); known as round-leaf buchu or short buchu.However; commercial buchus are often derived also from A. crenulata (oval-leaf buchu). Thetwo species have different chemical profiles; and the oil of A. crenulata has a high level ofpulegone; a potentially toxic component that renders the oil unsuitable for humanconsumption. Therefore; correct identification and differentiation of buchu is crucial. Thepresent work illustrates detailed morphology and anatomy of leaves of the two species by …,American Society of Pharmacognosy 2014 Annual Meeting & 14th Annual Oxford International Conference on the Science of Botanicals; Oxford; Mississippi; USA; 2-6 August 2014.,2014,*
NMR-based metabolomics for chemotaxonomic characterization and authentification of Astragalus species,J Zhao; E Bedir; M Wang; B Avula; YH Wang; S Sagi; V Raman; IA Khan,Astragalus is the largest genus of flowering plants in the world; with more than 2200 specieswhich are widely distributed throughout the temperate region of the world. Many of thespecies are of highly economic and ecological importance; used as food; forage; industrialraw materials; and herbal medicines. Some species are poisonous. The metabolomicanalysis of Astragalus species was performed by using NMR combining chemometricmethods. The chemotaxonomic characteristic fingerprinting and metabolite profile ofAstragalus propinquus; an important medicinal herb used in TCM for centuries; wereinvestigated to facilitate the authentification and quality control of plant materials.,American Society of Pharmacognosy 2014 Annual Meeting & 14th Annual Oxford International Conference on the Science of Botanicals; Oxford; Mississippi; USA; 2-6 August 2014,2014,*
Mosquito repellent activity of essential oils and extracts from Chamomile flowers,N Tabanca; B Demirci; C Avonto; M Wang; A Ali; UR Bernier; V Raman; IA Khan,Aedes aegypti L. is the major vector for dengue and yellow fever. In order to discover plantbased mosquito repellents; the n-hexane; ethyl acetate extracts and essential oils from theflowers of German chamomile (Matricaria chamomilla L.); Roman chamomile(Chamaemelum nobile L.) and Juhua (Chrysanthemum morifolium Ramat.) were screenedfor the repellent activity against Ae. aegypti. In human based “cloth patch” repellentbioassays; German chamomile essential oils showed the highest activity. Thus; wedetermined chemical differences between these three chamomile essential oils using GC-FID and GC-MS. Two Roman chamomile oil samples were characterized by the isobutylangelate; 2-butenyl angelate and 3-methyl pentyl angelate; whereas all four Germanchamomile essential oils were characterized by α-bisabolol oxide A and α-bisabolol …,American Society of Pharmacognosy 2014 Annual Meeting & 14th Annual Oxford International Conference on the Science of Botanicals; Oxford; Mississippi; USA; 2-6 August 2014,2014,*
Notes on the distribution of Semecarpus subpanduriformis [Anacardiaceae] in India,K Ravikumar; SN Noorunnisa; R Vijayasankar,*,*,2014,*
GC/MS Coupled with Advanced Data Mining and Chemometric Tools for Differentiation and Classification of Chamomile Plants; Essential Oils and Commercial Prod...,M Wang; B Avula; YH Wang; J Zhao; C Avonto; V Raman; J Parcher; J Zweigenbaum; P Wylie; IA Khan,Chamomile from the Asteraceae family has been used in a wide variety of products as animportant medicinal plant. The three most common types observed in commercial productsare German chamomile (M. recutita); Roman chamomile (A. nobilis) and Juhua (C.morifolium). In the present study; a GC/MS method was developed for the non-targetedcompound analysis of different chamomiles. The Mass Profiler Professional (MPP) softwarewas applied for the data processing and chemometric statistical analysis. The complexchromatographic and mass spectroscopic data were extracted for variety; aligned withretention times and filtered by different methods. In total; 30 authenticated samples (4Roman; 18 German and 8 Juhua) were analyzed; separation of variety was observed byprinciple component analysis (PCA); and a predictive model was constructed based on …,International Conference on the Science of Botanicals,2013,*
Analytical Investigation of German; Roman and Chinese Chamomile Plant; Oil and Commercial Samples,M Wang; B Avula; YH Wang; J Zhao; C Avonto; V Raman; JF Parcher; IA Khan; J Zweigenbaum,Chamomile is generally classified as a member of the Asteraceae family and has been usedin a wide variety of products as an important medicinal plant. The three most common typesobserved in commercial products are German (M. recutita); Roman (A. nobilis) and Chinese(C. morifolium). The present study is based on a GC/MS method in combination with amultivariate statistical analysis to classify different chamomiles. The objective is to ascertainand address the problems of botanical classification and adulteration of chamomiles used incommercial products and dietary supplements. The n-Hexane extracts of these three typesof chamomile plant samples showed different chemical profiles (Fig. 1). The major markercompounds identified in German chamomile were seaquiterpenes; their alcohols andoxides; chamazulene; and cis-enyne dicycloether. The principle components of Roman …,Planta Medica,2013,*
Identification of Yams-A Comparative Study of the Tubers of Four Species of Dioscorea L.(Dioscoreaceae) by Microscopy and HPTLC,V Raman; AM Galal; A Weerasooriya; IA Khan,The genus Dioscorea L.(Dioscoreaceae) sl consists of about 630 species distributed in thetropical and warmer parts of the world [1]. The starchy tubers ('yams') are economicallyimportant for their edible and medicinal uses. The present work provides a comparativeanatomy and HPTLC analysis of the tubers of four species of Dioscorea; namely D.balcanica; D. bulbifera; D. cayennensis subsp. rotundata and D. villosa. The rootstock in D.balcanica and D. villosa is rhizomatous; whereas; it is tuberous in the other two species. Thepresent study showed that the anatomical characteristics such as features of periderm;presence or absence of sclereids; crystals of calcium oxalate and mucilage ducts; andfeatures of starch grains are–in conjunction with HPTLC–useful in distinguishing thesespecies [2]. Detailed anatomical descriptions illustrated with light and SEM images; and …,Planta Medica,2013,*
Comparative Anatomy of Four Species of Piper (Piperaceae),V Raman; A Galal; A Weerasooriya; IA Khan,The genus Piper L. (Piperaceae) comprises about 2000 species [1]. The present work providesa comparative account on the anatomy of four species of Piper namely; P. auritum Kunth; P. betleL.; P. nigrum L. and P. sarmentosum Roxb. The anatomy of leaves; petioles and stems of thefour species were studied by light; polarization and scanning electron microscopy and photomicrographswere prepared. Several characteristics such as trichomes; presence or absence of calcium oxalatecrystals; starch grains and number and arrangement of vascular bundles in petiole were usefulin distinguishing the species [2]. Acknowledgements: This research is supported in part by ScienceBased Authentication of Dietary Supplements funded by the Food and Drug Administration grantNo. 1U01FD004246–01; the United States Department of Agriculture; Agricultural ResearchService; Specific Cooperative Agreement No. 58–6408–2-0009; the Global Research …,International Conference on the Science of Botanicals,2012,*
Acclimatization of Micropropagated Stevia rebaudiana Bertoni to ex-vitro Conditions: Comparative Ecophysiology and Leaf Anatomy,S Chandra; H Lata; V Raman; MA ElSohly; IA Khan,In vitro propagation has been extensively used for the rapid multiplication of many medicinalplants. However; its wider use is often restricted by the high percentage of plant loss ordamage when transferred to ex vitro conditions. In the present study; a successful attempthas been made to acclimatize the tissue culture raised plants of Stevia rebaudiana Bert.under climate controlled conditions with a 95% survival rate. Well rooted cultures werecarefully taken out of the medium; washed thoroughly and pre-incubated in coco naturalgrowth medium (Canna-Continental; Los Angeles; CA; www. canna-hydroponics. com) insmall jiffy pots for 10 days at 25 o C and 18 hours under cool florescent lights. The pots werecovered with polythene bags to maintain humidity. These plants were then transferred to asterile potting mix; fertilome (Canna-Continental; Los Angeles; CA); in larger pots. All …,International Conference on the Science of Botanicals,2012,*
Identification of Yohimbe Bark (Pausinystalia johimbe) using Microscopy and UPLC-MS Techniques,V Raman; B Avula; A Galal; YH Wang; IA Khan,The raw material of yohimbe is the stem-bark of an evergreen tree Pausinystalia johimbe (K.Schum.) Pierre ex Beille of the flowering plant family Rubiaceae. Yohimbe is a popularherbal supplement used for the treatment of sexual disorders in men. In 2010; yohimbe wasone of the twenty top-selling herbal dietary supplements in the USA [1].The objectives of thepresent study were to provide a detailed anatomy of yohimbe bark; as well as to determinethe yohimbine content from authentic yohimbe bark samples. Authentic samples collectedfrom Cameroon; W. Africa were studied by light and scanning electron microscopy andphotomicrographs were prepared. Micromorphology and arrangement of fibers; radiallyarranged cork cells with thick walls; presence of numerous idioblasts containing sandcrystals of calcium oxalate are diagnostic features [2; 3]. A few variations in the structure …,International Conference on the Science of Botanicals,2012,*
Anatomical Features of Salvia divinorum Epling and Játiva-M as Supporting Information in Marketed Product Identification,AP Kowalczuk; V Raman; A Galal; IA Khan; D Siebert; J Zjawiony,The use of Salvia divinorum Epling and Játiva-M as a popular hallucinogen has recently spreadthroughout the world; especially through e-commerce and among young people [1]. S. divinorumis currently a controlled substance in 22 countries in Europe and Asia [2]. The species is notincluded in the Controlled Substances Act in the United States; although; as of July 1; 2011; 31states have enacted legislation placing regulatory controls on S. divinorum and its main activecompound; salvinorin A. A description of the morphology of S. divinorum and distribution of thetrichomes was previously published [3] but no anatomical characterization was done. The aimof this work was to provide a description of the leaf and stem anatomy of the fresh plant as wellas a description of the powdered dried material; the most common form of S. divinorum sold onthe market. A detailed examination of all of the types of trichomes was also performed …,Planta Medica,2012,*
Identification of Terminalia Species from India using Macro-morphological Features,R Vijayasankar; IA Khan,Terminalia L.(Combretaceae) is a tropical genus that comprises about 150 species and isrepresented in India by 12 species. Of these; six species are recorded in various codifiedand non-codified Systems of Indian Medicine. Stem bark of Terminalia arjuna is traditionallyused for treating heart ailments. Fruits of T. bellirica and T. chebula are ingredientsin'Triphala'; a popular Ayurvedic formulation used for the treatment of stomach disorders aswell as various other diseases [1]. Fruits of T. chebula are also used in a number offormulations meant for treating various ailments in children. In India; fruits of these medicinalplants are traded in large quantities as raw drugs [2]. The fruits of these species are oftenconfused with that of other species of Terminalia and thus the fruits are sometimesmisidentified. Several websites; especially commercial sites specializing in dietary …,International Conference on the Science of Botanicals,2011,*
Comparative Study of Three Species of Plumbago using Microscopy and HPTLC Fingerprinting,A Galal; CS Rumalla; R Vijayasankar; A Weerasooriya; IA Khan,Plumbago indica and P. zeylanica are widely distributed species; used in the Ayurvedicmedicine of India as well as other systems for their beneficial medicinal functions [1]. P.auriculata is an ornamental plant. Detailed microscopic descriptions of the leaf; stem; androot of three Plumbago species grown in the green house of the Medicinal Plant Garden atthe University of Mississippi; are presented. In addition; the HPTLC fingerprints of the MeOHextract of the leaf and root derived from the three plants are included. Stems did not exhibitdifferentiated fingerprints. These three species are known as sources for plumbagin; anaphthoquinone existing as a major constituent; particularly in the roots and displays adiversity of bioactivities [2]. The present work revealed distinctive differences between themicroscopic characteristics of the leaf; stem; and root as well as the HPTLC profiles of the …,International Conference on the Science of Botanicals,2011,*
Photo-guide to selected medicinal plants of Karnataka,K Ravikumar; R Vijayasankar; R Murugan; GS Goraya; Begam SN,*,*,2009,*
On the distribution and ethnobotany of Peucedanum dhana var. dalzellii (Apiaceae); a little known endemic from southern India,NM Ganesh Babu; K Ravikumar; R Vijayasankar; DK Ved; R Ganesan,*,Indian Journal of Forestry,2007,*
Medicinal Plant Diversity in India: Current Status and in situ Conservation in southern India – A case study,K Ravikumar; DK Ved; R Vijayasankar; NM Ganesh Babu,*,National Seminar on “Medicinal Plants Research-An Industry Oriented Perspective,2005,*
Profile of medicinal plants diversity in Kerala MPCAs,K Ravikumar; SN Begum; R Vijayasankar; DK Ved,*,Medicinal Plants of Kerala: Conservation & Beneficiation - 17th Kerala Science Congress,2005,*
Profile of medicinal plants diversity in Tamil Nadu MPCAs,SN Begum; K Ravikumar; R Vijayasankar; DK Ved,*,XIV Annual Conference of IAAT and National Seminar on New Frontiers in Plant Taxonomy and Biodiversity Conservation,2004,*
Tinospora sinensis (Lour.) Merr.(Menispermaceae)-a Hitherto Unreported Red Listed Medicinal Plant from Tamil Nadu State,R Vijayasankar; K Ravikumar; P Ravichandran,Abstract During botanical studies conducted in Thiruvannamalai District of Tamil Nadu State;India as a part of compilation ofthe district flora; Tinospora sinensis (Lour.) Merr. wascollected from Javvadhu ('Javadi') hills. It is a Red Listed medicinal plant which also formsan addition to the Flora of Tamil Nadu. It is presented here in detail with nomenclature;description; distribution data; threat status and medicinal information.,Indian Forester,2004,*
DIPTERACANTHUS BEDDOMEI (CB CLARKE) SANTAPAU (ACANTHACEAE)-A NEW REPORT TO SOUTHERN INDIA,R Vijaya Sankar; K Ravikumar; P Ravichandran,Recently; a species of Dipteracanthus Nees was collected from Paruvathamalai ReserveForest of Polur Range in Tiruvannamalai District; Tamil Nadu State and this could not bematched with any of the species recorded in southern Indian floras. Studies with Hooker'sFlora of British India and the northern Indian floras confirmed its identity as D. beddomei (CBClarke) Santapau. The specimens were matched with the authentic specimens housed atKew Herbarium; London and also expert opinion was sought from the Acanthaceaespecialist. This species has not been thus far recorded in any of the published floras ofsouthern Indian states. Therefore; a note on its extended distribution supplemented with ascanned image of herbarium specimen is provided here.,ZOOS'PRINT JOURNAL,2004,*
Dipteracanthus beddomei (C.B. Clarke) Santapau (Acanthaceae) – A new report to southern India,R Vijayasankar; K Ravikumar; P Ravichandran,Recently; a species of Dipteracanthus Nees was collected from Paruvathamalai ReserveForest of Polur Range in Tiruvannamalai District; Tamil Nadu State and this could not bematched with any of the species recorded in southern Indian floras. Studies with Hooker'sFlora of British India and the northern Indian floras confirmed its identity as D. beddomei (CBClarke) Santapau. The specimens were matched with the authentic specimens housed atKew Herbarium; London and also expert opinion was sought from the Acanthaceaespecialist. This species has not been thus far recorded in any of the published floras ofsouthern Indian states. Therefore; a note on its extended distribution supplemented with ascanned image of herbarium specimen is provided here.,Zoos' Print Journal,2004,*
Rediscovery of Memecylon sisparense Gamble (Melastomataceae) 110 years after Type collection,K Ravikumar; R Vijayasankar; T Ravishankar,*,Plant Diversity; Human Welfare and Conservation,2003,*
Acanthospermum consobrinum (Asteraceae)-A new record for India,K Ravikumar; NM Ganesh Babu; N Balachandran; R Vijayasankar,There are 6 species of Acanthospermum such as A. australe (Loeff.) Kuntze; A. consobrinumSF Blake; A. glabratum(DC.) Willd.;A. hispidumDC.; A. humile BL Rob. and A. microcarpum havebeen reported globally. Though all the 6 species are originally native to America; the spiny natureof the fruits made easy transportation and naturalization of this genus in the Old World and elsewhere(Mabberley 2008). However; In India; Genus Acanthospermum is represented by two speciesA. hispidum and A. australe; of which the latter reported from Karnataka recently (Haleshi etal. 2012) … During one of our regular botanical surveys; few specimens of Acanthospermumwere collected from the vicinity of Bangalore city. On critical examination; these specimens wereconfirmed as A. consobrinum. This species has so far not been reported from India and thereforeit forms a new distributional report to the country. All the voucher specimens are …,Rheedea,*,*
